tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2020,2021,U.S. Open,26,draftkings,PGA $1M Empire State Special [$250K to 1st],"DeChambeau, Bryson",19841,9900,0.063,1,0,0,0,0,72.5,30,102.5
pga,2020,2021,U.S. Open,26,draftkings,PGA $1M Empire State Special [$250K to 1st],"Wolff, Matthew",25919,7700,0.1251,2,3,0,0,0,63.0,20,86.0
pga,2020,2021,U.S. Open,26,draftkings,PGA $1M Empire State Special [$250K to 1st],"Oosthuizen, Louis",7672,7600,0.1585,3,0,0,0,0,58.0,18,76.0
pga,2020,2021,U.S. Open,26,draftkings,PGA $1M Empire State Special [$250K to 1st],"Zalatoris, Will",19428,6700,0.0453,T6,0,0,5,0,53.0,12,70.0
pga,2020,2021,U.S. Open,26,draftkings,PGA $1M Empire State Special [$250K to 1st],"Schauffele, Xander",19895,10100,0.2581,5,0,0,0,0,55.5,14,69.5
pga,2020,2021,U.S. Open,26,draftkings,PGA $1M Empire State Special [$250K to 1st],"Thomas, Justin",14139,10700,0.1767,T8,3,0,0,0,54.0,9,66.0
pga,2020,2021,U.S. Open,26,draftkings,PGA $1M Empire State Special [$250K to 1st],"Reed, Patrick",14838,8500,0.1948,T13,0,0,5,0,55.0,6,66.0
pga,2020,2021,U.S. Open,26,draftkings,PGA $1M Empire State Special [$250K to 1st],"English, Harris",14577,7900,0.129,4,0,0,0,0,48.5,16,64.5
pga,2020,2021,U.S. Open,26,draftkings,PGA $1M Empire State Special [$250K to 1st],"Johnson, Dustin",12422,11500,0.1917,T6,0,0,0,0,49.0,12,61.0
pga,2020,2021,U.S. Open,26,draftkings,PGA $1M Empire State Special [$250K to 1st],"McIlroy, Rory",10091,10500,0.1063,T8,0,0,0,0,49.5,9,58.5
pga,2020,2021,U.S. Open,26,draftkings,PGA $1M Empire State Special [$250K to 1st],"Finau, Tony",11676,9100,0.1345,T8,0,0,0,0,48.0,9,57.0
