bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+879,2020-09-16 08:11,12422,+841,2020-09-14 10:15,T6,"Johnson, Dustin",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+976,2020-09-16 08:11,19195,+1117,2020-09-14 10:15,T23,"Rahm, Jon",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+1404,2020-09-16 08:11,19895,+1749,2020-09-14 10:15,5,"Schauffele, Xander",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+1409,2020-09-16 08:11,10091,+1339,2020-09-14 10:15,T8,"McIlroy, Rory",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+1409,2020-09-16 08:11,14139,+1339,2020-09-14 10:15,T8,"Thomas, Justin",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+1655,2020-09-16 08:11,22085,+1781,2020-09-14 10:15,CUT,"Morikawa, Collin",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
1,paid in full,+2098,2020-09-16 08:11,19841,+2002,2020-09-14 10:15,1,"DeChambeau, Bryson",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+2687,2020-09-16 08:11,11049,+2777,2020-09-14 10:15,T8,"Simpson, Webb",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+2907,2020-09-16 08:11,15466,+2777,2020-09-14 10:15,T43,"Cantlay, Patrick",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+2965,2020-09-16 08:11,17606,+3109,2020-09-14 10:15,T34,"Berger, Daniel",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+3149,2020-09-16 08:11,13562,+3662,2020-09-14 10:15,T17,"Matsuyama, Hideki",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+3417,2020-09-16 08:11,14838,+4437,2020-09-14 10:15,T13,"Reed, Patrick",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+3542,2020-09-16 08:11,12294,+3488,2020-09-14 10:15,CUT,"Fleetwood, Tommy",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+3668,2020-09-16 08:11,14796,+4437,2020-09-14 10:15,CUT,"Hatton, Tyrrell",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+3737,2020-09-16 08:11,9771,+3662,2020-09-14 10:15,T38,"Day, Jason",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+3833,2020-09-16 08:11,11676,+3662,2020-09-14 10:15,T8,"Finau, Tony",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+3948,2020-09-16 08:11,6430,+3769,2020-09-14 10:15,T38,"Scott, Adam",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+4645,2020-09-16 08:11,5321,+4437,2020-09-14 10:15,CUT,"Woods, Tiger",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+4645,2020-09-16 08:11,6093,+4437,2020-09-14 10:15,CUT,"Rose, Justin",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+5148,2020-09-16 08:11,17646,+5544,2020-09-14 10:15,CUT,"Fitzpatrick, Matthew",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+5803,2020-09-16 08:11,7108,+5544,2020-09-14 10:15,T17,"Casey, Paul",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
0,loss,+5803,2020-09-16 08:11,12965,+5544,2020-09-14 10:15,T49,"Fowler, Rickie",pinnacle,2020-09-20,U.S. Open,win,2021,2020,26
