date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Sep 20, 2020","U.S. Open","Rahm, Jon",0.8093,0.032225,0.655175,0.552375,0.383175,0.2498,0.1754,0.07775,T23
"Sep 20, 2020","U.S. Open","Thomas, Justin",0.807825,0.0314,0.653,0.544425,0.375375,0.2414,0.1694,0.07295,T8
"Sep 20, 2020","U.S. Open","McIlroy, Rory",0.753825,0.02405,0.55495,0.4409,0.28465,0.1752,0.1183,0.047525,T8
"Sep 20, 2020","U.S. Open","Schauffele, Xander",0.7599,0.02405,0.570475,0.458575,0.2926,0.17585,0.11900000000000001,0.04525,5
"Sep 20, 2020","U.S. Open","Johnson, Dustin",0.74925,0.023775,0.554025,0.44195,0.282825,0.172625,0.1147,0.044825,T6
"Sep 20, 2020","U.S. Open","Matsuyama, Hideki",0.72305,0.020375,0.505875,0.392575,0.24105,0.137925,0.08985,0.034175,T17
"Sep 20, 2020","U.S. Open","Simpson, Webb",0.738125,0.020825,0.5277,0.4121,0.251675,0.143975,0.09345,0.033475,T8
"Sep 20, 2020","U.S. Open","Reed, Patrick",0.716125,0.01925,0.49405,0.378775,0.2279,0.12815,0.08225,0.029925,T13
"Sep 20, 2020","U.S. Open","Cantlay, Patrick",0.71485,0.01885,0.488975,0.372825,0.22375,0.126025,0.0802,0.0282,T43
"Sep 20, 2020","U.S. Open","Morikawa, Collin",0.70095,0.0191,0.4783,0.3645,0.2158,0.121575,0.077825,0.027725,CUT
"Sep 20, 2020","U.S. Open","DeChambeau, Bryson",0.69535,0.017175,0.4616,0.34655,0.197575,0.107725,0.067975,0.0244,1
"Sep 20, 2020","U.S. Open","Hatton, Tyrrell",0.6779999999999999,0.017075,0.436475,0.32405,0.183375,0.1011,0.062,0.02185,CUT
"Sep 20, 2020","U.S. Open","Berger, Daniel",0.6695,0.0133,0.420925,0.30795,0.167725,0.087875,0.0544,0.018225,T34
"Sep 20, 2020","U.S. Open","Finau, Tony",0.661275,0.013725,0.4119,0.304575,0.16899999999999998,0.09005,0.05515,0.018225,T8
"Sep 20, 2020","U.S. Open","Fitzpatrick, Matthew",0.65125,0.0137,0.395675,0.2817,0.153725,0.0809,0.048175,0.016375,CUT
"Sep 20, 2020","U.S. Open","Scott, Adam",0.63685,0.01275,0.374325,0.267875,0.1416,0.073825,0.04365,0.01445,T38
