bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1265,2020-09-23 23:23,19428,+1273,2020-09-22 09:24,T8,"Zalatoris, Will",pinnacle,2020-09-27,Corales Puntacana Resort & Club Championship,win,2021,2020,522
0,loss,+1534,2020-09-23 23:23,15556,+1484,2020-09-22 09:24,3,"Hughes, Mackenzie",pinnacle,2020-09-27,Corales Puntacana Resort & Club Championship,win,2021,2020,522
0,loss,+1658,2020-09-23 23:23,19483,+1907,2020-09-22 09:24,T28,"Burns, Sam",pinnacle,2020-09-27,Corales Puntacana Resort & Club Championship,win,2021,2020,522
0,loss,+1750,2020-09-23 23:23,17576,+1695,2020-09-22 09:24,CUT,"Conners, Corey",pinnacle,2020-09-27,Corales Puntacana Resort & Club Championship,win,2021,2020,522
0,loss,+2186,2020-09-23 23:23,15473,+2118,2020-09-22 09:24,5,"Long, Adam",pinnacle,2020-09-27,Corales Puntacana Resort & Club Championship,win,2021,2020,522
0,loss,+2731,2020-09-23 23:23,5994,+2646,2020-09-22 09:24,T21,"Stenson, Henrik",pinnacle,2020-09-27,Corales Puntacana Resort & Club Championship,win,2021,2020,522
0,loss,+2731,2020-09-23 23:23,6892,+2646,2020-09-22 09:24,CUT,"Howell III, Charles",pinnacle,2020-09-27,Corales Puntacana Resort & Club Championship,win,2021,2020,522
0,loss,+2731,2020-09-23 23:23,12808,+2646,2020-09-22 09:24,T21,"Grillo, Emiliano",pinnacle,2020-09-27,Corales Puntacana Resort & Club Championship,win,2021,2020,522
0,loss,+2826,2020-09-23 23:23,14181,+3491,2020-09-22 09:24,T33,"Detry, Thomas",pinnacle,2020-09-27,Corales Puntacana Resort & Club Championship,win,2021,2020,522
0,loss,+3300,2020-09-23 23:23,6762,+3593,2020-09-22 09:24,T21,"Perez, Pat",pinnacle,2020-09-27,Corales Puntacana Resort & Club Championship,win,2021,2020,522
0,loss,+3602,2020-09-23 23:23,19870,+3491,2020-09-22 09:24,T41,"McCarthy, Denny",pinnacle,2020-09-27,Corales Puntacana Resort & Club Championship,win,2021,2020,522
0,loss,+3602,2020-09-23 23:23,15651,+3491,2020-09-22 09:24,T52,"Ventura, Kristoffer",pinnacle,2020-09-27,Corales Puntacana Resort & Club Championship,win,2021,2020,522
0,loss,+3642,2020-09-23 23:23,7960,+4479,2020-09-22 09:24,T8,"List, Luke",pinnacle,2020-09-27,Corales Puntacana Resort & Club Championship,win,2021,2020,522
