tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Garcia, Sergio",5689,8600,0.0811,1,3,3,0,5,93.5,30,134.5
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Malnati, Peter",14926,6300,0.0119,2,6,3,0,0,92.5,20,121.5
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Norlander, Henrik",11657,6700,0.023,T4,6,0,0,0,96.0,16,118.0
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Bradley, Keegan",13872,7100,0.0396,T4,3,3,0,0,90.0,16,112.0
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Poston, J.T.",21554,7500,0.0566,3,6,3,0,0,83.5,18,110.5
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Ventura, Kristoffer",15651,7200,0.1108,T6,3,0,0,0,89.0,12,104.0
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Davis, Cameron",17786,8100,0.2352,T6,3,3,0,0,85.5,12,103.5
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Sabbatini, Rory",6283,7600,0.0293,T12,6,3,0,0,86.5,6,101.5
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"McCarthy, Denny",19870,7900,0.1692,T6,3,3,0,0,83.0,12,101.0
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"McCumber, Tyler",17584,6800,0.0224,T6,3,0,0,0,85.0,12,100.0
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"McNealy, Maverick",18634,7000,0.0403,T17,6,0,0,0,88.5,5,99.5
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Hoffman, Charley",5768,7900,0.0937,T6,3,0,0,0,83.0,12,98.0
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Stallings, Scott",12359,6600,0.0333,T6,0,3,0,0,82.5,12,97.5
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Pan, C.T.",15475,6200,0.0033,T12,6,0,0,0,81.0,6,93.0
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Wise, Aaron",22051,6800,0.0241,T17,3,3,0,0,82.0,5,93.0
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Daffue, MJ",17068,6400,0.0048,T12,3,3,0,0,80.0,6,92.0
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Bryan, Wesley",21236,6300,0.0829,T12,3,3,0,0,77.5,6,89.5
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Chappell, Kevin",13305,6400,0.0084,T23,3,3,0,0,78.0,4,88.0
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Villegas, Camilo",9171,6100,0.0009,T23,6,3,0,0,74.5,4,87.5
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Snedeker, Brandt",8820,7100,0.0252,T17,0,0,0,0,81.5,5,86.5
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Seiffert, Chase",17509,6400,0.0059,T17,3,3,0,0,75.0,5,86.0
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Ghim, Doug",24550,6700,0.0031,T23,0,3,0,0,78.5,4,85.5
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Cink, Stewart",5665,7600,0.0585,T12,0,0,0,0,79.0,6,85.0
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"NeSmith, Matthew",16433,6300,0.0156,T17,3,3,0,0,74.0,5,85.0
pga,2020,2021,Sanderson Farms Championship,54,draftkings,PGA TOUR $300K Resurgence [$100K to 1st],"Munoz, Sebastian",20770,9900,0.1065,T23,3,0,0,0,76.5,4,83.5
