tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2021,Shriners Hospitals for Children Open,47,"Laird, Martin",9586,1,1,TPC Summerlin,538,65,-0.12,-0.217,2.552,1.063,3.398,3.278,307.5,0.786,0.833,0.5,15.847,27.021
pga,2020,2021,Shriners Hospitals for Children Open,47,"Laird, Martin",9586,1,2,TPC Summerlin,538,63,1.39,0.542,3.225,-0.255,3.513,4.903,297.6,0.786,0.833,0.75,,19.749
pga,2020,2021,Shriners Hospitals for Children Open,47,"Laird, Martin",9586,1,3,TPC Summerlin,538,65,0.173,0.391,0.802,1.149,2.342,2.515,305.1,1.0,0.889,0.75,,27.315
pga,2020,2021,Shriners Hospitals for Children Open,47,"Laird, Martin",9586,1,4,TPC Summerlin,538,68,1.816,1.208,-0.087,-0.664,0.457,2.273,290.3,0.714,0.722,0.571,52.932,45.446
pga,2020,2021,Shriners Hospitals for Children Open,47,"Cook, Austin",18579,T2,1,TPC Summerlin,538,63,1.162,0.353,2.074,1.689,4.116,5.278,300.9,0.857,0.944,1.0,68.687,20.866
pga,2020,2021,Shriners Hospitals for Children Open,47,"Cook, Austin",18579,T2,2,TPC Summerlin,538,65,2.701,-0.14,0.496,-0.155,0.202,2.903,294.8,0.857,0.889,0.4,28.003,25.61
pga,2020,2021,Shriners Hospitals for Children Open,47,"Cook, Austin",18579,T2,3,TPC Summerlin,538,67,-0.495,0.757,0.095,0.158,1.01,0.515,298.5,0.786,0.889,0.75,40.045,28.347
pga,2020,2021,Shriners Hospitals for Children Open,47,"Cook, Austin",18579,T2,4,TPC Summerlin,538,66,0.556,1.277,2.402,0.038,3.717,4.273,303.1,0.643,0.889,0.667,44.956,28.097
pga,2020,2021,Shriners Hospitals for Children Open,47,"Wolff, Matthew",25919,T2,1,TPC Summerlin,538,68,1.351,-0.374,0.855,-1.554,-1.073,0.278,303.0,0.571,0.778,0.4,38.486,24.681
pga,2020,2021,Shriners Hospitals for Children Open,47,"Wolff, Matthew",25919,T2,2,TPC Summerlin,538,66,-0.606,0.786,1.805,-0.083,2.509,1.903,301.0,0.714,1.0,1.0,37.461,21.632
pga,2020,2021,Shriners Hospitals for Children Open,47,"Wolff, Matthew",25919,T2,3,TPC Summerlin,538,61,0.154,1.685,3.17,1.506,6.361,6.515,301.8,0.857,0.889,1.0,66.911,20.629
pga,2020,2021,Shriners Hospitals for Children Open,47,"Wolff, Matthew",25919,T2,4,TPC Summerlin,538,66,3.108,-0.465,0.273,1.357,1.165,4.273,312.6,0.929,0.667,0.889,52.712,33.931
pga,2020,2021,Shriners Hospitals for Children Open,47,"Ancer, Abraham",18238,4,1,TPC Summerlin,538,66,2.545,-1.185,0.108,0.81,-0.267,2.278,300.5,0.786,0.833,0.5,13.534,30.172
pga,2020,2021,Shriners Hospitals for Children Open,47,"Ancer, Abraham",18238,4,2,TPC Summerlin,538,66,1.035,0.828,-1.289,1.328,0.868,1.903,307.8,1.0,0.833,0.667,,23.267
pga,2020,2021,Shriners Hospitals for Children Open,47,"Ancer, Abraham",18238,4,3,TPC Summerlin,538,65,1.275,1.033,-0.414,0.621,1.24,2.515,303.3,0.929,0.889,0.857,73.749,25.811
pga,2020,2021,Shriners Hospitals for Children Open,47,"Ancer, Abraham",18238,4,4,TPC Summerlin,538,67,3.47,-0.809,0.998,-0.386,-0.197,3.273,299.1,0.786,0.778,0.5,46.509,27.949
pga,2020,2021,Shriners Hospitals for Children Open,47,"Zalatoris, Will",19428,T5,1,TPC Summerlin,538,68,-1.224,-0.812,1.505,0.809,1.502,0.278,308.1,0.857,0.889,0.5,29.023,26.119
pga,2020,2021,Shriners Hospitals for Children Open,47,"Zalatoris, Will",19428,T5,2,TPC Summerlin,538,64,2.431,0.74,0.109,0.622,1.472,3.903,306.2,0.857,0.833,0.75,,29.891
pga,2020,2021,Shriners Hospitals for Children Open,47,"Zalatoris, Will",19428,T5,3,TPC Summerlin,538,64,0.673,0.058,2.237,0.547,2.842,3.515,303.3,0.786,0.944,0.5,19.127,25.646
pga,2020,2021,Shriners Hospitals for Children Open,47,"Zalatoris, Will",19428,T5,4,TPC Summerlin,538,69,-1.481,1.472,0.807,0.475,2.754,1.273,316.4,0.786,0.833,0.75,78.088,27.085
pga,2020,2021,Shriners Hospitals for Children Open,47,"Malnati, Peter",14926,T5,1,TPC Summerlin,538,66,-0.882,-0.279,2.202,1.237,3.16,2.278,306.4,0.929,1.0,0.75,42.697,24.632
pga,2020,2021,Shriners Hospitals for Children Open,47,"Malnati, Peter",14926,T5,2,TPC Summerlin,538,62,3.122,2.28,1.01,-0.51,2.781,5.903,305.1,0.643,0.778,1.0,53.891,24.366
pga,2020,2021,Shriners Hospitals for Children Open,47,"Malnati, Peter",14926,T5,3,TPC Summerlin,538,71,0.71,-1.23,-1.698,-1.267,-4.195,-3.485,306.4,0.5,0.667,0.556,52.264,41.92
pga,2020,2021,Shriners Hospitals for Children Open,47,"Malnati, Peter",14926,T5,4,TPC Summerlin,538,66,-0.195,-0.455,4.15,0.773,4.468,4.273,311.2,0.857,0.889,0.5,43.417,22.899
pga,2020,2021,Shriners Hospitals for Children Open,47,"Hahn, James",11374,T5,1,TPC Summerlin,538,64,1.767,0.047,1.755,0.709,2.511,4.278,304.2,0.714,0.833,0.6,33.957,24.987
pga,2020,2021,Shriners Hospitals for Children Open,47,"Hahn, James",11374,T5,2,TPC Summerlin,538,66,0.554,0.273,0.447,0.628,1.349,1.903,300.2,0.929,0.778,0.8,37.616,28.209
pga,2020,2021,Shriners Hospitals for Children Open,47,"Hahn, James",11374,T5,3,TPC Summerlin,538,67,-2.154,0.361,1.802,0.506,2.669,0.515,301.6,0.857,0.778,0.8,4.642,26.347
pga,2020,2021,Shriners Hospitals for Children Open,47,"Hahn, James",11374,T5,4,TPC Summerlin,538,68,-1.135,0.113,2.661,0.634,3.408,2.273,305.0,0.786,0.778,0.5,34.418,34.853
pga,2020,2021,Shriners Hospitals for Children Open,47,"NeSmith, Matthew",16433,T8,1,TPC Summerlin,538,66,0.626,1.538,-0.047,0.161,1.652,2.278,292.2,0.857,0.833,1.0,57.011,20.105
pga,2020,2021,Shriners Hospitals for Children Open,47,"NeSmith, Matthew",16433,T8,2,TPC Summerlin,538,68,0.149,-0.301,0.162,-0.108,-0.246,-0.097,288.8,0.714,0.889,0.4,21.059,27.505
pga,2020,2021,Shriners Hospitals for Children Open,47,"NeSmith, Matthew",16433,T8,3,TPC Summerlin,538,64,1.525,-0.784,2.085,0.689,1.99,3.515,293.9,1.0,0.944,0.667,,24.233
