tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Cantlay, Patrick",15466,1,1,Sherwood Country Club,2000,67,-0.284,0.225,2.086,0.83,3.141,2.857,285.5,0.846,0.722,0.857,35.042,25.651
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Cantlay, Patrick",15466,1,2,Sherwood Country Club,2000,65,1.826,0.833,-0.048,0.259,1.044,2.87,285.9,0.769,0.778,0.778,69.766,28.066
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Cantlay, Patrick",15466,1,3,Sherwood Country Club,2000,68,-1.125,0.54,1.448,0.552,2.541,1.416,281.3,0.692,0.889,0.714,23.091,28.889
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Cantlay, Patrick",15466,1,4,Sherwood Country Club,2000,65,3.294,0.645,0.605,0.352,1.602,4.896,281.6,0.846,0.778,0.778,,29.579
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Rahm, Jon",19195,T2,1,Sherwood Country Club,2000,68,-1.327,-0.579,2.896,0.867,3.184,1.857,282.5,0.923,0.833,0.5,236.2,27.732
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Rahm, Jon",19195,T2,2,Sherwood Country Club,2000,67,-0.413,0.226,-0.145,1.202,1.283,0.87,279.0,1.0,0.889,0.833,,27.23
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Rahm, Jon",19195,T2,3,Sherwood Country Club,2000,63,2.811,0.836,1.153,1.615,3.605,6.416,289.2,1.0,0.889,0.833,,24.506
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Rahm, Jon",19195,T2,4,Sherwood Country Club,2000,68,-0.005,0.106,0.514,1.281,1.901,1.896,278.4,0.923,0.778,0.5,18.609,33.508
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Thomas, Justin",14139,T2,1,Sherwood Country Club,2000,65,0.762,-0.079,2.588,1.586,4.095,4.857,284.8,0.923,0.833,0.667,,23.521
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Thomas, Justin",14139,T2,2,Sherwood Country Club,2000,65,2.29,0.6,-0.735,0.715,0.58,2.87,276.3,0.923,0.778,0.833,81.065,24.875
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Thomas, Justin",14139,T2,3,Sherwood Country Club,2000,67,1.821,0.044,-0.223,0.773,0.595,2.416,286.1,0.846,0.722,0.75,34.274,36.898
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Thomas, Justin",14139,T2,4,Sherwood Country Club,2000,69,0.09,-0.005,0.98,-0.169,0.806,0.896,285.7,0.692,0.722,0.8,49.007,22.4
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Palmer, Ryan",7820,T4,1,Sherwood Country Club,2000,69,0.931,-0.302,-0.147,0.375,-0.074,0.857,277.7,0.615,0.556,0.727,70.1,31.079
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Palmer, Ryan",7820,T4,2,Sherwood Country Club,2000,65,0.132,0.69,0.902,1.146,2.738,2.87,281.3,0.923,0.722,0.889,41.574,24.556
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Palmer, Ryan",7820,T4,3,Sherwood Country Club,2000,66,2.258,-1.919,2.902,0.174,1.158,3.416,279.2,0.846,0.722,0.375,44.929,28.645
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Palmer, Ryan",7820,T4,4,Sherwood Country Club,2000,69,0.028,0.479,-0.928,1.317,0.868,0.896,282.4,0.923,0.611,0.8,,34.944
pga,2020,2021,ZOZO CHAMPIONSHIP @ SHERWOOD,527,"Henley, Russell",14578,T4,1,Sherwood Country Club,2000,68,-1.354,1.019,1.906,0.286,3.211,1.857,271.3,0.769,0.778,0.8,64.283,28.5
