bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1182,2020-10-28 10:32,19428,+1173,2020-10-27 08:50,T16,"Zalatoris, Will",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+1289,2020-10-28 10:32,12425,+1280,2020-10-27 08:50,CUT,"Todd, Brendon",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+1963,2020-10-28 10:32,16602,+2340,2020-10-27 08:50,CUT,"Varner III, Harold",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+2678,2020-10-28 10:32,24481,+2659,2020-10-27 08:50,T4,"Redman, Doc",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+2996,2020-10-28 10:32,19870,+2976,2020-10-27 08:50,T4,"McCarthy, Denny",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+2996,2020-10-28 10:32,12808,+2976,2020-10-27 08:50,T34,"Grillo, Emiliano",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+3243,2020-10-28 10:32,23838,+3221,2020-10-27 08:50,T37,"Hojgaard, Rasmus",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+3414,2020-10-28 10:32,5994,+3507,2020-10-27 08:50,WD,"Stenson, Henrik",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+3531,2020-10-28 10:32,5768,+3507,2020-10-27 08:50,CUT,"Hoffman, Charley",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+3531,2020-10-28 10:32,15651,+3507,2020-10-27 08:50,CUT,"Ventura, Kristoffer",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+3531,2020-10-28 10:32,14013,+3507,2020-10-27 08:50,CUT,"Tringale, Cameron",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+4278,2020-10-28 10:32,11657,+4249,2020-10-27 08:50,CUT,"Norlander, Henrik",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+4278,2020-10-28 10:32,14926,+4249,2020-10-27 08:50,T21,"Malnati, Peter",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+4278,2020-10-28 10:32,22050,+4249,2020-10-27 08:50,CUT,"Suh, Justin",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+4278,2020-10-28 10:32,19477,+4249,2020-10-27 08:50,T26,"Schenk, Adam",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+4278,2020-10-28 10:32,22051,+4249,2020-10-27 08:50,T26,"Wise, Aaron",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+4278,2020-10-28 10:32,5665,+4249,2020-10-27 08:50,T4,"Cink, Stewart",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+4278,2020-10-28 10:32,7960,+4249,2020-10-27 08:50,T53,"List, Luke",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+4530,2020-10-28 10:32,18634,+4499,2020-10-27 08:50,T21,"McNealy, Maverick",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+4530,2020-10-28 10:32,7899,+4499,2020-10-27 08:50,T14,"Piercy, Scott",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+4812,2020-10-28 10:32,12920,+4779,2020-10-27 08:50,T55,"Willett, Danny",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+4812,2020-10-28 10:32,6762,+4779,2020-10-27 08:50,WD,"Perez, Pat",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+5346,2020-10-28 10:32,12359,+5310,2020-10-27 08:50,T26,"Stallings, Scott",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+5346,2020-10-28 10:32,17511,+5310,2020-10-27 08:50,T21,"Straka, Sepp",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+5346,2020-10-28 10:32,21236,+5310,2020-10-27 08:50,CUT,"Bryan, Wesley",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+5346,2020-10-28 10:32,16283,+5310,2020-10-27 08:50,T59,"Rodgers, Patrick",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+5346,2020-10-28 10:32,13831,+5310,2020-10-27 08:50,T16,"Knox, Russell",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+5346,2020-10-28 10:32,15164,+5310,2020-10-27 08:50,CUT,"Lewis, Tom",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+5881,2020-10-28 10:32,17584,+5841,2020-10-27 08:50,CUT,"McCumber, Tyler",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+6137,2020-10-28 10:32,7457,+6095,2020-10-27 08:50,CUT,"Cabrera Bello, Rafa",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+6414,2020-10-28 10:32,5716,+6371,2020-10-27 08:50,T26,"Harrington, Padraig",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+6718,2020-10-28 10:32,14967,+6674,2020-10-27 08:50,T16,"Hadley, Chesson",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+6794,2020-10-28 10:32,17538,+6749,2020-10-27 08:50,T34,"Homa, Max",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+7056,2020-10-28 10:32,14698,+7008,2020-10-27 08:50,T45,"Bramlett, Joseph",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+7056,2020-10-28 10:32,13367,+7008,2020-10-27 08:50,T40,"Merritt, Troy",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+7056,2020-10-28 10:32,13022,+7008,2020-10-27 08:50,CUT,"Stuard, Brian",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+7056,2020-10-28 10:32,12669,+7008,2020-10-27 08:50,T11,"Lahiri, Anirban",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+7056,2020-10-28 10:32,23604,+7008,2020-10-27 08:50,2,"Clark, Wyndham",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+7191,2020-10-28 10:32,12069,+7142,2020-10-27 08:50,T65,"Stanley, Kyle",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+7264,2020-10-28 10:32,13508,+7214,2020-10-27 08:50,T59,"Vegas, Jhonattan",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+7484,2020-10-28 10:32,24550,+7433,2020-10-27 08:50,T14,"Ghim, Doug",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+7484,2020-10-28 10:32,8605,+7433,2020-10-27 08:50,T4,"Jones, Matt",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+7732,2020-10-28 10:32,11952,+7680,2020-10-27 08:50,T40,"Grace, Branden",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+8551,2020-10-28 10:32,7301,+8493,2020-10-27 08:50,58,"Dufner, Jason",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+8551,2020-10-28 10:32,5874,+8493,2020-10-27 08:50,T26,"Percy, Cameron",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+8551,2020-10-28 10:32,11451,+8493,2020-10-27 08:50,T21,"Garnett, Brice",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+9055,2020-10-28 10:32,14706,+8994,2020-10-27 08:50,T63,"Swafford, Hudson",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+9055,2020-10-28 10:32,15470,+8994,2020-10-27 08:50,T26,"Hossler, Beau",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+9619,2020-10-28 10:32,26660,+9555,2020-10-27 08:50,T34,"Gordon, Will",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+10125,2020-10-28 10:32,14007,+10057,2020-10-27 08:50,CUT,"Martin, Ben",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+10686,2020-10-28 10:32,17365,+10615,2020-10-27 08:50,T49,"Mitchell, Keith",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+10686,2020-10-28 10:32,21943,+10615,2020-10-27 08:50,T16,"Lebioda, Hank",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+10686,2020-10-28 10:32,13497,+10615,2020-10-27 08:50,62,"Lee, Kyounghoon",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+10686,2020-10-28 10:32,10104,+10615,2020-10-27 08:50,T37,"Power, Seamus",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+10686,2020-10-28 10:32,8002,+10615,2020-10-27 08:50,CUT,"Oppenheim, Rob",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+11196,2020-10-28 10:32,12321,+11121,2020-10-27 08:50,T11,"Aphibarnrat, Kiradech",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+11856,2020-10-28 10:32,7340,+13266,2020-10-27 08:50,T8,"Hearn, David",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+13356,2020-10-28 10:32,17509,+13266,2020-10-27 08:50,CUT,"Seiffert, Chase",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+13356,2020-10-28 10:32,21237,+13266,2020-10-27 08:50,T8,"Hickok, Kramer",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
0,loss,+13356,2020-10-28 10:32,8571,+13266,2020-10-27 08:50,CUT,"Gomez, Fabian",pinnacle,2020-11-01,Bermuda Championship,win,2021,2020,528
