tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2021,Bermuda Championship,528,"Gay, Brian",5951,1,1,Port Royal Golf Course,765,70,,,,,,-0.03,288.5,0.714,0.722,,,
pga,2020,2021,Bermuda Championship,528,"Gay, Brian",5951,1,2,Port Royal Golf Course,765,68,,,,,,5.638,261.0,0.643,0.444,,,
pga,2020,2021,Bermuda Championship,528,"Gay, Brian",5951,1,3,Port Royal Golf Course,765,67,,,,,,3.515,302.5,0.5,0.722,,,
pga,2020,2021,Bermuda Championship,528,"Gay, Brian",5951,1,4,Port Royal Golf Course,765,64,,,,,,5.324,299.5,0.5,0.889,,,
pga,2020,2021,Bermuda Championship,528,"Clark, Wyndham",23604,2,1,Port Royal Golf Course,765,66,,,,,,3.97,314.5,0.357,0.667,,,
pga,2020,2021,Bermuda Championship,528,"Clark, Wyndham",23604,2,2,Port Royal Golf Course,765,68,,,,,,5.638,299.5,0.429,0.611,,,
pga,2020,2021,Bermuda Championship,528,"Clark, Wyndham",23604,2,3,Port Royal Golf Course,765,70,,,,,,0.515,309.5,0.143,0.722,,,
pga,2020,2021,Bermuda Championship,528,"Clark, Wyndham",23604,2,4,Port Royal Golf Course,765,65,,,,,,4.324,318.5,0.5,0.944,,,
pga,2020,2021,Bermuda Championship,528,"Schniederjans, Ollie",18662,3,1,Port Royal Golf Course,765,66,,,,,,3.97,294.0,0.357,0.556,,,
pga,2020,2021,Bermuda Championship,528,"Schniederjans, Ollie",18662,3,2,Port Royal Golf Course,765,70,,,,,,3.638,275.5,0.286,0.722,,,
pga,2020,2021,Bermuda Championship,528,"Schniederjans, Ollie",18662,3,3,Port Royal Golf Course,765,69,,,,,,1.515,320.0,0.357,0.5,,,
pga,2020,2021,Bermuda Championship,528,"Schniederjans, Ollie",18662,3,4,Port Royal Golf Course,765,66,,,,,,3.324,324.0,0.571,0.833,,,
