tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Streb, Robert",14852,6300,0.001,1,3,6,0,5,86.5,30,130.5
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Tringale, Cameron",14013,7200,0.0558,3,6,3,0,5,88.5,18,120.5
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Kisner, Kevin",11328,8600,0.1592,2,0,9,0,5,85.0,20,119.0
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Landry, Andrew",14000,6300,0.0023,T4,3,6,0,5,85.5,16,115.5
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Wiesberger, Bernd",9531,7500,0.0123,T4,6,3,0,5,84.5,16,114.5
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Stanley, Kyle",12069,6500,0.0053,T6,3,3,0,5,83.5,12,106.5
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Johnson, Zach",6986,8000,0.0726,T6,0,0,0,5,89.5,12,106.5
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Villegas, Camilo",9171,6000,0.0088,T6,3,3,0,0,87.5,12,105.5
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"English, Harris",14577,9700,0.2007,T6,6,3,0,0,83.5,12,104.5
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Kizzire, Patton",13470,6800,0.047,T10,6,0,0,0,90.5,7,103.5
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Huh, John",14606,6600,0.0198,T12,6,3,0,5,78.5,6,98.5
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Hoffman, Charley",5768,7200,0.0107,T23,3,0,0,5,85.5,4,97.5
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Ghim, Doug",24550,6700,0.0348,T18,3,3,0,0,84.0,5,95.0
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Bradley, Keegan",13872,7000,0.0241,T15,0,0,0,5,83.5,6,94.5
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Burgoon, Bronson",11082,6200,0.0013,T15,6,3,0,0,79.0,6,94.0
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Sabbatini, Rory",6283,6700,0.014,T12,3,6,0,0,78.5,6,93.5
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Grillo, Emiliano",12808,7200,0.0457,T18,3,3,0,0,81.5,5,92.5
pga,2020,2021,The RSM Classic,493,draftkings,PGA TOUR $400K 8-Iron [$100K to 1st],"Conners, Corey",17576,8900,0.121,T10,0,3,0,0,82.5,7,92.5
