tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2020,2021,The RSM Classic,493,"Streb, Robert",14852,1,1,Sea Island GC (Seaside),776,65,4.67,-0.559,1.123,-0.351,0.213,4.883,284.1,0.571,0.667,0.625,26.942,34.872
pga,2020,2021,The RSM Classic,493,"Streb, Robert",14852,1,2,Sea Island GC (Plantation),889,63,,,,,,7.066,,,,,,
pga,2020,2021,The RSM Classic,493,"Streb, Robert",14852,1,3,Sea Island GC (Seaside),776,67,1.141,0.285,-0.549,1.061,0.797,1.938,287.8,0.857,0.833,1.0,37.067,39.836
pga,2020,2021,The RSM Classic,493,"Streb, Robert",14852,1,4,Sea Island GC (Seaside),776,68,-1.307,0.775,-0.226,-0.196,0.353,-0.954,279.8,0.786,0.889,0.667,29.037,34.073
pga,2020,2021,The RSM Classic,493,"Kisner, Kevin",11328,2,1,Sea Island GC (Plantation),889,68,,,,,,4.59,,,,,,
pga,2020,2021,The RSM Classic,493,"Kisner, Kevin",11328,2,2,Sea Island GC (Seaside),776,66,0.451,1.171,-0.234,1.291,2.228,2.679,285.9,0.929,0.778,1.0,15.413,31.665
pga,2020,2021,The RSM Classic,493,"Kisner, Kevin",11328,2,3,Sea Island GC (Seaside),776,66,2.453,0.172,-0.451,0.764,0.485,2.938,286.4,0.857,0.778,0.833,82.495,31.13
pga,2020,2021,The RSM Classic,493,"Kisner, Kevin",11328,2,4,Sea Island GC (Seaside),776,63,1.712,0.536,1.53,0.268,2.334,4.046,282.2,0.857,0.889,1.0,42.219,23.254
pga,2020,2021,The RSM Classic,493,"Tringale, Cameron",14013,3,1,Sea Island GC (Plantation),889,67,,,,,,5.59,,,,,,
pga,2020,2021,The RSM Classic,493,"Tringale, Cameron",14013,3,2,Sea Island GC (Seaside),776,68,0.221,0.014,0.999,-0.555,0.458,0.679,292.4,0.571,0.833,0.8,33.781,30.713
pga,2020,2021,The RSM Classic,493,"Tringale, Cameron",14013,3,3,Sea Island GC (Seaside),776,67,0.351,-0.541,1.101,1.027,1.587,1.938,286.5,0.786,0.833,0.8,10.267,32.926
pga,2020,2021,The RSM Classic,493,"Tringale, Cameron",14013,3,4,Sea Island GC (Seaside),776,62,1.17,-0.044,2.552,1.368,3.876,5.046,288.3,1.0,0.889,1.0,,28.684
pga,2020,2021,The RSM Classic,493,"Wiesberger, Bernd",9531,T4,1,Sea Island GC (Seaside),776,66,0.674,0.622,1.358,1.229,3.209,3.883,285.4,0.857,0.889,0.6,31.871,28.841
pga,2020,2021,The RSM Classic,493,"Wiesberger, Bernd",9531,T4,2,Sea Island GC (Plantation),889,68,,,,,,2.066,,,,,,
pga,2020,2021,The RSM Classic,493,"Wiesberger, Bernd",9531,T4,3,Sea Island GC (Seaside),776,68,-0.554,-0.179,0.685,0.986,1.492,0.938,285.8,0.786,0.722,0.6,33.012,29.064
