tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"Hovland, Viktor",18841,9700,0.1356,1,9,0,0,5,99.0,30,143.0
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"Wise, Aaron",22051,7400,0.0277,2,6,3,0,5,99.0,20,133.0
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"Hoge, Tom",15575,6800,0.0241,T3,6,0,0,5,84.5,18,113.5
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"Long, Adam",15473,7800,0.1323,T3,6,0,0,0,88.0,18,112.0
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"Ortiz, Carlos",14735,8900,0.0765,T8,6,3,0,5,86.5,9,109.5
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"Horschel, Billy",11276,8800,0.0818,T5,6,0,0,0,88.5,14,108.5
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"Finau, Tony",11676,10700,0.0741,T8,0,0,5,5,89.5,9,108.5
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"Todd, Brendon",12425,8600,0.077,T8,6,0,0,5,86.0,9,106.0
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"English, Harris",14577,10100,0.1733,T5,0,0,0,0,90.5,14,104.5
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"McNealy, Maverick",18634,7200,0.0528,T12,9,0,0,0,88.5,6,103.5
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"Eckroat, Austin",26653,6500,0.0014,T12,6,0,0,5,84.0,6,101.0
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"Grillo, Emiliano",12808,8300,0.1291,T8,6,0,0,0,85.5,9,100.5
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"Thomas, Justin",14139,11400,0.3629,T12,3,3,0,0,88.0,6,100.0
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"Glover, Lucas",7399,7200,0.0177,T5,0,3,0,0,82.0,14,99.0
pga,2020,2021,Mayakoba Golf Classic presented by UNIFIN,457,draftkings,PGA TOUR $500K Resurgence [$100K to 1st],"Homa, Max",17538,6800,0.0257,T12,6,0,0,0,86.5,6,98.5
