date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Thomas, Justin",0.89565,0.04625,0.764,0.66595,0.4927,0.33925,0.250725,0.11755,T12
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Henley, Russell",0.837875,0.02995,0.63095,0.509375,0.3296,0.200175,0.136275,0.0553,CUT
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Ancer, Abraham",0.839175,0.029525,0.6374,0.51745,0.337925,0.206875,0.140325,0.05465,T12
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","English, Harris",0.838975,0.0271,0.63475,0.511325,0.332675,0.20645,0.137125,0.054575,T5
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Hovland, Viktor",0.815825,0.0251,0.58915,0.465125,0.291725,0.173275,0.11425,0.0435,1
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Berger, Daniel",0.820225,0.0244,0.5975,0.47335,0.294275,0.171575,0.1115,0.03955,T23
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Conners, Corey",0.801475,0.021775,0.551825,0.426825,0.25805,0.14585,0.09235,0.032425,T17
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Todd, Brendon",0.777675,0.019725,0.517575,0.392825,0.228675,0.127925,0.082375,0.029075,T8
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Reavie, Chez",0.773,0.01975,0.50575,0.38265,0.222725,0.122625,0.074925,0.026275,CUT
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Harman, Brian",0.7704,0.016475,0.494625,0.3665,0.206075,0.109875,0.067525,0.022925,T30
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Horschel, Billy",0.764425,0.01695,0.4895,0.363375,0.204275,0.110175,0.069525,0.022825,T5
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Fowler, Rickie",0.7592,0.01715,0.4816,0.3544,0.2002,0.106225,0.063825,0.022775,CUT
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Dahmen, Joel",0.735025,0.017825,0.4401,0.32285,0.1774,0.09325,0.057775,0.01905,T20
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Streelman, Kevin",0.73895,0.015675,0.44275,0.31945,0.174075,0.09205,0.056425,0.019025,T32
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Koepka, Brooks",0.74555,0.01565,0.44765,0.323275,0.174625,0.090725,0.05545,0.0184,CUT
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Finau, Tony",0.74465,0.0161,0.452475,0.32785,0.179675,0.091825,0.054975,0.01795,T8
"Dec 6, 2020","Mayakoba Golf Classic presented by UNIFIN","Niemann, Joaquin",0.741725,0.015425,0.448025,0.322375,0.17575,0.0921,0.05455,0.017325,T23
