bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+583,2021-01-07 11:18,12422,+540,2021-01-05 08:15,T11,"Johnson, Dustin",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+632,2021-01-07 11:18,14139,+583,2021-01-05 08:15,3,"Thomas, Justin",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+762,2021-01-07 11:18,19195,+671,2021-01-05 08:15,T7,"Rahm, Jon",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+922,2021-01-07 11:18,19895,+857,2021-01-05 08:15,T5,"Schauffele, Xander",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+947,2021-01-07 11:18,19841,+1064,2021-01-05 08:15,T7,"DeChambeau, Bryson",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+1440,2021-01-07 11:18,15466,+1343,2021-01-05 08:15,T13,"Cantlay, Patrick",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+1607,2021-01-07 11:18,14838,+1803,2021-01-05 08:15,T21,"Reed, Patrick",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+1649,2021-01-07 11:18,18841,+1535,2021-01-05 08:15,T31,"Hovland, Viktor",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+1741,2021-01-07 11:18,13562,+1622,2021-01-05 08:15,T41,"Matsuyama, Hideki",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+2441,2021-01-07 11:18,11049,+2855,2021-01-05 08:15,T17,"Simpson, Webb",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+2536,2021-01-07 11:18,22085,+3193,2021-01-05 08:15,T7,"Morikawa, Collin",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+2655,2021-01-07 11:18,11676,+2716,2021-01-05 08:15,T31,"Finau, Tony",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+3220,2021-01-07 11:18,18417,+3944,2021-01-05 08:15,T13,"Scheffler, Scottie",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+3769,2021-01-07 11:18,6430,+3522,2021-01-05 08:15,T21,"Scott, Adam",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
1,paid in full,+3863,2021-01-07 11:18,14577,+4036,2021-01-05 08:15,1,"English, Harris",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+3889,2021-01-07 11:18,17606,+3949,2021-01-05 08:15,10,"Berger, Daniel",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+3900,2021-01-07 11:18,18079,+5713,2021-01-05 08:15,2,"Niemann, Joaquin",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+4016,2021-01-07 11:18,7649,+3751,2021-01-05 08:15,T24,"Leishman, Marc",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+4316,2021-01-07 11:18,18238,+4036,2021-01-05 08:15,T17,"Ancer, Abraham",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+5068,2021-01-07 11:18,23542,+9972,2021-01-05 08:15,T31,"Champ, Cameron",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+5068,2021-01-07 11:18,12425,+3962,2021-01-05 08:15,T13,"Todd, Brendon",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+5146,2021-01-07 11:18,11328,+4811,2021-01-05 08:15,T24,"Kisner, Kevin",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+5172,2021-01-07 11:18,15856,+5714,2021-01-05 08:15,T24,"Smith, Cameron",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+5290,2021-01-07 11:18,17488,+7996,2021-01-05 08:15,T5,"Im, Sungjae",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+6081,2021-01-07 11:18,7820,+3749,2021-01-05 08:15,4,"Palmer, Ryan",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+6254,2021-01-07 11:18,14000,+5850,2021-01-05 08:15,T38,"Landry, Andrew",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+7208,2021-01-07 11:18,12337,+6741,2021-01-05 08:15,T35,"Kokrak, Jason",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+7324,2021-01-07 11:18,5689,+24006,2021-01-05 08:15,T11,"Garcia, Sergio",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+8108,2021-01-07 11:18,20770,+16923,2021-01-05 08:15,T17,"Munoz, Sebastian",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+8108,2021-01-07 11:18,11276,+13208,2021-01-05 08:15,T24,"Horschel, Billy",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+9320,2021-01-07 11:18,15556,+8719,2021-01-05 08:15,T41,"Hughes, Mackenzie",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+10053,2021-01-07 11:18,14735,+9405,2021-01-05 08:15,37,"Ortiz, Carlos",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+10135,2021-01-07 11:18,15330,+20232,2021-01-05 08:15,T13,"Griffin, Lanto",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+10135,2021-01-07 11:18,7452,+30396,2021-01-05 08:15,T38,"Na, Kevin",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+12514,2021-01-07 11:18,5951,+11707,2021-01-05 08:15,T29,"Gay, Brian",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+17672,2021-01-07 11:18,12946,+16536,2021-01-05 08:15,T21,"Thompson, Michael",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+35442,2021-01-07 11:18,13126,+33171,2021-01-05 08:15,T29,"Taylor, Nick",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+37136,2021-01-07 11:18,14706,+34754,2021-01-05 08:15,T35,"Swafford, Hudson",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+41054,2021-01-07 11:18,9586,+38422,2021-01-05 08:15,T17,"Laird, Martin",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+55754,2021-01-07 11:18,19364,+52181,2021-01-05 08:15,T24,"Werenski, Richy",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+55754,2021-01-07 11:18,14852,+52181,2021-01-05 08:15,T38,"Streb, Robert",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
0,loss,+60050,2021-01-07 11:18,5665,+56204,2021-01-05 08:15,T31,"Cink, Stewart",pinnacle,2021-01-10,Sentry Tournament of Champions,win,2021,2021,16
