tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,Sony Open in Hawaii,6,"Na, Kevin",7452,1,1,Waialae Country Club,6,67,-0.652,1.303,0.753,-0.085,1.971,1.319,292.1,0.5,0.667,0.833,40.58,24.028
pga,2021,2021,Sony Open in Hawaii,6,"Na, Kevin",7452,1,2,Waialae Country Club,6,66,1.298,-0.309,1.378,0.188,1.258,2.556,297.1,0.571,0.778,0.571,41.069,25.112
pga,2021,2021,Sony Open in Hawaii,6,"Na, Kevin",7452,1,3,Waialae Country Club,6,61,0.821,1.69,2.652,0.494,4.837,5.658,292.4,0.786,0.889,1.0,40.44,16.85
pga,2021,2021,Sony Open in Hawaii,6,"Na, Kevin",7452,1,4,Waialae Country Club,6,65,1.803,-0.044,0.937,-0.23,0.663,2.466,288.8,0.643,0.833,1.0,47.797,20.889
pga,2021,2021,Sony Open in Hawaii,6,"Niemann, Joaquin",18079,T2,1,Waialae Country Club,6,62,0.983,1.094,1.373,2.869,5.336,6.319,321.0,0.857,1.0,1.0,33.875,22.142
pga,2021,2021,Sony Open in Hawaii,6,"Niemann, Joaquin",18079,T2,2,Waialae Country Club,6,69,-1.681,-0.594,1.042,0.788,1.237,-0.444,310.3,0.714,0.889,0.333,45.022,25.794
pga,2021,2021,Sony Open in Hawaii,6,"Niemann, Joaquin",18079,T2,3,Waialae Country Club,6,63,2.028,0.306,0.791,0.532,1.63,3.658,296.7,0.643,0.833,0.8,43.41,19.195
pga,2021,2021,Sony Open in Hawaii,6,"Niemann, Joaquin",18079,T2,4,Waialae Country Club,6,66,1.1,-0.018,0.898,-0.514,0.366,1.466,306.2,0.357,0.833,0.857,27.433,28.987
pga,2021,2021,Sony Open in Hawaii,6,"Kirk, Chris",12423,T2,1,Waialae Country Club,6,65,1.956,0.284,1.231,-0.152,1.363,3.319,303.6,0.786,0.778,0.8,38.971,28.636
pga,2021,2021,Sony Open in Hawaii,6,"Kirk, Chris",12423,T2,2,Waialae Country Club,6,65,0.709,1.015,2.323,-0.492,2.847,3.556,292.5,0.571,0.833,0.75,42.274,22.924
pga,2021,2021,Sony Open in Hawaii,6,"Kirk, Chris",12423,T2,3,Waialae Country Club,6,65,1.763,0.385,-0.773,0.282,-0.105,1.658,292.1,0.643,0.667,0.75,53.797,22.624
pga,2021,2021,Sony Open in Hawaii,6,"Kirk, Chris",12423,T2,4,Waialae Country Club,6,65,-0.496,0.652,1.974,0.336,2.962,2.466,297.8,0.714,0.833,0.75,38.89,25.754
pga,2021,2021,Sony Open in Hawaii,6,"Steele, Brendan",11019,T4,1,Waialae Country Club,6,65,2.261,-0.094,-0.071,1.223,1.058,3.319,291.6,0.857,0.944,0.5,39.457,27.017
pga,2021,2021,Sony Open in Hawaii,6,"Steele, Brendan",11019,T4,2,Waialae Country Club,6,66,-0.518,1.147,1.36,0.566,3.074,2.556,291.6,0.643,0.889,0.75,30.88,27.51
pga,2021,2021,Sony Open in Hawaii,6,"Steele, Brendan",11019,T4,3,Waialae Country Club,6,61,3.377,0.688,0.749,0.843,2.281,5.658,285.0,0.929,0.944,1.0,,21.997
pga,2021,2021,Sony Open in Hawaii,6,"Steele, Brendan",11019,T4,4,Waialae Country Club,6,69,-0.287,-0.44,-1.236,0.429,-1.247,-1.534,291.2,0.714,0.778,0.6,58.425,32.638
pga,2021,2021,Sony Open in Hawaii,6,"Leishman, Marc",7649,T4,1,Waialae Country Club,6,66,-0.876,0.116,2.706,0.373,3.195,2.319,292.6,0.643,0.833,0.667,38.487,17.878
