tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Kim, Si Woo",14609,8200,0.127,1,0,9,0,5,99.0,30,143.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Cantlay, Patrick",15466,11100,0.2006,2,9,3,0,0,102.0,20,134.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Davis, Cameron",17786,7700,0.1498,3,6,3,0,0,100.0,18,127.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Finau, Tony",11676,10500,0.1796,4,9,0,0,5,96.0,16,126.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Ancer, Abraham",18238,9100,0.2567,T5,3,3,0,0,89.0,14,109.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Thompson, Michael",12946,7100,0.027,T5,6,6,0,0,83.0,14,109.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Harman, Brian",8825,8100,0.1224,T8,9,0,0,0,88.0,9,106.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Ghim, Doug",24550,6800,0.0172,T5,0,3,0,5,78.0,14,100.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Sabbatini, Rory",6283,7000,0.0126,T12,6,0,0,0,85.5,6,97.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Molinari, Francesco",7655,7000,0.0257,T8,3,3,0,0,82.5,9,97.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Homa, Max",17538,7000,0.0283,T21,6,0,0,0,86.5,4,96.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"An, Byeong Hun",14459,7000,0.0215,T8,3,3,0,0,81.5,9,96.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Armour, Ryan",8469,6300,0.0042,T16,3,0,0,0,88.0,5,96.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Casey, Paul",7108,8700,0.0725,T8,0,6,0,0,80.0,9,95.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Im, Sungjae",17488,9900,0.1988,T12,0,3,0,0,85.5,6,94.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Seiffert, Chase",17509,6400,0.0024,T12,6,3,0,0,79.0,6,94.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Knox, Russell",13831,7200,0.0139,T16,3,3,0,0,81.0,5,92.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Jones, Matt",8605,7100,0.0316,T21,0,3,0,0,84.5,4,91.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Hagy, Brandon",18695,6200,0.0004,T21,6,0,0,0,80.5,4,90.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Werenski, Richy",19364,6700,0.0077,T21,3,6,0,0,77.0,4,90.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Fowler, Rickie",12965,9300,0.0623,T21,6,0,0,0,78.5,4,88.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Norlander, Henrik",11657,6800,0.0078,T12,0,3,0,0,79.0,6,88.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Kirk, Chris",12423,7600,0.0961,T16,0,3,0,0,79.0,5,87.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"List, Luke",7960,6600,0.0199,T21,3,0,0,0,79.0,4,86.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Steele, Brendan",11019,7300,0.0722,T21,0,3,0,0,78.5,4,85.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Gooch, Talor",18580,7400,0.1054,T21,0,0,0,0,81.0,4,85.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Woodland, Gary",12577,7700,0.0386,T16,0,0,0,0,80.0,5,85.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Teater, Josh",8085,6200,0.0009,T40,0,0,0,0,81.5,2,83.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Hadwin, Adam",13965,8000,0.0805,T32,0,3,0,0,78.5,2,83.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Hoag, Bo",14081,6500,0.0013,T16,0,0,0,0,78.0,5,83.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Sloan, Roger",14050,6300,0.0015,T40,3,0,0,0,78.0,2,83.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Hahn, James",11374,7100,0.0588,T32,6,0,0,0,73.5,2,81.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Schwartzel, Charl",7398,6900,0.0046,T54,3,0,0,0,77.5,0,80.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Lee, Kyoung-Hoon",13497,6500,0.0074,T32,3,0,0,0,74.5,2,79.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Grillo, Emiliano",12808,7800,0.1011,T37,0,3,0,0,74.0,2,79.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Lovemark, Jamie",11382,6300,0.0017,T40,3,0,0,0,73.0,2,78.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Huh, John",14606,7200,0.0743,T21,0,0,0,0,74.0,4,78.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Gibson, Rhein",13342,6000,0.0002,T40,0,0,0,0,76.0,2,78.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Putnam, Andrew",14704,6500,0.0064,T21,0,0,0,0,72.5,4,76.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Cook, Austin",18579,6700,0.0136,T32,0,0,0,0,74.5,2,76.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Oppenheim, Rob",8002,6100,0.0008,T47,3,0,0,0,72.5,1,76.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Burgoon, Bronson",11082,6200,0.0031,T37,3,0,0,0,70.5,2,75.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Stuard, Brian",13022,6600,0.0061,T47,3,3,0,0,68.0,1,75.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Hickok, Kramer",21237,6700,0.0248,T21,0,0,0,0,71.0,4,75.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Taylor, Nick",13126,7000,0.0254,T47,6,3,0,0,64.5,1,74.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"van Rooyen, Erik",17550,7900,0.053,T56,0,0,0,0,74.5,0,74.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Taylor, Vaughn",6930,6800,0.0133,T60,3,0,0,0,71.5,0,74.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Noren, Alex",10419,7600,0.0257,T40,0,0,0,0,72.0,2,74.0
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Clark, Wyndham",23604,7100,0.052,T54,3,0,0,0,70.5,0,73.5
pga,2021,2021,The American Express,2,draftkings,PGA TOUR $600K Approach Shot [$200K to 1st],"Stanley, Kyle",12069,6800,0.0059,T32,3,0,0,0,68.5,2,73.5
