tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,The American Express,2,"Kim, Si Woo",14609,1,1,Stadium Course,704,66,1.871,1.243,1.446,0.49,3.18,5.064,277.0,0.643,0.778,0.857,48.5,24.352
pga,2021,2021,The American Express,2,"Kim, Si Woo",14609,1,2,Nicklaus Tournament Course,233,68,,,,,,3.513,,,,,,
pga,2021,2021,The American Express,2,"Kim, Si Woo",14609,1,3,Stadium Course,704,67,-1.214,-0.017,4.363,0.374,4.721,3.507,290.3,0.571,0.833,0.667,38.587,26.382
pga,2021,2021,The American Express,2,"Kim, Si Woo",14609,1,4,Stadium Course,704,64,2.912,0.466,2.087,1.154,3.708,6.62,288.3,0.786,0.833,1.0,53.818,26.454
pga,2021,2021,The American Express,2,"Cantlay, Patrick",15466,2,1,Nicklaus Tournament Course,233,69,,,,,,1.385,,,,,,
pga,2021,2021,The American Express,2,"Cantlay, Patrick",15466,2,2,Stadium Course,704,71,-0.079,0.929,-1.086,0.237,0.079,0.0,293.7,0.643,0.833,0.6,27.292,41.374
pga,2021,2021,The American Express,2,"Cantlay, Patrick",15466,2,3,Stadium Course,704,65,2.327,0.814,1.523,0.842,3.18,5.507,299.4,0.571,0.722,0.857,51.585,31.633
pga,2021,2021,The American Express,2,"Cantlay, Patrick",15466,2,4,Stadium Course,704,61,4.366,1.539,3.157,0.557,5.254,9.62,303.2,0.714,0.833,1.0,18.857,27.977
pga,2021,2021,The American Express,2,"Davis, Cameron",17786,3,1,Nicklaus Tournament Course,233,68,,,,,,2.385,,,,,,
pga,2021,2021,The American Express,2,"Davis, Cameron",17786,3,2,Stadium Course,704,70,2.921,1.144,-2.129,-0.935,-1.921,1.0,279.5,0.5,0.556,0.875,22.607,35.012
pga,2021,2021,The American Express,2,"Davis, Cameron",17786,3,3,Stadium Course,704,66,0.367,-0.874,5.12,-0.107,4.14,4.507,302.9,0.5,0.833,0.667,41.236,24.329
pga,2021,2021,The American Express,2,"Davis, Cameron",17786,3,4,Stadium Course,704,64,2.09,0.481,2.52,1.528,4.53,6.62,298.5,0.714,0.778,0.833,26.484,27.011
pga,2021,2021,The American Express,2,"Finau, Tony",11676,4,1,Stadium Course,704,68,-0.291,0.878,1.425,1.038,3.342,3.064,287.9,0.714,0.889,0.833,46.469,28.298
pga,2021,2021,The American Express,2,"Finau, Tony",11676,4,2,Nicklaus Tournament Course,233,66,,,,,,5.513,,,,,,
pga,2021,2021,The American Express,2,"Finau, Tony",11676,4,3,Stadium Course,704,67,0.475,1.105,1.099,0.827,3.032,3.507,291.2,0.643,0.833,1.0,37.233,30.567
pga,2021,2021,The American Express,2,"Finau, Tony",11676,4,4,Stadium Course,704,68,-0.366,-0.823,2.425,1.383,2.986,2.62,296.9,0.714,0.778,0.4,39.506,23.452
pga,2021,2021,The American Express,2,"Ghim, Doug",24550,T5,1,Stadium Course,704,67,-0.759,1.142,2.886,0.781,4.81,4.064,271.6,0.786,0.889,0.833,32.552,30.813
pga,2021,2021,The American Express,2,"Ghim, Doug",24550,T5,2,Nicklaus Tournament Course,233,68,,,,,,3.513,,,,,,
pga,2021,2021,The American Express,2,"Ghim, Doug",24550,T5,3,Stadium Course,704,69,-0.272,-0.498,1.212,1.064,1.779,1.507,281.8,0.857,0.944,0.6,,26.973
pga,2021,2021,The American Express,2,"Ghim, Doug",24550,T5,4,Stadium Course,704,69,2.455,-0.561,-0.218,-0.057,-0.835,1.62,286.7,0.714,0.833,0.833,30.88,34.657
