tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Koepka, Brooks",16243,8800,0.0846,1,12,0,0,5,99.5,30,146.5
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Schauffele, Xander",19895,11000,0.1693,T2,9,3,0,0,94.0,20,126.0
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Ortiz, Carlos",14735,7800,0.1038,T4,0,0,0,5,100.5,16,121.5
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Lee, Kyoung-Hoon",13497,6100,0.0017,T2,0,0,0,5,91.0,20,116.0
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Spieth, Jordan",14636,7500,0.0273,T4,6,3,0,0,90.0,16,115.0
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"NeSmith, Matthew",16433,6500,0.0249,T7,0,3,0,0,99.5,10,112.5
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Stricker, Steve",4818,6300,0.0106,T4,3,0,0,5,86.0,16,110.0
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Poston, J.T.",21554,6900,0.0186,T11,3,0,0,5,95.5,6,109.5
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Scheffler, Scottie",18417,9100,0.0827,T7,3,0,0,0,93.0,10,106.0
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Putnam, Andrew",14704,6300,0.002,T7,0,12,0,5,76.0,10,103.0
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Hahn, James",11374,6800,0.046,10,3,6,0,5,81.0,7,102.0
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Thomas, Justin",14139,10800,0.2406,T13,3,3,0,0,88.5,6,100.5
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Conners, Corey",17576,7900,0.1548,T17,0,0,0,5,85.0,5,95.0
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Oosthuizen, Louis",7672,8900,0.0382,T11,3,3,0,0,81.5,6,93.5
pga,2021,2021,Waste Management Phoenix Open,3,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Burns, Sam",19483,7700,0.1163,T22,3,0,0,0,85.5,4,92.5
