tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,Waste Management Phoenix Open,3,"Koepka, Brooks",16243,1,1,TPC Scottsdale,510,68,2.612,-1.192,1.149,-0.205,-0.248,2.364,311.4,0.5,0.778,0.571,48.549,19.322
pga,2021,2021,Waste Management Phoenix Open,3,"Koepka, Brooks",16243,1,2,TPC Scottsdale,510,66,0.463,-0.147,1.882,0.939,2.673,3.136,320.9,0.714,0.889,1.0,31.711,23.912
pga,2021,2021,Waste Management Phoenix Open,3,"Koepka, Brooks",16243,1,3,TPC Scottsdale,510,66,0.986,0.352,1.283,0.227,1.862,2.848,313.0,0.571,0.889,0.667,43.141,24.1
pga,2021,2021,Waste Management Phoenix Open,3,"Koepka, Brooks",16243,1,4,TPC Scottsdale,510,65,-1.045,1.471,1.771,1.682,4.924,3.879,317.7,0.786,0.889,0.667,24.214,25.136
pga,2021,2021,Waste Management Phoenix Open,3,"Lee, Kyoung-Hoon",13497,T2,1,TPC Scottsdale,510,66,-1.774,1.224,2.594,2.32,6.138,4.364,308.5,1.0,1.0,1.0,,24.144
pga,2021,2021,Waste Management Phoenix Open,3,"Lee, Kyoung-Hoon",13497,T2,2,TPC Scottsdale,510,66,3.582,0.352,0.476,-1.273,-0.446,3.136,300.9,0.571,0.833,0.8,37.015,35.223
pga,2021,2021,Waste Management Phoenix Open,3,"Lee, Kyoung-Hoon",13497,T2,3,TPC Scottsdale,510,66,0.146,2.567,-0.154,0.289,2.702,2.848,309.9,0.786,0.722,0.5,71.323,30.962
pga,2021,2021,Waste Management Phoenix Open,3,"Lee, Kyoung-Hoon",13497,T2,4,TPC Scottsdale,510,68,-1.029,1.775,-0.545,0.678,1.908,0.879,311.4,0.571,0.833,0.857,44.709,30.979
pga,2021,2021,Waste Management Phoenix Open,3,"Schauffele, Xander",19895,T2,1,TPC Scottsdale,510,66,2.861,-0.342,-0.173,2.018,1.503,4.364,319.6,0.714,0.722,0.625,50.346,33.536
pga,2021,2021,Waste Management Phoenix Open,3,"Schauffele, Xander",19895,T2,2,TPC Scottsdale,510,64,1.816,0.676,1.427,1.218,3.32,5.136,313.6,0.643,0.833,0.75,45.943,29.167
pga,2021,2021,Waste Management Phoenix Open,3,"Schauffele, Xander",19895,T2,3,TPC Scottsdale,510,65,1.954,0.286,-0.781,2.389,1.894,3.848,325.8,0.857,0.778,0.8,105.132,22.758
pga,2021,2021,Waste Management Phoenix Open,3,"Schauffele, Xander",19895,T2,4,TPC Scottsdale,510,71,-0.227,-1.322,0.105,-0.677,-1.894,-2.121,328.3,0.571,0.778,0.5,24.39,30.541
pga,2021,2021,Waste Management Phoenix Open,3,"Ortiz, Carlos",14735,T4,1,TPC Scottsdale,510,67,0.985,0.105,0.69,1.584,2.379,3.364,308.6,0.786,0.778,0.5,32.144,36.336
pga,2021,2021,Waste Management Phoenix Open,3,"Ortiz, Carlos",14735,T4,2,TPC Scottsdale,510,67,2.192,-0.263,-0.09,0.298,-0.056,2.136,315.9,0.714,0.778,0.625,31.002,32.034
pga,2021,2021,Waste Management Phoenix Open,3,"Ortiz, Carlos",14735,T4,3,TPC Scottsdale,510,69,0.889,1.075,0.674,-2.79,-1.041,-0.152,316.3,0.571,0.722,0.6,20.399,24.044
pga,2021,2021,Waste Management Phoenix Open,3,"Ortiz, Carlos",14735,T4,4,TPC Scottsdale,510,64,3.413,1.044,-1.001,1.423,1.466,4.879,312.4,0.714,0.944,0.8,73.14,23.039
pga,2021,2021,Waste Management Phoenix Open,3,"Spieth, Jordan",14636,T4,1,TPC Scottsdale,510,67,3.811,0.702,0.681,-1.83,-0.447,3.364,303.3,0.286,0.611,0.889,39.561,38.534
pga,2021,2021,Waste Management Phoenix Open,3,"Spieth, Jordan",14636,T4,2,TPC Scottsdale,510,67,-0.234,-0.379,1.772,0.978,2.37,2.136,310.7,0.786,0.889,0.5,35.528,28.661
pga,2021,2021,Waste Management Phoenix Open,3,"Spieth, Jordan",14636,T4,3,TPC Scottsdale,510,61,2.43,1.557,4.428,-0.567,5.418,7.848,309.2,0.429,0.889,1.0,30.167,27.541
pga,2021,2021,Waste Management Phoenix Open,3,"Spieth, Jordan",14636,T4,4,TPC Scottsdale,510,72,-1.913,0.15,0.968,-2.326,-1.208,-3.121,316.2,0.429,0.833,0.75,24.686,30.662
pga,2021,2021,Waste Management Phoenix Open,3,"Stricker, Steve",4818,T4,1,TPC Scottsdale,510,65,2.12,1.888,1.113,0.243,3.244,5.364,291.9,0.786,0.778,0.8,25.748,27.857
pga,2021,2021,Waste Management Phoenix Open,3,"Stricker, Steve",4818,T4,2,TPC Scottsdale,510,66,3.592,0.424,-0.266,-0.613,-0.456,3.136,286.9,0.643,0.778,0.889,46.503,26.881
pga,2021,2021,Waste Management Phoenix Open,3,"Stricker, Steve",4818,T4,3,TPC Scottsdale,510,69,-0.776,-0.418,0.472,0.57,0.624,-0.152,293.6,0.857,0.944,0.333,104.617,26.241
pga,2021,2021,Waste Management Phoenix Open,3,"Stricker, Steve",4818,T4,4,TPC Scottsdale,510,67,-1.452,0.226,3.542,-0.437,3.331,1.879,300.0,0.429,1.0,1.0,44.498,23.369
pga,2021,2021,Waste Management Phoenix Open,3,"NeSmith, Matthew",16433,T7,1,TPC Scottsdale,510,63,2.049,2.689,1.326,1.3,5.315,7.364,302.4,0.786,0.944,1.0,19.83,35.646
pga,2021,2021,Waste Management Phoenix Open,3,"NeSmith, Matthew",16433,T7,2,TPC Scottsdale,510,71,-1.735,-0.219,1.673,-1.582,-0.129,-1.864,309.4,0.714,0.889,0.5,40.675,31.196
pga,2021,2021,Waste Management Phoenix Open,3,"NeSmith, Matthew",16433,T7,3,TPC Scottsdale,510,68,0.858,-0.87,-0.088,0.948,-0.01,0.848,305.7,0.786,0.833,0.6,69.889,26.553
pga,2021,2021,Waste Management Phoenix Open,3,"NeSmith, Matthew",16433,T7,4,TPC Scottsdale,510,66,2.558,-0.405,1.64,-0.914,0.321,2.879,303.5,0.5,0.778,0.833,52.264,34.05
pga,2021,2021,Waste Management Phoenix Open,3,"Scheffler, Scottie",18417,T7,1,TPC Scottsdale,510,67,2.232,-0.345,-0.779,2.256,1.132,3.364,314.6,0.857,0.778,0.5,54.731,32.704
pga,2021,2021,Waste Management Phoenix Open,3,"Scheffler, Scottie",18417,T7,2,TPC Scottsdale,510,65,1.989,-0.554,2.273,0.429,2.147,4.136,314.4,0.643,0.722,0.8,38.62,22.994
pga,2021,2021,Waste Management Phoenix Open,3,"Scheffler, Scottie",18417,T7,3,TPC Scottsdale,510,66,2.55,-0.113,0.055,0.356,0.298,2.848,312.2,0.643,0.833,0.75,47.498,25.765
pga,2021,2021,Waste Management Phoenix Open,3,"Scheffler, Scottie",18417,T7,4,TPC Scottsdale,510,70,-1.664,-0.479,-0.351,1.373,0.543,-1.121,318.0,0.714,0.778,0.571,39.932,34.074
pga,2021,2021,Waste Management Phoenix Open,3,"Putnam, Andrew",14704,T7,1,TPC Scottsdale,510,67,1.937,1.7,-0.019,-0.254,1.427,3.364,287.9,0.643,0.722,1.0,42.058,39.65
pga,2021,2021,Waste Management Phoenix Open,3,"Putnam, Andrew",14704,T7,2,TPC Scottsdale,510,69,0.832,1.183,0.329,-2.207,-0.696,0.136,293.3,0.571,0.833,0.8,47.069,35.211
pga,2021,2021,Waste Management Phoenix Open,3,"Putnam, Andrew",14704,T7,3,TPC Scottsdale,510,67,0.295,0.745,-0.079,0.887,1.553,1.848,294.6,0.929,0.889,0.667,44.78,38.837
pga,2021,2021,Waste Management Phoenix Open,3,"Putnam, Andrew",14704,T7,4,TPC Scottsdale,510,65,1.54,1.29,0.917,0.132,2.339,3.879,292.0,0.714,1.0,1.0,36.469,34.027
pga,2021,2021,Waste Management Phoenix Open,3,"Hahn, James",11374,10,1,TPC Scottsdale,510,67,1.241,0.671,2.059,-0.607,2.123,3.364,295.5,0.571,0.889,1.0,40.765,27.266
pga,2021,2021,Waste Management Phoenix Open,3,"Hahn, James",11374,10,2,TPC Scottsdale,510,67,1.039,0.684,1.598,-1.184,1.097,2.136,301.8,0.5,0.722,0.833,38.029,23.198
pga,2021,2021,Waste Management Phoenix Open,3,"Hahn, James",11374,10,3,TPC Scottsdale,510,66,0.965,-0.297,1.837,0.343,1.883,2.848,301.5,0.643,0.944,0.8,35.872,21.109
pga,2021,2021,Waste Management Phoenix Open,3,"Hahn, James",11374,10,4,TPC Scottsdale,510,69,2.214,-0.185,-1.456,-0.694,-2.335,-0.121,301.4,0.571,0.611,0.667,41.703,35.491
pga,2021,2021,Waste Management Phoenix Open,3,"Oosthuizen, Louis",7672,T11,1,TPC Scottsdale,510,69,-0.133,1.189,0.228,0.08,1.497,1.364,300.6,0.714,0.667,0.75,40.002,34.348
pga,2021,2021,Waste Management Phoenix Open,3,"Oosthuizen, Louis",7672,T11,2,TPC Scottsdale,510,67,2.691,0.331,-1.545,0.66,-0.555,2.136,295.6,0.786,0.667,0.8,39.045,33.389
pga,2021,2021,Waste Management Phoenix Open,3,"Oosthuizen, Louis",7672,T11,3,TPC Scottsdale,510,63,2.333,1.298,0.984,1.233,3.515,5.848,305.9,0.857,0.833,0.8,35.99,30.324
pga,2021,2021,Waste Management Phoenix Open,3,"Oosthuizen, Louis",7672,T11,4,TPC Scottsdale,510,71,-0.63,0.165,-0.615,-1.041,-1.491,-2.121,304.8,0.643,0.722,0.667,66.468,35.541
pga,2021,2021,Waste Management Phoenix Open,3,"Poston, J.T.",21554,T11,1,TPC Scottsdale,510,68,0.772,1.018,2.054,-1.48,1.592,2.364,307.8,0.429,0.556,0.714,42.309,32.889
pga,2021,2021,Waste Management Phoenix Open,3,"Poston, J.T.",21554,T11,2,TPC Scottsdale,510,66,1.768,0.316,1.278,-0.225,1.368,3.136,305.8,0.5,0.778,0.714,27.817,25.246
pga,2021,2021,Waste Management Phoenix Open,3,"Poston, J.T.",21554,T11,3,TPC Scottsdale,510,67,2.824,-0.301,-0.197,-0.478,-0.976,1.848,305.3,0.571,0.722,0.625,56.111,34.701
pga,2021,2021,Waste Management Phoenix Open,3,"Poston, J.T.",21554,T11,4,TPC Scottsdale,510,69,-0.958,-0.861,1.332,0.366,0.837,-0.121,309.5,0.5,0.889,0.333,43.504,32.043
pga,2021,2021,Waste Management Phoenix Open,3,"Varner III, Harold",16602,T13,1,TPC Scottsdale,510,68,-0.397,-0.531,3.3,-0.008,2.761,2.364,304.3,0.571,0.889,0.667,21.017,26.043
pga,2021,2021,Waste Management Phoenix Open,3,"Varner III, Harold",16602,T13,2,TPC Scottsdale,510,68,-0.501,1.063,0.289,0.286,1.637,1.136,298.8,0.643,0.722,0.625,24.179,33.286
pga,2021,2021,Waste Management Phoenix Open,3,"Varner III, Harold",16602,T13,3,TPC Scottsdale,510,67,-0.172,0.11,2.187,-0.277,2.02,1.848,307.3,0.571,0.889,0.0,41.346,28.012
