date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Feb 7, 2021","Waste Management Phoenix Open","Rahm, Jon",0.915925,0.0532,0.802375,0.71275,0.548475,0.397525,0.3017,0.14195,T13
"Feb 7, 2021","Waste Management Phoenix Open","Thomas, Justin",0.877725,0.039,0.72065,0.6155,0.440425,0.290225,0.204675,0.08995,T13
"Feb 7, 2021","Waste Management Phoenix Open","Schauffele, Xander",0.863,0.04185,0.690825,0.5797,0.399325,0.257175,0.17595,0.070625,T2
"Feb 7, 2021","Waste Management Phoenix Open","McIlroy, Rory",0.8503,0.03745,0.66405,0.547825,0.370025,0.23505,0.161175,0.064175,T13
"Feb 7, 2021","Waste Management Phoenix Open","Simpson, Webb",0.850375,0.026075,0.64515,0.525175,0.344075,0.206625,0.1364,0.05065,T42
"Feb 7, 2021","Waste Management Phoenix Open","Matsuyama, Hideki",0.82645,0.024375,0.6055,0.484425,0.307225,0.1822,0.118775,0.044725,T42
"Feb 7, 2021","Waste Management Phoenix Open","English, Harris",0.817675,0.02185,0.584625,0.459925,0.28465,0.16385,0.106225,0.0379,CUT
"Feb 7, 2021","Waste Management Phoenix Open","Berger, Daniel",0.809325,0.021875,0.567775,0.443275,0.27055,0.15045,0.095475,0.033975,CUT
"Feb 7, 2021","Waste Management Phoenix Open","Scheffler, Scottie",0.774025,0.0176,0.49655,0.3731,0.213425,0.115275,0.06975,0.022675,T7
"Feb 7, 2021","Waste Management Phoenix Open","Im, Sungjae",0.77035,0.01865,0.4858,0.359475,0.20145,0.103625,0.0626,0.020425,T17
"Feb 7, 2021","Waste Management Phoenix Open","Fowler, Rickie",0.74355,0.017175,0.4586,0.334225,0.186375,0.098025,0.058175,0.01835,CUT
"Feb 7, 2021","Waste Management Phoenix Open","Watson, Bubba",0.738275,0.0174,0.445675,0.3257,0.176875,0.091375,0.0544,0.0172,T22
"Feb 7, 2021","Waste Management Phoenix Open","Horschel, Billy",0.746925,0.013625,0.449325,0.3264,0.1769,0.09215,0.0549,0.016525,T53
"Feb 7, 2021","Waste Management Phoenix Open","Zalatoris, Will",0.72255,0.015875,0.4184,0.298375,0.15705,0.08035,0.0466,0.014525,T17
"Feb 7, 2021","Waste Management Phoenix Open","Koepka, Brooks",0.711175,0.0137,0.3981,0.281475,0.1456,0.072425,0.04215,0.0127,1
"Feb 7, 2021","Waste Management Phoenix Open","Day, Jason",0.7024,0.01465,0.39065,0.27699999999999997,0.14115,0.0693,0.0404,0.01195,CUT
"Feb 7, 2021","Waste Management Phoenix Open","Palmer, Ryan",0.6987,0.014625,0.385275,0.2708,0.14175,0.0705,0.040225,0.011925,T42
"Feb 7, 2021","Waste Management Phoenix Open","Conners, Corey",0.719925,0.01195,0.40165,0.283025,0.144025,0.07035,0.0411,0.011825,T17
"Feb 7, 2021","Waste Management Phoenix Open","Oosthuizen, Louis",0.699975,0.010975,0.37675,0.260525,0.1344,0.064325,0.0362,0.0108,T11
"Feb 7, 2021","Waste Management Phoenix Open","Henley, Russell",0.69715,0.010625,0.369125,0.25485,0.1299,0.0618,0.03585,0.009825,T30
"Feb 7, 2021","Waste Management Phoenix Open","Kim, Si Woo",0.6654,0.01335,0.34335,0.233275,0.115525,0.05495,0.03085,0.009175,T50
"Feb 7, 2021","Waste Management Phoenix Open","Kuchar, Matt",0.68435,0.00955,0.3577,0.244325,0.121825,0.05845,0.03245,0.008575,T42
"Feb 7, 2021","Waste Management Phoenix Open","Harman, Brian",0.69935,0.01235,0.377475,0.257925,0.127025,0.0578,0.031325,0.0085,T36
"Feb 7, 2021","Waste Management Phoenix Open","Moore, Ryan",0.6683,0.0113,0.33855,0.22875,0.112475,0.05215,0.029675,0.0079,CUT
"Feb 7, 2021","Waste Management Phoenix Open","Wolff, Matthew",0.6684,0.0094,0.332775,0.223725,0.108675,0.0507,0.027925,0.007875,T36
"Feb 7, 2021","Waste Management Phoenix Open","Woodland, Gary",0.65815,0.00875,0.321825,0.213425,0.099975,0.04545,0.024975,0.0076,CUT
"Feb 7, 2021","Waste Management Phoenix Open","Gooch, Talor",0.651375,0.00825,0.313775,0.20800000000000002,0.0998,0.045,0.025675,0.007525,CUT
"Feb 7, 2021","Waste Management Phoenix Open","Huh, John",0.664525,0.008925,0.32395,0.216525,0.104175,0.0471,0.02705,0.00745,CUT
"Feb 7, 2021","Waste Management Phoenix Open","Burns, Sam",0.645475,0.011025,0.3144,0.2083,0.10195,0.0471,0.02645,0.007125,T22
"Feb 7, 2021","Waste Management Phoenix Open","Tringale, Cameron",0.653725,0.006975,0.308875,0.2021,0.0949,0.04225,0.022475,0.006525,T17
