tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Berger, Daniel",17606,10100,0.2162,1,3,3,0,0,99.0,30,135.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"McNealy, Maverick",18634,7600,0.0405,2,3,0,0,5,86.0,20,114.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Cantlay, Patrick",15466,11300,0.2793,T3,3,3,0,0,87.0,18,111.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Spieth, Jordan",14636,9700,0.1562,T3,0,0,0,0,92.0,18,110.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Lashley, Nate",10943,7100,0.0403,T5,3,0,0,0,91.5,14,108.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Hoffman, Charley",5768,7300,0.0429,T7,6,0,0,0,89.5,10,105.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Homa, Max",17538,8800,0.1288,T7,3,0,0,0,87.0,10,100.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Tringale, Cameron",14013,8500,0.1481,T7,6,0,0,0,82.5,10,98.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Hoge, Tom",15575,7100,0.0211,12,6,0,0,0,82.5,6,94.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Day, Jason",9771,9500,0.1587,T7,0,3,0,5,76.0,10,94.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Casey, Paul",7108,10400,0.1149,T5,0,0,0,0,79.0,14,93.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Knox, Russell",13831,7800,0.0524,T7,0,3,0,0,78.5,10,91.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Gordon, Will",26660,6700,0.0143,T21,6,3,0,0,75.0,4,88.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Streelman, Kevin",8480,8900,0.1926,13,3,6,0,0,72.5,6,87.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"NeSmith, Matthew",16433,8000,0.1047,T16,0,3,0,0,76.0,5,84.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Davis, Cameron",17786,9000,0.144,T14,0,0,0,0,77.5,6,83.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Lewis, Tom",15164,7100,0.0051,T14,3,0,0,0,74.0,6,83.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Kirk, Chris",12423,7900,0.076,T16,6,0,0,0,70.5,5,81.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Stuard, Brian",13022,7000,0.0124,T16,0,3,0,0,72.5,5,80.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Reavie, Chez",7961,7500,0.0491,T16,3,0,0,0,72.0,5,80.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Furyk, Jim",2881,7400,0.1142,T21,0,0,0,0,75.0,4,79.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Merritt, Troy",13367,6900,0.0087,T16,0,0,0,0,74.0,5,79.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Moore, Ryan",7489,7300,0.0184,T26,3,0,0,0,71.5,3,77.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Bhatia, Akshay",26096,6500,0.0237,T30,3,3,0,0,68.0,3,77.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Ghim, Doug",24550,7500,0.1171,T21,0,3,0,0,69.0,4,76.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Percy, Cameron",5874,6900,0.0082,T21,0,0,0,0,71.5,4,75.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Wilkinson, Tim",7097,6600,0.002,T30,3,0,0,0,69.0,3,75.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Brown, Scott",11330,6300,0.0013,T30,3,0,0,0,69.0,3,75.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Taylor, Vaughn",6930,7000,0.0162,T21,0,0,0,0,70.0,4,74.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Thompson, Michael",12946,7200,0.0803,T34,3,0,0,0,68.5,2,73.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Harman, Brian",8825,8200,0.1591,T39,0,0,0,0,71.5,2,73.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Lebioda, Hank",21943,6400,0.0052,T39,0,0,0,0,71.0,2,73.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Dufner, Jason",7301,6600,0.0042,T26,3,0,0,0,66.5,3,72.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Hubbard, Mark",16333,7200,0.0631,T55,6,0,0,0,66.0,0,72.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Steele, Brendan",11019,8400,0.0828,T34,0,0,0,0,69.0,2,71.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Hossler, Beau",15470,6700,0.0054,T47,0,0,0,0,69.0,1,70.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Norlander, Henrik",11657,8700,0.1015,T26,3,0,0,0,64.0,3,70.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Piercy, Scott",7899,7100,0.0653,T50,3,0,0,0,66.0,1,70.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Perez, Pat",6762,7100,0.0202,T26,3,0,0,0,64.0,3,70.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Stanley, Kyle",12069,7400,0.0929,T39,0,0,0,0,67.5,2,69.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Burns, Sam",19483,9100,0.1005,T39,0,0,0,0,67.5,2,69.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Oppenheim, Rob",8002,6500,0.014,T39,0,0,0,0,67.0,2,69.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Grace, Branden",11952,7200,0.0183,T34,0,0,0,0,66.5,2,68.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Gay, Brian",5951,6600,0.0222,T34,3,0,0,0,62.0,2,67.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Taylor, Nick",13126,7600,0.085,T39,0,0,0,0,65.0,2,67.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Putnam, Andrew",14704,7400,0.0571,T55,0,0,0,0,66.5,0,66.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Stallings, Scott",12359,7500,0.0714,T30,0,0,0,0,63.5,3,66.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Kizzire, Patton",13470,7600,0.1342,T39,0,3,0,0,61.0,2,66.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Burgoon, Bronson",11082,7100,0.0094,T47,0,0,0,0,64.0,1,65.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Whaley, Vincent",25908,6300,0.0015,T50,0,0,0,0,64.0,1,65.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Taylor, Ben",19948,6200,0.0004,T50,0,0,0,0,63.5,1,64.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Vegas, Jhonattan",13508,7000,0.0194,T50,3,0,0,0,60.5,1,64.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Teater, Josh",8085,6600,0.0084,T50,0,0,0,0,62.0,1,63.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Jones, Matt",8605,8100,0.1723,T34,0,0,0,0,60.5,2,62.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Zalatoris, Will",19428,9900,0.2489,T55,0,0,0,0,62.0,0,62.0
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Armour, Ryan",8469,7000,0.009,T47,0,0,0,0,60.5,1,61.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Uihlein, Peter",11357,6500,0.0064,T60,0,0,0,0,61.5,0,61.5
pga,2021,2021,AT&T Pebble Beach Pro-Am,5,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Cappelen, Sebastian",14776,6400,0.0003,T55,0,3,0,0,58.0,0,61.0
