bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+605,2021-02-18 07:09,12422,+582,2021-02-15 17:43,T8,"Johnson, Dustin",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+1083,2021-02-18 07:09,19195,+984,2021-02-15 17:43,T5,"Rahm, Jon",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+1232,2021-02-18 07:09,14139,+1371,2021-02-15 17:43,CUT,"Thomas, Justin",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+1289,2021-02-18 07:09,10091,+1174,2021-02-15 17:43,CUT,"McIlroy, Rory",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+1379,2021-02-18 07:09,15466,+1708,2021-02-15 17:43,T15,"Cantlay, Patrick",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+1386,2021-02-18 07:09,19895,+1597,2021-02-15 17:43,T15,"Schauffele, Xander",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+1543,2021-02-18 07:09,19841,+1823,2021-02-15 17:43,CUT,"DeChambeau, Bryson",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+2555,2021-02-18 07:09,11676,+2841,2021-02-15 17:43,2,"Finau, Tony",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+2567,2021-02-18 07:09,16243,+2501,2021-02-15 17:43,T38,"Koepka, Brooks",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+3202,2021-02-18 07:09,22085,+3406,2021-02-15 17:43,T43,"Morikawa, Collin",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+3209,2021-02-18 07:09,18841,+3406,2021-02-15 17:43,T5,"Hovland, Viktor",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+3729,2021-02-18 07:09,6430,+3406,2021-02-15 17:43,T38,"Scott, Adam",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+3876,2021-02-18 07:09,18417,+3544,2021-02-15 17:43,T20,"Scheffler, Scottie",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+3976,2021-02-18 07:09,18079,+5104,2021-02-15 17:43,T43,"Niemann, Joaquin",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+4219,2021-02-18 07:09,14636,+3856,2021-02-15 17:43,T15,"Spieth, Jordan",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+4219,2021-02-18 07:09,13562,+3856,2021-02-15 17:43,CUT,"Matsuyama, Hideki",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+4964,2021-02-18 07:09,7334,+4536,2021-02-15 17:43,CUT,"Watson, Bubba",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+5127,2021-02-18 07:09,18238,+7478,2021-02-15 17:43,CUT,"Ancer, Abraham",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+5606,2021-02-18 07:09,14578,+7930,2021-02-15 17:43,T38,"Henley, Russell",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+6051,2021-02-18 07:09,5689,+7478,2021-02-15 17:43,CUT,"Garcia, Sergio",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+6234,2021-02-18 07:09,7649,+6800,2021-02-15 17:43,T32,"Leishman, Marc",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
1,paid in full,+7435,2021-02-18 07:09,17538,+6800,2021-02-15 17:43,1,"Homa, Max",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+7786,2021-02-18 07:09,19428,+7122,2021-02-15 17:43,T15,"Zalatoris, Will",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+8067,2021-02-18 07:09,14609,+9061,2021-02-15 17:43,CUT,"Kim, Si Woo",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+8172,2021-02-18 07:09,25919,+7478,2021-02-15 17:43,T64,"Wolff, Matthew",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+8172,2021-02-18 07:09,17646,+7478,2021-02-15 17:43,T5,"Fitzpatrick, Matthew",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+8172,2021-02-18 07:09,14735,+7478,2021-02-15 17:43,CUT,"Ortiz, Carlos",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+8268,2021-02-18 07:09,17786,+10192,2021-02-15 17:43,T43,"Davis, Cameron",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+8668,2021-02-18 07:09,7452,+7930,2021-02-15 17:43,T38,"Na, Kevin",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+8797,2021-02-18 07:09,14013,+10192,2021-02-15 17:43,T26,"Tringale, Cameron",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+9902,2021-02-18 07:09,15856,+9061,2021-02-15 17:43,4,"Smith, Cameron",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+10480,2021-02-18 07:09,12337,+9594,2021-02-15 17:43,T32,"Kokrak, Jason",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+10480,2021-02-18 07:09,7655,+9594,2021-02-15 17:43,T8,"Molinari, Francesco",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+11137,2021-02-18 07:09,12577,+10192,2021-02-15 17:43,CUT,"Woodland, Gary",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+12276,2021-02-18 07:09,5768,+16394,2021-02-15 17:43,T52,"Hoffman, Charley",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+12371,2021-02-18 07:09,17576,+11323,2021-02-15 17:43,CUT,"Conners, Corey",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+12371,2021-02-18 07:09,11374,+11323,2021-02-15 17:43,T15,"Hahn, James",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+12371,2021-02-18 07:09,15330,+11323,2021-02-15 17:43,T26,"Griffin, Lanto",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+12371,2021-02-18 07:09,11657,+11323,2021-02-15 17:43,CUT,"Norlander, Henrik",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+12371,2021-02-18 07:09,19483,+11323,2021-02-15 17:43,3,"Burns, Sam",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+12371,2021-02-18 07:09,12965,+11323,2021-02-15 17:43,T20,"Fowler, Rickie",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+12371,2021-02-18 07:09,18634,+11323,2021-02-15 17:43,CUT,"McNealy, Maverick",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+13745,2021-02-18 07:09,6169,+12582,2021-02-15 17:43,CUT,"Kuchar, Matt",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+15460,2021-02-18 07:09,18580,+14150,2021-02-15 17:43,T12,"Gooch, Talor",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+15460,2021-02-18 07:09,21554,+14150,2021-02-15 17:43,T43,"Poston, J.T.",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
0,loss,+15460,2021-02-18 07:09,12425,+14150,2021-02-15 17:43,CUT,"Todd, Brendon",pinnacle,2021-02-21,The Genesis Invitational,win,2021,2021,7
