tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,The Genesis Invitational,7,"Homa, Max",17538,1,1,The Riviera Country Club,500,66,1.171,3.685,-0.544,0.896,4.037,5.208,304.4,0.5,0.556,0.909,50.951,38.41
pga,2021,2021,The Genesis Invitational,7,"Homa, Max",17538,1,2,The Riviera Country Club,500,70,0.8,-1.567,0.237,1.437,0.108,0.908,300.1,0.643,0.778,0.444,43.097,29.294
pga,2021,2021,The Genesis Invitational,7,"Homa, Max",17538,1,3,The Riviera Country Club,500,70,1.833,0.258,1.311,-0.059,1.51,3.343,281.9,0.5,0.611,0.667,62.25,33.559
pga,2021,2021,The Genesis Invitational,7,"Homa, Max",17538,1,4,The Riviera Country Club,500,66,0.796,0.299,1.73,1.13,3.159,3.955,300.5,0.643,0.722,1.0,30.779,27.291
pga,2021,2021,The Genesis Invitational,7,"Finau, Tony",11676,2,1,The Riviera Country Club,500,71,-3.154,-0.129,1.606,1.885,3.362,0.208,304.7,0.786,0.778,0.7,21.983,34.363
pga,2021,2021,The Genesis Invitational,7,"Finau, Tony",11676,2,2,The Riviera Country Club,500,67,2.974,-1.155,2.165,-0.077,0.934,3.908,301.5,0.571,0.722,0.571,39.93,26.811
pga,2021,2021,The Genesis Invitational,7,"Finau, Tony",11676,2,3,The Riviera Country Club,500,70,0.511,2.465,0.764,-0.397,2.832,3.343,295.4,0.214,0.5,0.727,42.713,35.41
pga,2021,2021,The Genesis Invitational,7,"Finau, Tony",11676,2,4,The Riviera Country Club,500,64,2.711,0.444,2.073,0.727,3.244,5.955,308.1,0.429,0.722,0.889,46.795,18.596
pga,2021,2021,The Genesis Invitational,7,"Burns, Sam",19483,3,1,The Riviera Country Club,500,64,3.624,0.006,3.817,-0.239,3.584,7.208,298.8,0.429,0.722,0.6,45.105,15.314
pga,2021,2021,The Genesis Invitational,7,"Burns, Sam",19483,3,2,The Riviera Country Club,500,66,2.185,0.417,2.352,-0.047,2.723,4.908,301.7,0.286,0.833,1.0,32.267,32.905
pga,2021,2021,The Genesis Invitational,7,"Burns, Sam",19483,3,3,The Riviera Country Club,500,74,-1.851,0.41,1.208,-0.424,1.194,-0.657,297.4,0.286,0.611,0.75,38.344,40.423
pga,2021,2021,The Genesis Invitational,7,"Burns, Sam",19483,3,4,The Riviera Country Club,500,69,2.433,-0.509,-0.629,-0.34,-1.478,0.955,289.0,0.429,0.5,0.8,44.024,39.493
pga,2021,2021,The Genesis Invitational,7,"Smith, Cameron",15856,4,1,The Riviera Country Club,500,69,-1.069,1.674,1.52,0.083,3.277,2.208,298.5,0.357,0.556,0.818,41.98,28.178
pga,2021,2021,The Genesis Invitational,7,"Smith, Cameron",15856,4,2,The Riviera Country Club,500,68,2.195,0.605,0.13,-0.023,0.713,2.908,297.3,0.571,0.556,0.615,65.739,33.035
pga,2021,2021,The Genesis Invitational,7,"Smith, Cameron",15856,4,3,The Riviera Country Club,500,71,0.295,2.218,-0.44,0.27,2.048,2.343,288.4,0.429,0.389,0.714,31.189,47.9
