date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Feb 21, 2021","The Genesis Invitational","Johnson, Dustin",0.9142,0.06095,0.79315,0.7037,0.5347,0.37885,0.284825,0.133,T8
"Feb 21, 2021","The Genesis Invitational","Rahm, Jon",0.8896,0.04395,0.7278,0.615,0.43005,0.27825,0.193675,0.07885,T5
"Feb 21, 2021","The Genesis Invitational","Thomas, Justin",0.88395,0.0379,0.7091,0.596375,0.41115,0.266025,0.18295,0.0752,CUT
"Feb 21, 2021","The Genesis Invitational","Schauffele, Xander",0.87885,0.033025,0.701925,0.585,0.40185,0.2548,0.173025,0.06755,T15
"Feb 21, 2021","The Genesis Invitational","DeChambeau, Bryson",0.871525,0.029575,0.677575,0.5591,0.3711,0.232325,0.154525,0.060725,CUT
"Feb 21, 2021","The Genesis Invitational","McIlroy, Rory",0.8679,0.03305,0.6668,0.5467,0.364,0.22515,0.1503,0.059825,CUT
"Feb 21, 2021","The Genesis Invitational","Cantlay, Patrick",0.847025,0.031475,0.6283,0.504825,0.32445,0.190725,0.1261,0.047375,T15
"Feb 21, 2021","The Genesis Invitational","Finau, Tony",0.81995,0.02815,0.575825,0.4481,0.2754,0.15435,0.09725,0.033775,2
"Feb 21, 2021","The Genesis Invitational","Scheffler, Scottie",0.793275,0.01625,0.50395,0.37565,0.2146,0.11355,0.0695,0.02415,T20
"Feb 21, 2021","The Genesis Invitational","Hovland, Viktor",0.788825,0.021775,0.51255,0.38445,0.220475,0.11855,0.072975,0.023525,T5
"Feb 21, 2021","The Genesis Invitational","Matsuyama, Hideki",0.783475,0.020425,0.50585,0.379,0.215975,0.115275,0.071025,0.022475,CUT
"Feb 21, 2021","The Genesis Invitational","Scott, Adam",0.75345,0.016375,0.448425,0.3247,0.17625,0.0896,0.05395,0.016575,T38
"Feb 21, 2021","The Genesis Invitational","Koepka, Brooks",0.7536,0.013775,0.435625,0.3116,0.16645,0.085,0.049325,0.0156,T38
"Feb 21, 2021","The Genesis Invitational","Garcia, Sergio",0.76545,0.0126,0.448575,0.319975,0.167575,0.083275,0.047425,0.015125,CUT
"Feb 21, 2021","The Genesis Invitational","Niemann, Joaquin",0.7526,0.01825,0.447175,0.320875,0.171,0.0871,0.051725,0.0151,T43
"Feb 21, 2021","The Genesis Invitational","Smith, Cameron",0.730425,0.011875,0.39505,0.27415,0.137525,0.065625,0.036225,0.01085,4
"Feb 21, 2021","The Genesis Invitational","Watson, Bubba",0.7167,0.012875,0.3859,0.266775,0.1334,0.063625,0.034725,0.01065,CUT
"Feb 21, 2021","The Genesis Invitational","Morikawa, Collin",0.7193,0.0137,0.391025,0.2719,0.13635,0.065625,0.03675,0.010475,T43
"Feb 21, 2021","The Genesis Invitational","Tringale, Cameron",0.725275,0.012125,0.39825,0.275275,0.138325,0.064025,0.03545,0.01025,T26
"Feb 21, 2021","The Genesis Invitational","Zalatoris, Will",0.7242,0.01345,0.391125,0.268175,0.13455,0.063325,0.036025,0.010125,T15
"Feb 21, 2021","The Genesis Invitational","Spieth, Jordan",0.718025,0.01095,0.382275,0.2641,0.132825,0.063475,0.036375,0.010025,T15
"Feb 21, 2021","The Genesis Invitational","Kim, Si Woo",0.70535,0.011625,0.3651,0.251175,0.125975,0.0601,0.034275,0.009275,CUT
"Feb 21, 2021","The Genesis Invitational","Ortiz, Carlos",0.713075,0.00945,0.366525,0.246025,0.117975,0.054325,0.030175,0.00885,CUT
"Feb 21, 2021","The Genesis Invitational","Ancer, Abraham",0.7216,0.01065,0.376475,0.254375,0.123075,0.057,0.031425,0.008625,CUT
"Feb 21, 2021","The Genesis Invitational","Davis, Cameron",0.7012,0.009875,0.35305,0.23895,0.1159,0.054000000000000006,0.03005,0.00815,T43
"Feb 21, 2021","The Genesis Invitational","Na, Kevin",0.690975,0.009475,0.33775,0.2272,0.10905,0.05065,0.02825,0.0078,T38
"Feb 21, 2021","The Genesis Invitational","Fitzpatrick, Matthew",0.687,0.0098,0.339675,0.226725,0.10800000000000001,0.04845,0.0266,0.007625,T5
"Feb 21, 2021","The Genesis Invitational","Kokrak, Jason",0.685725,0.008875,0.3253,0.214575,0.10285,0.04605,0.024475,0.006775,T32
"Feb 21, 2021","The Genesis Invitational","Homa, Max",0.659675,0.009375,0.30325,0.199275,0.09285,0.04165,0.023175,0.0065,1
