tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Grace, Branden",11952,10100,0.1182,1,3,3,0,5,93.5,30,134.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Vegas, Jhonattan",13508,9300,0.0847,2,0,0,0,5,91.5,20,116.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Murray, Grayson",14655,7000,0.0173,T3,3,0,0,0,90.5,18,111.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Potter, Jr., Ted",8769,7700,0.0238,T7,3,0,0,5,85.5,10,103.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Garnett, Brice",11451,7200,0.0686,T5,3,6,0,0,79.5,14,102.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Wu, Brandon",25213,9200,0.1714,T7,3,0,0,0,89.5,10,102.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Campos, Rafael",12909,6800,0.032,T3,0,0,0,0,83.5,18,101.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Putnam, Andrew",14704,9900,0.0932,T5,0,3,0,0,83.5,14,100.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Percy, Cameron",5874,7600,0.2264,T7,3,0,0,0,86.5,10,99.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Oppenheim, Rob",8002,7100,0.0867,T7,0,6,0,0,82.5,10,98.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Roach, Wes",15720,7200,0.0193,T13,6,3,0,0,78.0,6,93.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Grillo, Emiliano",12808,10600,0.3239,T11,3,3,0,0,80.5,6,92.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Ledesma, Nelson",15239,6600,0.0071,T15,3,0,0,0,83.0,6,92.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Chalmers, Greg",5625,6500,0.0011,T22,3,0,5,0,79.0,4,91.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Van Pelt, Bo",6457,6300,0.0014,T15,0,0,0,0,84.5,6,90.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Kim, Joohyung",24766,7600,0.0354,T15,3,3,0,0,77.5,6,89.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Seiffert, Chase",17509,7300,0.0468,T15,3,3,0,0,75.5,6,87.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Baddeley, Aaron",6252,7500,0.0468,T30,3,0,0,0,80.0,3,86.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Brehm, Ryan",10423,6800,0.036,T11,0,0,0,0,80.0,6,86.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Trahan, D.J.",7236,7100,0.015,T22,0,0,0,0,81.0,4,85.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Teater, Josh",8085,8000,0.0856,T22,0,0,0,0,80.5,4,84.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Gomez, Fabian",8571,6700,0.0068,T15,3,6,0,0,69.5,6,84.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Whaley, Vincent",25908,7400,0.0417,T15,0,0,0,0,78.0,6,84.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Wilkinson, Tim",7097,8100,0.0377,T27,3,0,0,0,78.0,3,84.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Hodges, Lee",25157,8200,0.1612,T13,0,3,0,0,74.5,6,83.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Pieters, Thomas",13944,11400,0.0978,T15,3,3,0,0,71.0,6,83.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Schenk, Adam",19477,7400,0.1508,T27,3,0,0,0,73.5,3,79.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Gordon, Will",26660,8000,0.2964,T27,0,0,0,0,76.5,3,79.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Zhang, Xinjun",13026,7500,0.034,T30,0,0,0,0,76.0,3,79.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Power, Seamus",10104,7000,0.0105,T22,0,0,0,0,74.5,4,78.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Glover, Lucas",7399,8700,0.1216,T39,6,0,0,0,69.5,2,77.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Sloan, Roger",14050,8400,0.0592,T22,3,0,0,0,70.0,4,77.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Lahiri, Anirban",12669,7300,0.2258,T39,3,0,0,0,71.0,2,76.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Uihlein, Peter",11357,7400,0.0867,T39,3,0,0,0,70.0,2,75.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Jaeger, Stephan",16394,7700,0.0884,T58,3,0,0,0,71.5,0,74.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Rodgers, Patrick",16283,9400,0.1559,T30,0,0,0,0,71.5,3,74.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Romero, Andres",7751,6600,0.0043,T30,0,3,0,0,68.0,3,74.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Bramlett, Joseph",14698,7900,0.1119,T49,3,0,0,0,69.0,1,73.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Suh, Justin",22050,9000,0.1751,T35,0,0,0,0,71.0,2,73.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Byrd, Jonathan",6931,6700,0.0094,T39,0,0,0,0,71.0,2,73.0
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Barjon, Paul",16566,7000,0.0856,T58,3,0,0,0,69.5,0,72.5
pga,2021,2021,Puerto Rico Open,483,draftkings,PGA TOUR $30K Resurgence [$10K to 1st] (Alternate),"Nimmer, Bryson",26013,6600,0.0179,T39,3,0,0,0,67.5,2,72.5
