date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Feb 28, 2021","Puerto Rico Open","Grillo, Emiliano",0.85745,0.02585,0.635925,0.503875,0.320325,0.193425,0.13085,0.05185,T11
"Feb 28, 2021","Puerto Rico Open","Pendrith, Taylor",0.84005,0.02835,0.586,0.456175,0.277575,0.16285,0.10735,0.040275,T53
"Feb 28, 2021","Puerto Rico Open","An, Byeong Hun",0.827125,0.023275,0.570975,0.441825,0.267925,0.156525,0.10300000000000001,0.039325,T35
"Feb 28, 2021","Puerto Rico Open","Rodgers, Patrick",0.82515,0.0267,0.55355,0.41895,0.2482,0.139275,0.090925,0.0342,T30
"Feb 28, 2021","Puerto Rico Open","Wallace, Matt",0.822975,0.0206,0.5573,0.426875,0.253475,0.1442,0.092025,0.034025,CUT
"Feb 28, 2021","Puerto Rico Open","Pieters, Thomas",0.821825,0.026075,0.545075,0.411925,0.245325,0.139025,0.089425,0.032475,T15
"Feb 28, 2021","Puerto Rico Open","Wu, Brandon",0.799225,0.018975,0.524525,0.394975,0.23085,0.1308,0.08285,0.0307,T7
"Feb 28, 2021","Puerto Rico Open","Schniederjans, Ollie",0.807275,0.018675,0.5282,0.397925,0.23115,0.127675,0.08035,0.028775,CUT
"Feb 28, 2021","Puerto Rico Open","Poulter, Ian",0.808825,0.017825,0.532225,0.395675,0.224275,0.120925,0.077475,0.027725,T35
"Feb 28, 2021","Puerto Rico Open","Sigg, Greyson",0.809375,0.022725,0.5188,0.387775,0.224775,0.1246,0.07685,0.027000000000000003,CUT
"Feb 28, 2021","Puerto Rico Open","Hodges, Lee",0.803475,0.021475,0.51305,0.38025,0.215125,0.117975,0.073825,0.026225,T13
"Feb 28, 2021","Puerto Rico Open","Vegas, Jhonattan",0.7867,0.017975,0.49385,0.366625,0.208225,0.11435,0.0717,0.026225,2
"Feb 28, 2021","Puerto Rico Open","Glover, Lucas",0.7967,0.01675,0.50685,0.373725,0.2117,0.115975,0.07345,0.025825,T39
"Feb 28, 2021","Puerto Rico Open","Lewis, Tom",0.77225,0.018875,0.451525,0.328525,0.181675,0.095725,0.059425,0.02195,CUT
"Feb 28, 2021","Puerto Rico Open","Grace, Branden",0.796325,0.01895,0.486675,0.352825,0.194075,0.101525,0.063275,0.02195,1
"Feb 28, 2021","Puerto Rico Open","Schenk, Adam",0.78445,0.014525,0.479375,0.346125,0.188075,0.09815,0.059775,0.021125,T27
"Feb 28, 2021","Puerto Rico Open","Gordon, Will",0.7789,0.01755,0.4609,0.332125,0.1809,0.093975,0.05785,0.01975,T27
"Feb 28, 2021","Puerto Rico Open","Suh, Justin",0.7624,0.01475,0.450425,0.323225,0.17685,0.094625,0.058225,0.0196,T35
"Feb 28, 2021","Puerto Rico Open","Burgoon, Bronson",0.773075,0.015975,0.4447,0.315575,0.16785,0.0866,0.053225,0.0187,T39
"Feb 28, 2021","Puerto Rico Open","Percy, Cameron",0.77735,0.01435,0.453575,0.324975,0.172775,0.090675,0.055225,0.01845,T7
"Feb 28, 2021","Puerto Rico Open","Sloan, Roger",0.7695,0.017525,0.4448,0.315125,0.166725,0.08715,0.0519,0.018000000000000002,T22
"Feb 28, 2021","Puerto Rico Open","Putnam, Andrew",0.76035,0.014025,0.440525,0.308125,0.162275,0.08295,0.050825,0.01725,T5
"Feb 28, 2021","Puerto Rico Open","Lahiri, Anirban",0.7589,0.01695,0.42895,0.303025,0.159625,0.081475,0.051275,0.0172,T39
"Feb 28, 2021","Puerto Rico Open","Ventura, Kristoffer",0.747,0.013375,0.41345,0.2907,0.151625,0.077225,0.046825,0.0155,T49
"Feb 28, 2021","Puerto Rico Open","Jaeger, Stephan",0.75275,0.017125,0.416125,0.291925,0.15155,0.0754,0.0462,0.01535,T58
"Feb 28, 2021","Puerto Rico Open","Hickok, Kramer",0.7546,0.014175,0.41655,0.290875,0.14945,0.074575,0.04425,0.014375,CUT
"Feb 28, 2021","Puerto Rico Open","Bramlett, Joseph",0.7564,0.015325,0.415975,0.28815,0.149675,0.07415,0.043075,0.014125,T49
"Feb 28, 2021","Puerto Rico Open","Hagy, Brandon",0.729525,0.011725,0.393675,0.270925,0.138125,0.06905,0.041275,0.013875,CUT
"Feb 28, 2021","Puerto Rico Open","Ryder, Sam",0.745775,0.01155,0.411575,0.2865,0.143825,0.06995,0.040975,0.013575,T39
"Feb 28, 2021","Puerto Rico Open","Hossler, Beau",0.73815,0.0158,0.398325,0.275,0.14055,0.069,0.040425,0.013275,CUT
"Feb 28, 2021","Puerto Rico Open","Taylor, Vaughn",0.742625,0.013375,0.397625,0.2712,0.1361,0.067525,0.040175,0.0127,T39
"Feb 28, 2021","Puerto Rico Open","Riley, Davis",0.7340000000000001,0.01575,0.387675,0.2628,0.131525,0.06465,0.03665,0.0122,T39
"Feb 28, 2021","Puerto Rico Open","Garnett, Brice",0.741725,0.013425,0.391425,0.26595,0.13275,0.0639,0.037075,0.01125,T5
"Feb 28, 2021","Puerto Rico Open","Seiffert, Chase",0.722675,0.01265,0.365625,0.245225,0.12115,0.057775,0.03325,0.0109,T15
"Feb 28, 2021","Puerto Rico Open","Martin, Ben",0.725025,0.01355,0.3727,0.25045,0.12305,0.059125,0.033875,0.0106,73
"Feb 28, 2021","Puerto Rico Open","Aphibarnrat, Kiradech",0.69685,0.014675,0.33675,0.22435,0.1113,0.05455,0.031875,0.010175,CUT
"Feb 28, 2021","Puerto Rico Open","Brown, Scott",0.7066,0.010275,0.356175,0.23955,0.116875,0.055625,0.032525,0.009925,T53
"Feb 28, 2021","Puerto Rico Open","Zhang, Xinjun",0.722625,0.00855,0.3674,0.24465,0.116025,0.05395,0.0302,0.009275,T30
"Feb 28, 2021","Puerto Rico Open","Harrington, Padraig",0.707975,0.01075,0.34735,0.231575,0.1081,0.050025,0.029175,0.009000000000000001,T58
"Feb 28, 2021","Puerto Rico Open","Whaley, Vincent",0.70215,0.01095,0.330975,0.215825,0.10195,0.0469,0.027975,0.0083,T15
"Feb 28, 2021","Puerto Rico Open","Teater, Josh",0.708425,0.011025,0.3341,0.2182,0.10105,0.0469,0.02735,0.008175,T22
