tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,Puerto Rico Open,483,"Grace, Branden",11952,1,1,Grand Reserve Country Club,742,67,,,,,,4.705,283.5,0.357,0.611,,,
pga,2021,2021,Puerto Rico Open,483,"Grace, Branden",11952,1,2,Grand Reserve Country Club,742,68,,,,,,3.689,300.5,0.571,0.889,,,
pga,2021,2021,Puerto Rico Open,483,"Grace, Branden",11952,1,3,Grand Reserve Country Club,742,68,,,,,,3.0,300.0,0.429,0.722,,,
pga,2021,2021,Puerto Rico Open,483,"Grace, Branden",11952,1,4,Grand Reserve Country Club,742,66,,,,,,3.84,273.0,0.929,0.944,,,
pga,2021,2021,Puerto Rico Open,483,"Vegas, Jhonattan",13508,2,1,Grand Reserve Country Club,742,68,,,,,,3.705,316.0,0.643,0.667,,,
pga,2021,2021,Puerto Rico Open,483,"Vegas, Jhonattan",13508,2,2,Grand Reserve Country Club,742,68,,,,,,3.689,297.5,0.571,0.778,,,
pga,2021,2021,Puerto Rico Open,483,"Vegas, Jhonattan",13508,2,3,Grand Reserve Country Club,742,69,,,,,,2.0,317.5,0.714,0.889,,,
pga,2021,2021,Puerto Rico Open,483,"Vegas, Jhonattan",13508,2,4,Grand Reserve Country Club,742,65,,,,,,4.84,296.5,0.786,0.722,,,
pga,2021,2021,Puerto Rico Open,483,"Campos, Rafael",12909,T3,1,Grand Reserve Country Club,742,66,,,,,,5.705,287.0,0.643,0.889,,,
pga,2021,2021,Puerto Rico Open,483,"Campos, Rafael",12909,T3,2,Grand Reserve Country Club,742,69,,,,,,2.689,281.5,0.571,0.778,,,
pga,2021,2021,Puerto Rico Open,483,"Campos, Rafael",12909,T3,3,Grand Reserve Country Club,742,67,,,,,,4.0,316.0,0.5,0.833,,,
