bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+836,2021-03-04 00:12,10091,+762,2021-03-02 07:43,T10,"McIlroy, Rory",pinnacle,2021-03-07,Arnold Palmer Invitational presented by Mastercard,win,2021,2021,9
1,paid in full,+1144,2021-03-04 00:12,19841,+1079,2021-03-02 07:43,1,"DeChambeau, Bryson",pinnacle,2021-03-07,Arnold Palmer Invitational presented by Mastercard,win,2021,2021,9
0,loss,+1233,2021-03-04 00:12,18841,+1282,2021-03-02 07:43,T49,"Hovland, Viktor",pinnacle,2021-03-07,Arnold Palmer Invitational presented by Mastercard,win,2021,2021,9
0,loss,+1575,2021-03-04 00:12,14796,+1511,2021-03-02 07:43,T21,"Hatton, Tyrrell",pinnacle,2021-03-07,Arnold Palmer Invitational presented by Mastercard,win,2021,2021,9
0,loss,+1773,2021-03-04 00:12,14838,+1624,2021-03-02 07:43,CUT,"Reed, Patrick",pinnacle,2021-03-07,Arnold Palmer Invitational presented by Mastercard,win,2021,2021,9
0,loss,+1983,2021-03-04 00:12,17646,+2663,2021-03-02 07:43,T10,"Fitzpatrick, Matthew",pinnacle,2021-03-07,Arnold Palmer Invitational presented by Mastercard,win,2021,2021,9
0,loss,+2088,2021-03-04 00:12,7108,+1915,2021-03-02 07:43,T10,"Casey, Paul",pinnacle,2021-03-07,Arnold Palmer Invitational presented by Mastercard,win,2021,2021,9
0,loss,+2567,2021-03-04 00:12,17488,+2531,2021-03-02 07:43,T21,"Im, Sungjae",pinnacle,2021-03-07,Arnold Palmer Invitational presented by Mastercard,win,2021,2021,9
0,loss,+2884,2021-03-04 00:12,19483,+3560,2021-03-02 07:43,CUT,"Burns, Sam",pinnacle,2021-03-07,Arnold Palmer Invitational presented by Mastercard,win,2021,2021,9
0,loss,+3150,2021-03-04 00:12,7655,+4637,2021-03-02 07:43,CUT,"Molinari, Francesco",pinnacle,2021-03-07,Arnold Palmer Invitational presented by Mastercard,win,2021,2021,9
0,loss,+3262,2021-03-04 00:12,9771,+2996,2021-03-02 07:43,T31,"Day, Jason",pinnacle,2021-03-07,Arnold Palmer Invitational presented by Mastercard,win,2021,2021,9
0,loss,+3453,2021-03-04 00:12,12337,+5008,2021-03-02 07:43,T8,"Kokrak, Jason",pinnacle,2021-03-07,Arnold Palmer Invitational presented by Mastercard,win,2021,2021,9
0,loss,+3478,2021-03-04 00:12,13562,+3195,2021-03-02 07:43,T18,"Matsuyama, Hideki",pinnacle,2021-03-07,Arnold Palmer Invitational presented by Mastercard,win,2021,2021,9
