date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Mar 21, 2021","The Honda Classic","Im, Sungjae",0.80825,0.025975,0.604425,0.49105,0.32855,0.2089,0.14545,0.061875,T8
"Mar 21, 2021","The Honda Classic","Niemann, Joaquin",0.77455,0.02905,0.551075,0.4407,0.287225,0.176925,0.119825,0.04995,T25
"Mar 21, 2021","The Honda Classic","Tringale, Cameron",0.73115,0.01895,0.46895,0.3562,0.21255,0.119725,0.0776,0.0294,T13
"Mar 21, 2021","The Honda Classic","Henley, Russell",0.70725,0.0192,0.44335,0.3315,0.19895,0.1126,0.07385,0.026375,T3
"Mar 21, 2021","The Honda Classic","Gooch, Talor",0.6947,0.01885,0.423225,0.314325,0.18275,0.100625,0.064275,0.02335,T46
"Mar 21, 2021","The Honda Classic","Davis, Cameron",0.69585,0.01275,0.4102,0.3055,0.17265,0.095725,0.062325,0.023325,T33
"Mar 21, 2021","The Honda Classic","Fowler, Rickie",0.69875,0.01325,0.418675,0.310775,0.179075,0.0986,0.0625,0.0226,T65
"Mar 21, 2021","The Honda Classic","Lowry, Shane",0.667825,0.0159,0.38355,0.278725,0.156675,0.086475,0.0558,0.020275,T36
"Mar 21, 2021","The Honda Classic","Scott, Adam",0.667125,0.0161,0.382075,0.28,0.15775,0.08805,0.055675,0.019875,T13
"Mar 21, 2021","The Honda Classic","Kirk, Chris",0.676775,0.0124,0.3845,0.276875,0.153825,0.082175,0.0512,0.01755,T25
"Mar 21, 2021","The Honda Classic","Streelman, Kevin",0.666025,0.0121,0.3682,0.26595,0.1458,0.079925,0.049125,0.017,T36
"Mar 21, 2021","The Honda Classic","Bradley, Keegan",0.661575,0.010875,0.362675,0.257325,0.14055,0.0753,0.046875,0.01655,T30
"Mar 21, 2021","The Honda Classic","Frittelli, Dylan",0.656325,0.01425,0.362275,0.259175,0.140475,0.0767,0.04755,0.015725,CUT
"Mar 21, 2021","The Honda Classic","List, Luke",0.639225,0.013675,0.342925,0.243625,0.131075,0.069,0.042325,0.01565,CUT
"Mar 21, 2021","The Honda Classic","Clark, Wyndham",0.641575,0.013875,0.34515,0.2459,0.134675,0.070175,0.0441,0.01545,CUT
"Mar 21, 2021","The Honda Classic","Huh, John",0.636825,0.010875,0.33765,0.240425,0.1279,0.066975,0.041975,0.0147,T19
"Mar 21, 2021","The Honda Classic","Steele, Brendan",0.6374,0.01385,0.3408,0.241425,0.133,0.069475,0.040875,0.01385,T3
"Mar 21, 2021","The Honda Classic","Moore, Ryan",0.62825,0.010625,0.325025,0.228175,0.119475,0.062025,0.0379,0.0136,CUT
"Mar 21, 2021","The Honda Classic","Van Rooyen, Erik",0.6393,0.009575,0.329775,0.229975,0.11935,0.061,0.036725,0.012875,T60
"Mar 21, 2021","The Honda Classic","Long, Adam",0.62455,0.014275,0.3211,0.224275,0.11825,0.060525,0.0364,0.012625,CUT
"Mar 21, 2021","The Honda Classic","Jones, Matt",0.632975,0.012575,0.32785,0.2278,0.118375,0.06005,0.036175,0.0126,1
"Mar 21, 2021","The Honda Classic","Poston, J.T.",0.626775,0.01355,0.32675,0.2277,0.121075,0.06345,0.0389,0.012575,CUT
