date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Apr 4, 2021","Valero Texas Open","Finau, Tony",0.811025,0.029325,0.6072,0.49585,0.3291,0.21095,0.146975,0.062425,CUT
"Apr 4, 2021","Valero Texas Open","Scheffler, Scottie",0.782375,0.02795,0.567475,0.45465,0.297825,0.18545,0.12935,0.05285,T54
"Apr 4, 2021","Valero Texas Open","Matsuyama, Hideki",0.7685,0.022975,0.53145,0.417725,0.263,0.159075,0.10595,0.042225,T30
"Apr 4, 2021","Valero Texas Open","Spieth, Jordan",0.7294,0.02095,0.476075,0.3665,0.220775,0.129375,0.0862,0.0344,1
"Apr 4, 2021","Valero Texas Open","Tringale, Cameron",0.7626,0.01865,0.50995,0.394825,0.239025,0.1358,0.08995,0.033675,T9
"Apr 4, 2021","Valero Texas Open","Ancer, Abraham",0.7316,0.02115,0.479075,0.3652,0.21885,0.12645,0.08205,0.0297,T23
"Apr 4, 2021","Valero Texas Open","Conners, Corey",0.718225,0.0181,0.451775,0.339425,0.1982,0.110325,0.07015,0.026625,T14
"Apr 4, 2021","Valero Texas Open","Kim, Si Woo",0.70585,0.01985,0.431625,0.323325,0.18825,0.10645,0.06815,0.0252,T23
"Apr 4, 2021","Valero Texas Open","Palmer, Ryan",0.704725,0.01855,0.4374,0.3292,0.1915,0.1088,0.070225,0.025075,T17
"Apr 4, 2021","Valero Texas Open","Hoffman, Charley",0.708475,0.017475,0.43105,0.32225,0.1866,0.1047,0.06715,0.023625,2
"Apr 4, 2021","Valero Texas Open","Huh, John",0.674375,0.01135,0.371775,0.2655,0.142275,0.075175,0.047275,0.0172,T69
"Apr 4, 2021","Valero Texas Open","Davis, Cameron",0.6596,0.013925,0.3703,0.26855,0.1475,0.078525,0.04875,0.01685,T69
"Apr 4, 2021","Valero Texas Open","Griffin, Lanto",0.676125,0.01355,0.377125,0.26965,0.1446,0.0753,0.04645,0.015875,T34
"Apr 4, 2021","Valero Texas Open","Howell III, Charles",0.652025,0.012775,0.3587,0.25705,0.139825,0.0736,0.046,0.015725,CUT
"Apr 4, 2021","Valero Texas Open","Kirk, Chris",0.66075,0.0139,0.3733,0.269525,0.146775,0.075775,0.046875,0.015625,T6
"Apr 4, 2021","Valero Texas Open","Kuchar, Matt",0.67855,0.01275,0.37815,0.2706,0.1468,0.07575,0.0454,0.014675,T12
"Apr 4, 2021","Valero Texas Open","Munoz, Sebastian",0.660675,0.012775,0.356425,0.25305,0.13595,0.070025,0.042925,0.014525,T9
"Apr 4, 2021","Valero Texas Open","Steele, Brendan",0.63615,0.01255,0.34255,0.241475,0.130125,0.0679,0.040575,0.0137,77
"Apr 4, 2021","Valero Texas Open","Johnson, Zach",0.6595,0.0099,0.3499,0.243725,0.12805,0.06495,0.03855,0.012925,CUT
"Apr 4, 2021","Valero Texas Open","Burns, Sam",0.62945,0.011275,0.3186,0.2219,0.119275,0.0614,0.0369,0.0124,CUT
"Apr 4, 2021","Valero Texas Open","Varner III, Harold",0.64725,0.0106,0.340725,0.237475,0.123725,0.0625,0.037275,0.012175,CUT
"Apr 4, 2021","Valero Texas Open","Bradley, Keegan",0.61435,0.010475,0.3122,0.2163,0.11125,0.05495,0.03415,0.011375,T23
"Apr 4, 2021","Valero Texas Open","Long, Adam",0.627875,0.01025,0.31715,0.21965,0.11225,0.0576,0.034475,0.0113,CUT
"Apr 4, 2021","Valero Texas Open","Wise, Aaron",0.61625,0.00995,0.310125,0.212025,0.108475,0.0542,0.0329,0.0112,T44
"Apr 4, 2021","Valero Texas Open","Ghim, Doug",0.620975,0.0104,0.305875,0.210375,0.107525,0.05375,0.032325,0.011025,T44
"Apr 4, 2021","Valero Texas Open","Moore, Ryan",0.61155,0.009825,0.307775,0.212875,0.109825,0.05505,0.03195,0.011000000000000001,76
"Apr 4, 2021","Valero Texas Open","Vegas, Jhonattan",0.616375,0.010925,0.30215,0.20735,0.106475,0.05445,0.033075,0.010875,CUT
"Apr 4, 2021","Valero Texas Open","Putnam, Andrew",0.6236,0.00935,0.307225,0.2095,0.105875,0.052025,0.031125,0.0107,CUT
"Apr 4, 2021","Valero Texas Open","McCarthy, Denny",0.6207,0.01055,0.312775,0.213975,0.109725,0.05385,0.0314,0.010025,T34
"Apr 4, 2021","Valero Texas Open","Fowler, Rickie",0.606425,0.0101,0.29995,0.204825,0.1038,0.052925,0.031825,0.009975,T17
"Apr 4, 2021","Valero Texas Open","Dahmen, Joel",0.61595,0.00975,0.297525,0.20355,0.1036,0.051225,0.029925,0.0099,74
"Apr 4, 2021","Valero Texas Open","Taylor, Nick",0.61935,0.008875,0.29495,0.1981,0.097775,0.048225,0.027999999999999997,0.00915,T59
"Apr 4, 2021","Valero Texas Open","List, Luke",0.61485,0.009775,0.296825,0.20155,0.1003,0.04895,0.029325,0.00905,T17
