tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Matsuyama, Hideki",13562,8300,0.0783,1,3,3,0,0,82.0,30,118.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Schauffele, Xander",19895,10000,0.1108,T3,3,0,0,0,79.0,18,100.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Zalatoris, Will",19428,7300,0.1493,2,3,0,0,0,76.0,20,99.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Spieth, Jordan",14636,9400,0.3297,T3,0,0,0,0,77.5,18,95.5
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Conners, Corey",17576,6900,0.2173,T8,0,0,5,0,76.0,9,90.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Rose, Justin",6093,7200,0.0283,7,3,0,0,0,73.5,10,86.5
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Leishman, Marc",7649,6900,0.0334,T5,3,0,0,0,67.5,14,84.5
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Rahm, Jon",19195,11000,0.1691,T5,0,3,0,0,67.0,14,84.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Hovland, Viktor",18841,8700,0.1171,T21,6,0,0,0,72.5,4,82.5
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Reed, Patrick",14838,9300,0.1204,T8,3,0,0,0,70.0,9,82.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Smith, Cameron",15856,8200,0.1868,T10,3,0,0,0,69.0,7,79.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Finau, Tony",11676,9100,0.1207,T10,3,0,0,0,69.0,7,79.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"MacIntyre, Robert",23323,6500,0.012,T12,3,0,0,0,70.0,6,79.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Palmer, Ryan",7820,6500,0.122,T34,3,0,0,0,72.5,2,77.5
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Simpson, Webb",11049,9000,0.133,T12,0,0,0,0,68.0,6,74.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Hatton, Tyrrell",14796,8900,0.0283,T18,6,0,0,0,62.0,5,73.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Thomas, Justin",14139,10600,0.2746,T21,3,0,0,0,63.0,4,70.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Morikawa, Collin",22085,9600,0.0978,T18,0,0,0,0,65.0,5,70.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Munoz, Sebastian",20770,6600,0.035,T40,6,0,0,0,61.5,2,69.5
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Scheffler, Scottie",18417,8400,0.0738,T18,0,0,0,0,64.0,5,69.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Casey, Paul",7108,7700,0.2637,T26,3,0,0,0,63.0,3,69.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"English, Harris",14577,7300,0.0343,T21,3,0,0,0,61.5,4,68.5
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Champ, Cameron",23542,6600,0.016,T26,0,0,0,0,65.0,3,68.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Na, Kevin",7452,6500,0.0312,T12,3,0,0,0,56.5,6,65.5
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Harman, Brian",8825,6800,0.1,T12,0,0,0,0,59.0,6,65.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Cink, Stewart",5665,6100,0.011,T12,0,0,0,0,59.0,6,65.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Lowry, Shane",13900,7000,0.028,T21,0,0,0,0,61.0,4,65.0
pga,2021,2021,The Masters #2,536,draftkings,$4M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Kim, Si Woo",14609,6700,0.0643,T12,0,0,0,0,59.0,6,65.0
