tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,The Masters #2,536,"Matsuyama, Hideki",13562,1,1,Augusta National Golf Club,14,69,2.315,1.793,0.985,0.43,3.207,5.523,283.8,0.714,0.722,1.0,15.287,37.167
pga,2021,2021,The Masters #2,536,"Matsuyama, Hideki",13562,1,2,Augusta National Golf Club,14,71,-1.732,1.479,0.291,1.292,3.062,1.33,301.9,0.786,0.778,0.429,38.792,38.045
pga,2021,2021,The Masters #2,536,"Matsuyama, Hideki",13562,1,3,Augusta National Golf Club,14,65,1.796,1.318,5.635,-1.322,5.63,7.426,298.5,0.357,0.667,0.714,50.73,23.192
pga,2021,2021,The Masters #2,536,"Matsuyama, Hideki",13562,1,4,Augusta National Golf Club,14,73,-1.473,1.014,-0.911,1.0,1.103,-0.37,304.3,0.714,0.667,0.636,62.456,36.56
pga,2021,2021,The Masters #2,536,"Zalatoris, Will",19428,2,1,Augusta National Golf Club,14,70,1.538,-0.108,1.994,1.099,2.985,4.523,302.0,0.643,0.833,0.571,35.775,48.384
pga,2021,2021,The Masters #2,536,"Zalatoris, Will",19428,2,2,Augusta National Golf Club,14,68,3.375,0.022,-0.676,1.608,0.954,4.33,301.1,0.857,0.611,0.6,27.118,33.77
pga,2021,2021,The Masters #2,536,"Zalatoris, Will",19428,2,3,Augusta National Golf Club,14,71,0.294,-0.437,1.097,0.472,1.132,1.426,307.2,0.714,0.778,0.4,38.836,35.045
pga,2021,2021,The Masters #2,536,"Zalatoris, Will",19428,2,4,Augusta National Golf Club,14,70,-0.343,0.793,1.456,0.724,2.972,2.63,310.2,0.571,0.778,0.625,65.646,39.303
pga,2021,2021,The Masters #2,536,"Schauffele, Xander",19895,T3,1,Augusta National Golf Club,14,72,-0.156,0.599,1.619,0.461,2.679,2.523,303.2,0.714,0.833,0.333,49.942,32.997
pga,2021,2021,The Masters #2,536,"Schauffele, Xander",19895,T3,2,Augusta National Golf Club,14,69,-0.919,1.29,1.686,1.272,4.248,3.33,314.0,0.857,0.833,0.75,,29.377
pga,2021,2021,The Masters #2,536,"Schauffele, Xander",19895,T3,3,Augusta National Golf Club,14,68,0.819,2.523,1.186,-0.102,3.607,4.426,309.8,0.571,0.611,0.875,62.903,29.954
pga,2021,2021,The Masters #2,536,"Schauffele, Xander",19895,T3,4,Augusta National Golf Club,14,72,-0.813,1.636,-1.888,1.695,1.442,0.63,324.7,0.786,0.611,0.583,65.039,34.944
pga,2021,2021,The Masters #2,536,"Spieth, Jordan",14636,T3,1,Augusta National Golf Club,14,71,-1.174,2.859,1.184,0.653,4.697,3.523,303.2,0.786,0.944,0.6,80.089,33.765
pga,2021,2021,The Masters #2,536,"Spieth, Jordan",14636,T3,2,Augusta National Golf Club,14,68,0.372,2.454,0.75,0.753,3.958,4.33,299.8,0.786,0.833,0.75,61.193,31.422
pga,2021,2021,The Masters #2,536,"Spieth, Jordan",14636,T3,3,Augusta National Golf Club,14,72,-2.487,1.088,0.253,1.572,2.913,0.426,307.1,0.786,0.778,0.375,51.135,38.744
pga,2021,2021,The Masters #2,536,"Spieth, Jordan",14636,T3,4,Augusta National Golf Club,14,70,-0.214,0.396,2.289,0.159,2.844,2.63,302.9,0.643,0.667,0.375,52.722,36.453
pga,2021,2021,The Masters #2,536,"Leishman, Marc",7649,T5,1,Augusta National Golf Club,14,72,0.496,2.468,0.516,-0.958,2.027,2.523,287.4,0.429,0.611,0.375,73.278,36.073
pga,2021,2021,The Masters #2,536,"Leishman, Marc",7649,T5,2,Augusta National Golf Club,14,67,0.982,0.406,3.214,0.727,4.347,5.33,300.0,0.714,0.833,0.857,37.328,24.221
pga,2021,2021,The Masters #2,536,"Leishman, Marc",7649,T5,3,Augusta National Golf Club,14,70,0.505,0.165,1.677,0.078,1.921,2.426,306.9,0.5,0.778,0.714,41.347,38.201
pga,2021,2021,The Masters #2,536,"Leishman, Marc",7649,T5,4,Augusta National Golf Club,14,73,-0.242,1.075,0.456,-1.66,-0.128,-0.37,287.9,0.429,0.5,0.625,37.584,31.817
pga,2021,2021,The Masters #2,536,"Rahm, Jon",19195,T5,1,Augusta National Golf Club,14,72,-0.937,3.239,-1.682,1.903,3.46,2.523,305.7,0.786,0.611,0.778,54.907,37.678
pga,2021,2021,The Masters #2,536,"Rahm, Jon",19195,T5,2,Augusta National Golf Club,14,72,-0.632,1.179,-1.615,1.398,0.962,0.33,310.2,0.714,0.611,0.714,39.233,30.948
pga,2021,2021,The Masters #2,536,"Rahm, Jon",19195,T5,3,Augusta National Golf Club,14,72,0.269,-1.449,-0.646,2.252,0.157,0.426,310.0,0.857,0.778,0.5,39.597,32.141
pga,2021,2021,The Masters #2,536,"Rahm, Jon",19195,T5,4,Augusta National Golf Club,14,66,1.638,0.568,3.155,1.269,4.992,6.63,314.8,0.643,0.833,1.0,40.175,20.108
pga,2021,2021,The Masters #2,536,"Rose, Justin",6093,7,1,Augusta National Golf Club,14,65,4.885,-0.254,4.007,0.886,4.638,9.523,291.5,0.786,0.833,0.714,62.174,27.966
pga,2021,2021,The Masters #2,536,"Rose, Justin",6093,7,2,Augusta National Golf Club,14,72,1.05,0.142,-0.566,-0.295,-0.72,0.33,297.4,0.643,0.833,0.4,37.016,47.571
pga,2021,2021,The Masters #2,536,"Rose, Justin",6093,7,3,Augusta National Golf Club,14,72,2.593,0.274,-1.208,-1.232,-2.167,0.426,286.7,0.571,0.556,0.7,68.293,40.881
pga,2021,2021,The Masters #2,536,"Rose, Justin",6093,7,4,Augusta National Golf Club,14,74,-2.481,0.87,0.336,-0.096,1.111,-1.37,286.2,0.643,0.722,0.333,53.053,30.34
pga,2021,2021,The Masters #2,536,"Reed, Patrick",14838,T8,1,Augusta National Golf Club,14,70,2.793,-0.345,0.311,1.763,1.729,4.523,300.5,0.857,0.667,0.545,51.849,36.786
pga,2021,2021,The Masters #2,536,"Reed, Patrick",14838,T8,2,Augusta National Golf Club,14,75,-1.11,-0.236,0.286,-1.61,-1.561,-2.67,292.9,0.643,0.667,0.5,60.491,39.767
pga,2021,2021,The Masters #2,536,"Reed, Patrick",14838,T8,3,Augusta National Golf Club,14,70,2.084,-0.106,-0.203,0.651,0.342,2.426,296.5,0.714,0.556,0.636,42.09,38.744
pga,2021,2021,The Masters #2,536,"Reed, Patrick",14838,T8,4,Augusta National Golf Club,14,69,2.951,1.201,1.175,-1.699,0.678,3.63,289.3,0.429,0.444,0.8,80.512,26.966
