tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Cink, Stewart",5665,6700,0.0677,1,3,3,0,0,93.0,30,129.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Grillo, Emiliano",12808,7300,0.0847,T2,3,6,0,5,78.0,20,112.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Varner III, Harold",16602,7000,0.021,T2,0,3,0,5,80.0,20,108.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"McNealy, Maverick",18634,6700,0.0047,T4,9,3,0,0,79.5,16,107.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Fitzpatrick, Matt",17646,9100,0.2187,T4,0,0,0,0,79.5,16,95.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Conners, Corey",17576,9300,0.1918,T4,0,0,0,0,78.0,16,94.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Bryan, Wesley",21236,6300,0.0074,T25,6,3,0,0,79.5,4,92.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"McCarthy, Denny",19870,7000,0.0272,T13,3,3,5,0,75.5,6,92.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Johnson, Dustin",12422,11600,0.1039,T13,3,0,0,0,82.5,6,91.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Kirk, Chris",12423,7500,0.1981,T7,0,3,0,0,78.5,10,91.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Lowry, Shane",13900,8500,0.052,T9,0,0,0,0,83.0,8,91.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Smith, Cameron",15856,10200,0.0951,T9,3,6,0,0,74.0,8,91.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Morikawa, Collin",22085,10500,0.1541,T7,3,3,0,0,73.5,10,89.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Im, Sungjae",17488,9000,0.0877,T13,3,0,0,0,80.0,6,89.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Hoffman, Charley",5768,7800,0.1959,T18,0,0,0,0,79.5,5,84.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Henley, Russell",14578,7900,0.1475,T9,0,0,0,0,76.0,8,84.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Willett, Danny",12920,6700,0.0028,T18,3,0,0,0,76.0,5,84.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Zalatoris, Will",19428,9700,0.2293,T42,6,0,0,0,76.5,1,83.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Wallace, Matt",20706,7500,0.0566,T18,0,6,0,0,72.0,5,83.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Davis, Cameron",17786,7400,0.0455,T25,3,0,0,0,76.0,4,83.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Howell III, Charles",6892,7200,0.0138,T18,3,3,0,0,70.5,5,81.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Burns, Sam",19483,7400,0.0293,T39,6,0,0,0,73.5,2,81.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Simpson, Webb",11049,10700,0.2546,T9,0,3,0,0,69.5,8,80.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Stuard, Brian",13022,6300,0.0041,T18,0,0,0,0,74.5,5,79.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Horschel, Billy",11276,8200,0.0733,T25,0,3,0,0,72.5,4,79.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Harman, Brian",8825,8700,0.1856,T13,0,0,0,0,73.0,6,79.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Kim, Si Woo",14609,7900,0.1747,T33,3,0,0,0,74.0,2,79.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Ghim, Doug",24550,6900,0.0807,T33,3,0,0,0,74.0,2,79.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Berger, Daniel",17606,10000,0.1492,T13,0,0,0,0,73.0,6,79.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Ancer, Abraham",18238,8900,0.2075,T18,0,3,0,0,69.5,5,77.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Hoge, Tom",15575,6400,0.0371,T25,0,0,0,0,73.0,4,77.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Bezuidenhout, Christiaan",18103,7700,0.1077,T33,3,0,0,0,71.0,2,76.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Kuchar, Matt",6169,8000,0.0938,T18,0,0,0,0,71.0,5,76.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Hatton, Tyrrell",14796,9500,0.1442,T39,3,6,0,0,65.0,2,76.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Schenk, Adam",19477,6500,0.0006,T25,0,0,0,0,71.0,4,75.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Landry, Andrew",14000,6400,0.0016,T33,0,0,0,0,71.5,2,73.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Noren, Alex",10419,7100,0.0169,T25,0,0,0,0,67.5,4,71.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Glover, Lucas",7399,7100,0.088,T33,0,0,0,0,69.0,2,71.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Streelman, Kevin",8480,7300,0.12,T33,0,0,0,0,69.0,2,71.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Lewis, Tom",15164,6500,0.0023,T25,0,0,0,0,66.5,4,70.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Villegas, Camilo",9171,6500,0.0145,T25,0,0,0,0,66.5,4,70.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Poulter, Ian",1435,7600,0.0946,T48,3,0,0,0,66.0,1,70.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"List, Luke",7960,6900,0.0129,58,3,0,0,0,66.5,0,69.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Todd, Brendon",12425,7300,0.0801,T39,0,0,0,0,66.5,2,68.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Thompson, Michael",12946,7200,0.0796,T42,0,0,0,0,67.0,1,68.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Sabbatini, Rory",6283,6800,0.0272,51,0,3,0,0,65.0,0,68.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Tway, Kevin",13127,6100,0.0004,T48,3,0,0,0,64.0,1,68.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Harrington, Scott",8479,6100,0.0014,T42,0,0,0,0,66.5,1,67.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Frittelli, Dylan",11955,7200,0.0181,T56,0,0,0,0,65.5,0,65.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Seiffert, Chase",17509,6700,0.0287,T42,0,0,0,0,64.0,1,65.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"NeSmith, Matthew",16433,6900,0.0729,T48,0,0,0,0,64.0,1,65.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Snedeker, Brandt",8820,6800,0.0285,T42,0,0,0,0,62.5,1,63.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Grace, Branden",11952,7600,0.0338,T42,0,3,0,0,59.0,1,63.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Streb, Robert",14852,6300,0.0029,T52,0,0,0,0,63.0,0,63.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"MacIntyre, Robert",23323,7800,0.0459,T59,0,3,0,0,59.0,0,62.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Higgs, Harry",14140,7000,0.0106,T59,0,0,0,0,61.5,0,61.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Moore, Ryan",7489,6900,0.014,T52,0,0,0,0,60.5,0,60.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Garnett, Brice",11451,6400,0.0193,T52,0,0,0,0,57.5,0,57.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Westwood, Lee",4052,8300,0.0237,63,0,0,0,0,57.0,0,57.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Straka, Sepp",17511,7000,0.0172,T59,3,0,0,0,53.5,0,56.5
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Hughes, Mackenzie",15556,7000,0.0315,T52,0,3,0,0,53.0,0,56.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Lee, Kyoung-Hoon",13497,6600,0.0067,T56,0,0,0,0,55.0,0,55.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Kang, Sung",7881,6100,0.0014,65,3,0,0,0,51.0,0,54.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Clark, Wyndham",23604,6800,0.0091,64,0,0,0,0,49.0,0,49.0
pga,2021,2021,RBC Heritage,12,draftkings,PGA TOUR $800K Flop Shot [$200K to 1st],"Piercy, Scott",7899,6300,0.0174,62,0,0,0,0,46.0,0,46.0
