tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,RBC Heritage,12,"Cink, Stewart",5665,1,1,Harbour Town Golf Links,12,63,2.435,0.963,3.426,0.885,5.274,7.709,289.8,0.786,0.833,1.0,37.789,19.972
pga,2021,2021,RBC Heritage,12,"Cink, Stewart",5665,1,2,Harbour Town Golf Links,12,63,2.843,1.436,3.13,-0.214,4.352,7.195,286.4,0.357,0.778,1.0,35.639,26.026
pga,2021,2021,RBC Heritage,12,"Cink, Stewart",5665,1,3,Harbour Town Golf Links,12,69,-1.464,0.576,1.685,0.125,2.387,0.923,290.2,0.429,0.833,0.5,40.8,33.538
pga,2021,2021,RBC Heritage,12,"Cink, Stewart",5665,1,4,Harbour Town Golf Links,12,70,-1.482,0.594,0.3,0.835,1.728,0.246,283.4,0.643,0.722,0.75,32.462,36.412
pga,2021,2021,RBC Heritage,12,"Grillo, Emiliano",12808,T2,1,Harbour Town Golf Links,12,68,-0.326,-0.544,1.968,1.611,3.035,2.709,278.7,0.786,0.778,1.0,18.505,31.174
pga,2021,2021,RBC Heritage,12,"Grillo, Emiliano",12808,T2,2,Harbour Town Golf Links,12,64,1.218,-0.091,3.872,1.196,4.977,6.195,279.9,0.714,0.833,1.0,42.656,19.581
pga,2021,2021,RBC Heritage,12,"Grillo, Emiliano",12808,T2,3,Harbour Town Golf Links,12,69,2.42,-1.159,-0.766,0.427,-1.497,0.923,280.8,0.714,0.778,0.625,,31.878
pga,2021,2021,RBC Heritage,12,"Grillo, Emiliano",12808,T2,4,Harbour Town Golf Links,12,68,-1.613,1.338,2.027,0.495,3.859,2.246,277.9,0.786,0.722,1.0,29.043,29.421
pga,2021,2021,RBC Heritage,12,"Varner III, Harold",16602,T2,1,Harbour Town Golf Links,12,66,1.727,0.537,2.073,0.372,2.982,4.709,275.4,0.643,0.833,0.75,30.92,28.686
pga,2021,2021,RBC Heritage,12,"Varner III, Harold",16602,T2,2,Harbour Town Golf Links,12,68,0.934,-0.308,0.751,0.818,1.261,2.195,278.5,0.714,0.722,0.714,46.958,23.057
