tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,Valspar Championship,475,"Burns, Sam",19483,1,1,Innisbrook Resort (Copperhead),665,67,2.78,0.518,-0.234,1.071,1.355,4.135,291.1,0.615,0.722,0.818,38.234,35.936
pga,2021,2021,Valspar Championship,475,"Burns, Sam",19483,1,2,Innisbrook Resort (Copperhead),665,63,3.314,1.961,1.32,1.296,4.576,7.897,283.4,0.769,0.722,1.0,20.692,27.553
pga,2021,2021,Valspar Championship,475,"Burns, Sam",19483,1,3,Innisbrook Resort (Copperhead),665,69,1.089,-0.296,0.942,-0.257,0.389,1.478,287.5,0.615,0.667,0.667,53.758,31.465
pga,2021,2021,Valspar Championship,475,"Burns, Sam",19483,1,4,Innisbrook Resort (Copperhead),665,68,1.914,-0.546,1.683,0.181,1.318,3.232,277.7,0.692,0.667,0.571,52.775,28.225
pga,2021,2021,Valspar Championship,475,"Bradley, Keegan",13872,2,1,Innisbrook Resort (Copperhead),665,64,1.845,0.517,4.02,0.753,5.29,7.135,279.1,0.692,0.944,1.0,37.061,21.218
pga,2021,2021,Valspar Championship,475,"Bradley, Keegan",13872,2,2,Innisbrook Resort (Copperhead),665,66,1.864,0.86,1.402,0.765,3.026,4.897,280.7,0.692,0.722,0.875,35.775,37.453
pga,2021,2021,Valspar Championship,475,"Bradley, Keegan",13872,2,3,Innisbrook Resort (Copperhead),665,69,-2.645,1.292,1.521,1.31,4.123,1.478,283.2,0.846,0.889,0.625,40.822,33.032
pga,2021,2021,Valspar Championship,475,"Bradley, Keegan",13872,2,4,Innisbrook Resort (Copperhead),665,71,-0.181,1.51,-0.85,-0.247,0.413,0.232,276.7,0.615,0.611,0.75,54.743,31.997
pga,2021,2021,Valspar Championship,475,"Tringale, Cameron",14013,T3,1,Innisbrook Resort (Copperhead),665,69,1.137,1.402,-1.375,0.971,0.998,2.135,275.2,0.846,0.556,1.0,47.676,28.877
pga,2021,2021,Valspar Championship,475,"Tringale, Cameron",14013,T3,2,Innisbrook Resort (Copperhead),665,67,2.737,-0.534,1.5,0.188,1.153,3.897,275.6,0.692,0.722,0.875,41.718,27.539
