tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"McIlroy, Rory",10091,10000,0.1119,1,0,0,0,0,72.0,30,102.0
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Mitchell, Keith",17365,7000,0.022,T3,3,3,0,0,74.5,18,98.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Ancer, Abraham",18238,8900,0.1241,2,3,3,0,0,70.5,20,96.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Hovland, Viktor",18841,9800,0.2262,T3,0,3,0,0,69.5,18,90.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Woodland, Gary",12577,7500,0.0176,5,3,0,0,0,67.0,14,84.0
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Piercy, Scott",7899,6200,0.0058,T11,0,0,0,0,77.0,6,83.0
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"List, Luke",7960,6800,0.0519,T6,3,0,0,0,66.5,12,81.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Wallace, Matt",20706,7500,0.1736,T6,0,0,0,0,66.5,12,78.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Rodgers, Patrick",16283,6500,0.0112,T37,6,0,0,0,68.5,2,76.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Reed, Patrick",14838,9300,0.1194,T6,0,0,0,0,63.5,12,75.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Schwartzel, Charl",7398,7200,0.0501,T14,0,0,0,0,68.5,6,74.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Watson, Bubba",7334,8300,0.0649,T18,0,0,0,0,69.5,5,74.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"DeChambeau, Bryson",19841,11000,0.1363,T9,0,0,0,0,66.5,8,74.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Schauffele, Xander",19895,10500,0.1053,T14,0,0,0,0,68.0,6,74.0
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Kodaira, Satoshi",13531,6100,0.0002,T11,0,0,0,0,67.0,6,73.0
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Dufner, Jason",7301,6500,0.0072,T43,3,0,0,0,68.5,1,72.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Wise, Aaron",22051,7100,0.0623,T9,0,0,0,0,64.5,8,72.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Grillo, Emiliano",12808,8100,0.1276,T14,3,0,0,0,62.5,6,71.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Pan, C.T.",15475,6400,0.0043,T18,0,0,0,0,66.0,5,71.0
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Taylor, Nick",13126,6600,0.0048,T26,6,0,0,0,61.5,3,70.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Fleetwood, Tommy",12294,8000,0.0813,T14,0,0,0,0,63.0,6,69.0
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Davis, Cameron",17786,7100,0.118,T26,3,0,0,0,63.0,3,69.0
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Thomas, Justin",14139,11300,0.1202,T26,0,0,0,0,65.5,3,68.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Griffin, Lanto",15330,7400,0.0423,T26,3,0,0,0,62.0,3,68.0
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Martin, Ben",14007,6400,0.0096,T11,0,0,0,0,62.0,6,68.0
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Spaun, J.J.",17536,6100,0.0003,T18,0,0,0,0,62.5,5,67.5
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Niemann, Joaquin",18079,9100,0.1924,T18,0,0,0,0,62.0,5,67.0
pga,2021,2021,Wells Fargo Championship,480,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Harman, Brian",8825,8700,0.1173,T18,0,0,0,0,61.0,5,66.0
