bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+795,2021-05-05 23:23,19195,+1073,2021-05-03 12:40,CUT,"Rahm, Jon",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+1116,2021-05-05 23:23,14139,+1027,2021-05-03 12:40,T26,"Thomas, Justin",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+1170,2021-05-05 23:23,19841,+1383,2021-05-03 12:40,T9,"DeChambeau, Bryson",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+1323,2021-05-05 23:23,19895,+1579,2021-05-03 12:40,T14,"Schauffele, Xander",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
1,paid in full,+1387,2021-05-05 23:23,10091,+1940,2021-05-03 12:40,1,"McIlroy, Rory",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+1890,2021-05-05 23:23,18841,+1869,2021-05-03 12:40,T3,"Hovland, Viktor",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+1990,2021-05-05 23:23,14838,+2302,2021-05-03 12:40,T6,"Reed, Patrick",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+2207,2021-05-05 23:23,19428,+1988,2021-05-03 12:40,CUT,"Zalatoris, Will",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+2347,2021-05-05 23:23,18079,+3476,2021-05-03 12:40,T18,"Niemann, Joaquin",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+2590,2021-05-05 23:23,11676,+2230,2021-05-03 12:40,CUT,"Finau, Tony",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+2696,2021-05-05 23:23,15466,+2316,2021-05-03 12:40,CUT,"Cantlay, Patrick",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+3357,2021-05-05 23:23,17538,+4684,2021-05-03 12:40,CUT,"Homa, Max",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+3396,2021-05-05 23:23,17576,+3227,2021-05-03 12:40,T43,"Conners, Corey",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+3521,2021-05-05 23:23,16433,+17590,2021-05-03 12:40,T58,"NeSmith, Matthew",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+3705,2021-05-05 23:23,14578,+6249,2021-05-03 12:40,T72,"Henley, Russell",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+4157,2021-05-05 23:23,12965,+5051,2021-05-03 12:40,CUT,"Fowler, Rickie",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+4543,2021-05-05 23:23,20706,+5514,2021-05-03 12:40,T6,"Wallace, Matt",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+4652,2021-05-05 23:23,8825,+3836,2021-05-03 12:40,T18,"Harman, Brian",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+5174,2021-05-05 23:23,14013,+4884,2021-05-03 12:40,CUT,"Tringale, Cameron",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+5271,2021-05-05 23:23,17488,+5069,2021-05-03 12:40,CUT,"Im, Sungjae",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+5723,2021-05-05 23:23,9771,+4635,2021-05-03 12:40,CUT,"Day, Jason",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+5875,2021-05-05 23:23,18238,+4750,2021-05-03 12:40,2,"Ancer, Abraham",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+6456,2021-05-05 23:23,15330,+21051,2021-05-03 12:40,T26,"Griffin, Lanto",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+6601,2021-05-05 23:23,5665,+5278,2021-05-03 12:40,T37,"Cink, Stewart",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+6804,2021-05-05 23:23,12808,+5423,2021-05-03 12:40,T14,"Grillo, Emiliano",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+7222,2021-05-05 23:23,13872,+7535,2021-05-03 12:40,T18,"Bradley, Keegan",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+7327,2021-05-05 23:23,16602,+11788,2021-05-03 12:40,CUT,"Varner III, Harold",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+7446,2021-05-05 23:23,22051,+11457,2021-05-03 12:40,T9,"Wise, Aaron",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+7759,2021-05-05 23:23,14509,+13999,2021-05-03 12:40,T18,"Dahmen, Joel",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+7873,2021-05-05 23:23,13900,+8573,2021-05-03 12:40,T65,"Lowry, Shane",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+8405,2021-05-05 23:23,7399,+6560,2021-05-03 12:40,CUT,"Glover, Lucas",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+8716,2021-05-05 23:23,12294,+6782,2021-05-03 12:40,T14,"Fleetwood, Tommy",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+8730,2021-05-05 23:23,14577,+6790,2021-05-03 12:40,T43,"English, Harris",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+8965,2021-05-05 23:23,17786,+10335,2021-05-03 12:40,T26,"Davis, Cameron",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+9189,2021-05-05 23:23,13508,+16659,2021-05-03 12:40,T43,"Vegas, Jhonattan",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+9517,2021-05-05 23:23,7334,+7336,2021-05-03 12:40,T18,"Watson, Bubba",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+9954,2021-05-05 23:23,8605,+7634,2021-05-03 12:40,T37,"Jones, Matt",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+10340,2021-05-05 23:23,18580,+7898,2021-05-03 12:40,T26,"Gooch, Talor",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+11457,2021-05-05 23:23,12577,+13339,2021-05-03 12:40,5,"Woodland, Gary",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+11461,2021-05-05 23:23,7960,+12876,2021-05-03 12:40,T6,"List, Luke",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+12153,2021-05-05 23:23,11019,+14065,2021-05-03 12:40,T70,"Steele, Brendan",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+12776,2021-05-05 23:23,8480,+9531,2021-05-03 12:40,T26,"Streelman, Kevin",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+13267,2021-05-05 23:23,7398,+22502,2021-05-03 12:40,T14,"Schwartzel, Charl",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+13347,2021-05-05 23:23,14735,+9910,2021-05-03 12:40,T65,"Ortiz, Carlos",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+13829,2021-05-05 23:23,20770,+10223,2021-05-03 12:40,CUT,"Munoz, Sebastian",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+14950,2021-05-05 23:23,17365,+22502,2021-05-03 12:40,T3,"Mitchell, Keith",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+15985,2021-05-05 23:23,13965,+17385,2021-05-03 12:40,CUT,"Hadwin, Adam",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+16424,2021-05-05 23:23,1435,+11895,2021-05-03 12:40,CUT,"Poulter, Ian",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+16475,2021-05-05 23:23,15575,+11930,2021-05-03 12:40,CUT,"Hoge, Tom",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+17293,2021-05-05 23:23,19870,+12444,2021-05-03 12:40,CUT,"McCarthy, Denny",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+19023,2021-05-05 23:23,17550,+13522,2021-05-03 12:40,CUT,"Van Rooyen, Erik",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
0,loss,+19421,2021-05-05 23:23,6762,+31688,2021-05-03 12:40,T26,"Perez, Pat",pinnacle,2021-05-09,Wells Fargo Championship,win,2021,2021,480
