tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,Wells Fargo Championship,480,"McIlroy, Rory",10091,1,1,Quail Hollow Club,872,72,1.281,-0.45,-1.195,0.21,-1.436,-0.155,315.3,0.357,0.667,0.667,40.334,41.536
pga,2021,2021,Wells Fargo Championship,480,"McIlroy, Rory",10091,1,2,Quail Hollow Club,872,66,0.893,0.494,4.294,1.261,6.049,6.942,321.5,0.429,0.833,0.8,35.157,28.942
pga,2021,2021,Wells Fargo Championship,480,"McIlroy, Rory",10091,1,3,Quail Hollow Club,872,68,3.139,-0.207,-0.039,0.874,0.627,3.766,327.9,0.5,0.833,0.857,46.075,36.052
pga,2021,2021,Wells Fargo Championship,480,"McIlroy, Rory",10091,1,4,Quail Hollow Club,872,68,1.633,0.416,2.207,-0.049,2.575,4.208,326.2,0.357,0.778,0.833,31.885,26.832
pga,2021,2021,Wells Fargo Championship,480,"Ancer, Abraham",18238,2,1,Quail Hollow Club,872,69,0.413,0.033,2.305,0.095,2.432,2.845,288.9,0.786,0.833,0.5,26.226,32.775
pga,2021,2021,Wells Fargo Championship,480,"Ancer, Abraham",18238,2,2,Quail Hollow Club,872,70,0.959,-0.784,0.862,1.905,1.983,2.942,301.5,0.929,0.722,0.444,36.018,35.106
pga,2021,2021,Wells Fargo Championship,480,"Ancer, Abraham",18238,2,3,Quail Hollow Club,872,70,-0.554,0.087,1.416,0.818,2.32,1.766,306.2,0.571,0.722,0.556,37.527,35.801
pga,2021,2021,Wells Fargo Championship,480,"Ancer, Abraham",18238,2,4,Quail Hollow Club,872,66,0.889,0.684,2.895,1.739,5.319,6.208,313.3,0.714,0.944,0.5,56.995,30.474
pga,2021,2021,Wells Fargo Championship,480,"Mitchell, Keith",17365,T3,1,Quail Hollow Club,872,67,1.669,-1.899,2.789,2.287,3.176,4.845,315.8,0.786,0.778,0.333,44.955,32.425
pga,2021,2021,Wells Fargo Championship,480,"Mitchell, Keith",17365,T3,2,Quail Hollow Club,872,71,0.234,0.314,0.546,0.848,1.708,1.942,310.2,0.643,0.611,0.778,46.221,40.823
pga,2021,2021,Wells Fargo Championship,480,"Mitchell, Keith",17365,T3,3,Quail Hollow Club,872,66,1.566,0.243,0.609,3.349,4.2,5.766,321.8,0.857,0.778,0.75,74.253,31.267
pga,2021,2021,Wells Fargo Championship,480,"Mitchell, Keith",17365,T3,4,Quail Hollow Club,872,72,0.023,-1.517,0.787,0.914,0.185,0.208,318.0,0.571,0.722,0.333,35.3,46.27
pga,2021,2021,Wells Fargo Championship,480,"Hovland, Viktor",18841,T3,1,Quail Hollow Club,872,69,0.399,-0.408,1.55,1.305,2.446,2.845,308.0,0.714,0.833,0.714,32.31,38.034
pga,2021,2021,Wells Fargo Championship,480,"Hovland, Viktor",18841,T3,2,Quail Hollow Club,872,72,1.92,-0.56,-0.875,0.457,-0.978,0.942,304.4,0.571,0.611,0.6,49.436,35.154
pga,2021,2021,Wells Fargo Championship,480,"Hovland, Viktor",18841,T3,3,Quail Hollow Club,872,68,-0.796,0.784,2.523,1.256,4.562,3.766,316.0,0.5,0.889,0.75,25.55,39.471
pga,2021,2021,Wells Fargo Championship,480,"Hovland, Viktor",18841,T3,4,Quail Hollow Club,872,67,2.445,0.559,0.602,1.601,2.763,5.208,319.8,0.571,0.722,1.0,19.814,29.105
pga,2021,2021,Wells Fargo Championship,480,"Woodland, Gary",12577,5,1,Quail Hollow Club,872,67,0.798,1.38,2.188,0.48,4.047,4.845,302.6,0.5,0.722,0.75,31.253,36.617
pga,2021,2021,Wells Fargo Championship,480,"Woodland, Gary",12577,5,2,Quail Hollow Club,872,69,2.339,-0.409,1.339,0.673,1.603,3.942,305.0,0.5,0.611,0.667,38.615,32.355
pga,2021,2021,Wells Fargo Championship,480,"Woodland, Gary",12577,5,3,Quail Hollow Club,872,70,0.9,0.482,1.47,-1.085,0.866,1.766,315.9,0.571,0.667,0.714,51.796,34.253
pga,2021,2021,Wells Fargo Championship,480,"Woodland, Gary",12577,5,4,Quail Hollow Club,872,71,-0.394,0.291,-1.377,2.687,1.602,1.208,324.8,0.786,0.611,0.583,45.65,50.212
pga,2021,2021,Wells Fargo Championship,480,"Wallace, Matt",20706,T6,1,Quail Hollow Club,872,69,1.951,-0.607,0.686,0.816,0.894,2.845,305.7,0.786,0.611,0.667,59.272,34.646
pga,2021,2021,Wells Fargo Championship,480,"Wallace, Matt",20706,T6,2,Quail Hollow Club,872,67,2.681,0.228,2.302,0.731,3.261,5.942,297.3,0.643,0.667,0.75,28.144,31.419
pga,2021,2021,Wells Fargo Championship,480,"Wallace, Matt",20706,T6,3,Quail Hollow Club,872,73,-1.02,1.539,-1.456,-0.296,-0.214,-1.234,304.6,0.643,0.556,0.5,51.392,45.388
pga,2021,2021,Wells Fargo Championship,480,"Wallace, Matt",20706,T6,4,Quail Hollow Club,872,70,-1.051,1.274,1.464,0.52,3.259,2.208,319.6,0.357,0.667,0.444,47.034,40.647
pga,2021,2021,Wells Fargo Championship,480,"List, Luke",7960,T6,1,Quail Hollow Club,872,67,2.168,0.069,1.852,0.757,2.677,4.845,308.0,0.5,0.722,0.5,36.855,24.991
pga,2021,2021,Wells Fargo Championship,480,"List, Luke",7960,T6,2,Quail Hollow Club,872,72,-2.923,1.359,0.571,1.935,3.865,0.942,311.6,0.643,0.611,0.5,48.927,41.941
pga,2021,2021,Wells Fargo Championship,480,"List, Luke",7960,T6,3,Quail Hollow Club,872,68,0.0,1.268,0.232,2.267,3.766,3.766,324.5,0.643,0.722,0.5,24.34,37.429
pga,2021,2021,Wells Fargo Championship,480,"List, Luke",7960,T6,4,Quail Hollow Club,872,72,3.436,-2.318,-1.261,0.35,-3.228,0.208,326.1,0.571,0.556,0.538,52.421,43.185
pga,2021,2021,Wells Fargo Championship,480,"Reed, Patrick",14838,T6,1,Quail Hollow Club,872,71,0.815,0.151,0.291,-0.411,0.03,0.845,291.1,0.571,0.667,0.667,35.8,37.301
pga,2021,2021,Wells Fargo Championship,480,"Reed, Patrick",14838,T6,2,Quail Hollow Club,872,69,4.016,1.532,-0.536,-1.07,-0.074,3.942,296.9,0.643,0.556,0.9,29.297,41.609
pga,2021,2021,Wells Fargo Championship,480,"Reed, Patrick",14838,T6,3,Quail Hollow Club,872,69,1.113,-0.499,0.162,1.991,1.653,2.766,308.3,0.714,0.722,0.667,9.553,33.553
pga,2021,2021,Wells Fargo Championship,480,"Reed, Patrick",14838,T6,4,Quail Hollow Club,872,70,0.809,0.246,0.125,1.027,1.399,2.208,303.5,0.714,0.611,0.667,39.311,40.723
pga,2021,2021,Wells Fargo Championship,480,"DeChambeau, Bryson",19841,T9,1,Quail Hollow Club,872,70,3.215,0.372,-2.503,0.762,-1.37,1.845,333.2,0.5,0.611,0.778,26.062,37.605
pga,2021,2021,Wells Fargo Championship,480,"DeChambeau, Bryson",19841,T9,2,Quail Hollow Club,872,74,1.398,0.383,-4.017,1.178,-2.456,-1.058,319.6,0.357,0.611,0.667,48.272,39.169
pga,2021,2021,Wells Fargo Championship,480,"DeChambeau, Bryson",19841,T9,3,Quail Hollow Club,872,68,2.076,1.48,-1.054,1.265,1.69,3.766,321.3,0.357,0.667,0.727,59.457,42.398
pga,2021,2021,Wells Fargo Championship,480,"DeChambeau, Bryson",19841,T9,4,Quail Hollow Club,872,68,0.313,0.818,2.322,0.754,3.895,4.208,332.9,0.5,0.889,0.667,37.617,29.558
pga,2021,2021,Wells Fargo Championship,480,"Wise, Aaron",22051,T9,1,Quail Hollow Club,872,72,-2.568,0.548,1.16,0.706,2.413,-0.155,299.5,0.786,0.833,0.571,46.452,38.94
pga,2021,2021,Wells Fargo Championship,480,"Wise, Aaron",22051,T9,2,Quail Hollow Club,872,71,0.312,0.965,0.179,0.486,1.63,1.942,307.3,0.5,0.556,0.818,59.98,36.785
pga,2021,2021,Wells Fargo Championship,480,"Wise, Aaron",22051,T9,3,Quail Hollow Club,872,68,1.067,0.326,2.301,0.073,2.699,3.766,311.1,0.429,0.889,0.75,31.788,28.786
pga,2021,2021,Wells Fargo Championship,480,"Wise, Aaron",22051,T9,4,Quail Hollow Club,872,69,0.616,2.23,-0.859,1.22,2.592,3.208,311.4,0.643,0.667,0.778,49.023,45.246
pga,2021,2021,Wells Fargo Championship,480,"Piercy, Scott",7899,T11,1,Quail Hollow Club,872,70,-0.025,0.607,0.251,1.013,1.87,1.845,297.3,0.786,0.611,0.636,39.573,39.703
pga,2021,2021,Wells Fargo Championship,480,"Piercy, Scott",7899,T11,2,Quail Hollow Club,872,68,0.4,0.602,2.564,1.376,4.542,4.942,294.9,0.857,0.722,0.667,35.923,32.82
pga,2021,2021,Wells Fargo Championship,480,"Piercy, Scott",7899,T11,3,Quail Hollow Club,872,73,-1.097,0.237,0.963,-1.336,-0.137,-1.234,313.4,0.429,0.611,0.8,41.593,41.516
pga,2021,2021,Wells Fargo Championship,480,"Piercy, Scott",7899,T11,4,Quail Hollow Club,872,70,-1.52,3.233,-0.431,0.925,3.728,2.208,318.7,0.643,0.5,0.692,66.626,39.485
pga,2021,2021,Wells Fargo Championship,480,"Kodaira, Satoshi",13531,T11,1,Quail Hollow Club,872,68,3.001,0.917,0.253,-0.325,0.844,3.845,278.6,0.643,0.5,0.857,54.571,25.937
pga,2021,2021,Wells Fargo Championship,480,"Kodaira, Satoshi",13531,T11,2,Quail Hollow Club,872,72,0.981,-1.47,2.454,-1.023,-0.039,0.942,289.7,0.5,0.5,0.545,43.824,27.509
pga,2021,2021,Wells Fargo Championship,480,"Kodaira, Satoshi",13531,T11,3,Quail Hollow Club,872,68,3.385,-1.429,0.391,1.42,0.381,3.766,303.6,0.786,0.778,0.5,43.967,47.704
pga,2021,2021,Wells Fargo Championship,480,"Kodaira, Satoshi",13531,T11,4,Quail Hollow Club,872,73,-0.877,0.551,-1.486,1.019,0.085,-0.792,300.3,0.714,0.611,0.571,39.181,41.611
pga,2021,2021,Wells Fargo Championship,480,"Martin, Ben",14007,T11,1,Quail Hollow Club,872,69,0.544,0.764,1.843,-0.305,2.301,2.845,286.1,0.5,0.778,1.0,57.868,30.731
