tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Lee, K.H.",13497,6900,0.0647,1,3,6,0,5,103.0,30,147.0
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Burns, Sam",19483,9300,0.0833,2,6,6,0,0,99.5,20,131.5
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Stallings, Scott",12359,7500,0.0283,T3,9,0,0,0,103.0,18,130.0
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Berger, Daniel",17606,10100,0.14,T3,6,0,0,5,98.5,18,127.5
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Kizzire, Patton",13470,7300,0.1497,T3,6,6,0,0,96.5,18,126.5
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Schwartzel, Charl",7398,8100,0.0812,T3,0,3,0,5,98.0,18,124.0
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Bramlett, Joseph",14698,6700,0.0199,T7,3,3,0,0,96.0,10,112.0
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Spieth, Jordan",14636,10700,0.193,T9,3,3,0,0,93.5,8,107.5
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Merritt, Troy",13367,6800,0.0173,T7,3,3,0,0,91.0,10,107.0
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Power, Seamus",10104,7000,0.0049,T9,0,6,0,0,92.5,8,106.5
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Vegas, Jhonattan",13508,7200,0.1114,T9,0,0,0,0,96.5,8,104.5
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Redman, Doc",24481,7300,0.0167,T9,3,6,0,0,87.0,8,104.0
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Donald, Luke",4163,6100,0.0014,T13,6,6,0,0,86.0,6,104.0
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Kodaira, Satoshi",13531,6500,0.0113,T13,3,0,0,0,93.0,6,102.0
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Lebioda, Hank",21943,6900,0.0102,T17,9,3,0,0,85.0,5,102.0
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Schenk, Adam",19477,7100,0.0139,T34,6,3,0,0,89.0,2,100.0
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Noren, Alex",10419,7900,0.0545,T21,3,3,0,0,88.5,4,98.5
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Snedeker, Brandt",8820,7400,0.1201,T17,3,3,0,0,87.5,5,98.5
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Zalatoris, Will",19428,9700,0.2395,T17,3,0,0,0,90.0,5,98.0
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Leishman, Marc",7649,9200,0.0784,T21,3,0,0,0,89.5,4,96.5
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"English, Harris",14577,8700,0.0733,T13,3,3,0,0,84.5,6,96.5
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Ortiz, Carlos",14735,7800,0.1172,T21,0,3,0,0,89.0,4,96.0
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Westwood, Lee",4052,8500,0.0308,T21,6,3,0,0,82.5,4,95.5
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Burgoon, Bronson",11082,6600,0.0153,T13,3,3,0,0,83.0,6,95.0
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Martin, Ben",14007,7400,0.0594,T26,6,6,0,0,80.0,3,95.0
pga,2021,2021,AT&T Byron Nelson,19,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Cabrera Bello, Rafa",7457,6700,0.0081,T21,6,0,0,0,84.0,4,94.0
