date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"May 23, 2021","PGA Championship","Rahm, Jon",0.838325,0.0257,0.612025,0.494425,0.324325,0.2019,0.1393,0.057825,T8
"May 23, 2021","PGA Championship","Berger, Daniel",0.81155,0.018125,0.5446,0.422725,0.261325,0.153025,0.100725,0.0398,T75
"May 23, 2021","PGA Championship","Hovland, Viktor",0.78895,0.026725,0.52295,0.40745,0.253,0.148925,0.098875,0.038375,T30
"May 23, 2021","PGA Championship","Thomas, Justin",0.792575,0.0249,0.5216,0.403125,0.248875,0.145925,0.0981,0.037575,CUT
"May 23, 2021","PGA Championship","Schauffele, Xander",0.788925,0.023925,0.5203,0.401175,0.24315,0.14275,0.0919,0.035775,CUT
"May 23, 2021","PGA Championship","Johnson, Dustin",0.778025,0.01925,0.490775,0.377225,0.2305,0.133725,0.087125,0.033475,CUT
"May 23, 2021","PGA Championship","DeChambeau, Bryson",0.7699,0.0225,0.4839,0.367375,0.222475,0.12735,0.08165,0.031,T38
"May 23, 2021","PGA Championship","McIlroy, Rory",0.766925,0.02295,0.4799,0.364325,0.2189,0.124475,0.080275,0.030025,T49
"May 23, 2021","PGA Championship","Simpson, Webb",0.77885,0.01455,0.48895,0.366525,0.213375,0.12035,0.07625,0.0277,T30
"May 23, 2021","PGA Championship","Morikawa, Collin",0.7547,0.02055,0.44845,0.3334,0.195225,0.107675,0.06775,0.024325,T8
"May 23, 2021","PGA Championship","Ancer, Abraham",0.765075,0.0149,0.45855,0.3407,0.1937,0.1057,0.0676,0.023875,T8
"May 23, 2021","PGA Championship","Conners, Corey",0.763175,0.014425,0.453025,0.335875,0.192,0.10325,0.06605,0.02375,T17
"May 23, 2021","PGA Championship","Cantlay, Patrick",0.742275,0.01255,0.426125,0.31235,0.177275,0.098,0.060975,0.021625,T23
"May 23, 2021","PGA Championship","Reed, Patrick",0.73945,0.01305,0.416475,0.3016,0.16865,0.090225,0.055625,0.0203,T17
"May 23, 2021","PGA Championship","Fitzpatrick, Matthew",0.748675,0.012975,0.43315,0.3188,0.17635,0.0937,0.057325,0.019925,T23
"May 23, 2021","PGA Championship","Niemann, Joaquin",0.739975,0.0131,0.418225,0.302675,0.168025,0.089525,0.056225,0.0196,T30
"May 23, 2021","PGA Championship","Scheffler, Scottie",0.736925,0.018175,0.42195,0.30615,0.16965,0.0912,0.0568,0.019375,T8
"May 23, 2021","PGA Championship","Hatton, Tyrrell",0.72575,0.017225,0.405275,0.296275,0.163175,0.08775,0.055425,0.018775,T38
"May 23, 2021","PGA Championship","Spieth, Jordan",0.7316,0.011925,0.40535,0.291925,0.162675,0.086725,0.052925,0.0187,T30
"May 23, 2021","PGA Championship","Finau, Tony",0.735575,0.01205,0.41065,0.2971,0.161525,0.083825,0.050975,0.017275,T8
"May 23, 2021","PGA Championship","Matsuyama, Hideki",0.707175,0.01685,0.37925,0.272925,0.14635,0.07765,0.048525,0.016525,T23
"May 23, 2021","PGA Championship","Smith, Cameron",0.70755,0.011275,0.37455,0.266075,0.14300000000000002,0.075825,0.0468,0.0156,T59
"May 23, 2021","PGA Championship","Zalatoris, Will",0.707975,0.011225,0.369125,0.260675,0.138625,0.0713,0.043475,0.014975,T8
"May 23, 2021","PGA Championship","Casey, Paul",0.695,0.01365,0.3553,0.25055,0.13085,0.0666,0.03985,0.013025,T4
"May 23, 2021","PGA Championship","Harman, Brian",0.7205,0.01,0.377825,0.2645,0.136625,0.068575,0.0403,0.01235,CUT
"May 23, 2021","PGA Championship","Oosthuizen, Louis",0.684825,0.012775,0.341775,0.2378,0.122575,0.06225,0.036625,0.01185,T2
"May 23, 2021","PGA Championship","Bradley, Keegan",0.6679,0.01265,0.3207,0.22095,0.1133,0.05735,0.033825,0.011775,T17
"May 23, 2021","PGA Championship","Koepka, Brooks",0.669425,0.0123,0.32455,0.22515,0.11535,0.0583,0.035,0.010875,T2
