tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,Charles Schwab Challenge,21,"Kokrak, Jason",12337,1,1,Colonial Country Club,21,65,2.022,-0.123,1.897,2.129,3.904,5.926,297.5,0.786,0.667,0.778,55.019,25.538
pga,2021,2021,Charles Schwab Challenge,21,"Kokrak, Jason",12337,1,2,Colonial Country Club,21,65,1.553,0.092,2.06,0.694,2.845,4.42,284.7,0.643,0.778,0.8,12.965,25.077
pga,2021,2021,Charles Schwab Challenge,21,"Kokrak, Jason",12337,1,3,Colonial Country Club,21,66,0.966,-0.676,1.945,1.579,2.847,3.8,292.3,0.786,0.944,0.5,47.84,25.552
pga,2021,2021,Charles Schwab Challenge,21,"Kokrak, Jason",12337,1,4,Colonial Country Club,21,70,0.967,-1.309,-0.687,1.762,-0.234,0.733,286.6,0.929,0.722,0.444,19.469,35.038
pga,2021,2021,Charles Schwab Challenge,21,"Spieth, Jordan",14636,2,1,Colonial Country Club,21,63,4.239,1.918,0.861,0.907,3.687,7.926,291.4,0.643,0.667,1.0,38.409,28.556
pga,2021,2021,Charles Schwab Challenge,21,"Spieth, Jordan",14636,2,2,Colonial Country Club,21,66,1.184,0.5,0.583,1.132,2.214,3.42,289.2,0.714,0.778,0.833,30.091,25.333
pga,2021,2021,Charles Schwab Challenge,21,"Spieth, Jordan",14636,2,3,Colonial Country Club,21,66,1.579,-0.194,2.035,-0.649,1.234,3.8,293.4,0.429,0.778,0.5,19.019,25.989
pga,2021,2021,Charles Schwab Challenge,21,"Spieth, Jordan",14636,2,4,Colonial Country Club,21,73,-0.399,-0.601,-2.285,1.018,-1.868,-2.267,285.8,0.714,0.5,0.583,55.081,37.971
pga,2021,2021,Charles Schwab Challenge,21,"Kizzire, Patton",13470,T3,1,Colonial Country Club,21,67,1.196,0.663,0.771,1.295,2.73,3.926,286.0,0.714,0.611,0.714,42.171,28.621
pga,2021,2021,Charles Schwab Challenge,21,"Kizzire, Patton",13470,T3,2,Colonial Country Club,21,65,3.25,-0.969,2.231,-0.113,1.148,4.42,281.5,0.714,0.778,0.8,22.144,20.223
pga,2021,2021,Charles Schwab Challenge,21,"Kizzire, Patton",13470,T3,3,Colonial Country Club,21,71,-3.205,-0.505,1.811,0.713,2.018,-1.2,299.4,0.5,0.611,0.5,29.408,24.456
pga,2021,2021,Charles Schwab Challenge,21,"Kizzire, Patton",13470,T3,4,Colonial Country Club,21,67,0.346,2.06,1.547,-0.22,3.387,3.733,281.2,0.643,0.722,0.6,57.995,27.97
pga,2021,2021,Charles Schwab Challenge,21,"Poulter, Ian",1435,T3,1,Colonial Country Club,21,68,0.704,1.859,1.39,-1.028,2.222,2.926,272.0,0.5,0.556,0.889,38.787,29.903
pga,2021,2021,Charles Schwab Challenge,21,"Poulter, Ian",1435,T3,2,Colonial Country Club,21,70,-0.382,0.798,-0.062,-0.955,-0.22,-0.58,271.3,0.714,0.556,0.429,39.227,33.481
pga,2021,2021,Charles Schwab Challenge,21,"Poulter, Ian",1435,T3,3,Colonial Country Club,21,64,3.432,0.057,1.867,0.458,2.381,5.8,274.4,0.786,0.833,1.0,34.103,31.354
pga,2021,2021,Charles Schwab Challenge,21,"Poulter, Ian",1435,T3,4,Colonial Country Club,21,68,0.876,0.606,0.717,0.534,1.857,2.733,280.7,0.714,0.778,0.8,34.243,27.576
pga,2021,2021,Charles Schwab Challenge,21,"Munoz, Sebastian",20770,T3,1,Colonial Country Club,21,67,0.191,1.092,1.506,1.136,3.735,3.926,277.7,0.857,0.722,0.8,55.877,27.918
