bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1031,2021-06-02 22:51,19195,+940,2021-05-31 11:59,WD,"Rahm, Jon",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+1631,2021-06-02 22:51,22085,+1483,2021-05-31 11:59,2,"Morikawa, Collin",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+1631,2021-06-02 22:51,14139,+1483,2021-05-31 11:59,T42,"Thomas, Justin",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+1712,2021-06-02 22:51,18841,+1558,2021-05-31 11:59,T47,"Hovland, Viktor",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+1810,2021-06-02 22:51,19841,+1704,2021-05-31 11:59,T18,"DeChambeau, Bryson",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+1874,2021-06-02 22:51,14636,+1704,2021-05-31 11:59,T18,"Spieth, Jordan",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+1874,2021-06-02 22:51,10091,+1704,2021-05-31 11:59,T18,"McIlroy, Rory",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
1,paid in full,+1973,2021-06-02 22:51,15466,+2042,2021-05-31 11:59,1,"Cantlay, Patrick",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+1980,2021-06-02 22:51,13562,+2824,2021-05-31 11:59,T62,"Matsuyama, Hideki",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+1986,2021-06-02 22:51,19895,+1856,2021-05-31 11:59,T11,"Schauffele, Xander",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+2379,2021-06-02 22:51,8480,+6141,2021-05-31 11:59,T13,"Streelman, Kevin",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+2560,2021-06-02 22:51,11676,+2321,2021-05-31 11:59,T32,"Finau, Tony",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+2767,2021-06-02 22:51,17646,+3500,2021-05-31 11:59,CUT,"Fitzpatrick, Matthew",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+2887,2021-06-02 22:51,17576,+3067,2021-05-31 11:59,T53,"Conners, Corey",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+2995,2021-06-02 22:51,14838,+3067,2021-05-31 11:59,5,"Reed, Patrick",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+3104,2021-06-02 22:51,7672,+3875,2021-05-31 11:59,T18,"Oosthuizen, Louis",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+3602,2021-06-02 22:51,18417,+3253,2021-05-31 11:59,3,"Scheffler, Scottie",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+3967,2021-06-02 22:51,13872,+4650,2021-05-31 11:59,CUT,"Bradley, Keegan",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+4017,2021-06-02 22:51,14013,+7445,2021-05-31 11:59,T26,"Tringale, Cameron",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+4124,2021-06-02 22:51,18079,+3719,2021-05-31 11:59,CUT,"Niemann, Joaquin",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
0,loss,+4340,2021-06-02 22:51,12577,+6636,2021-05-31 11:59,CUT,"Woodland, Gary",pinnacle,2021-06-06,the Memorial Tournament presented by Nationwide,win,2021,2021,23
