tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Higgo, Garrick",24342,9000,0.1271,1,6,0,0,5,81.0,30,122.0
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Vegas, Jhonattan",13508,8300,0.1091,T2,6,0,0,0,84.5,20,110.5
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Van Pelt, Bo",6457,6100,0.0027,T2,6,0,0,0,82.0,20,108.0
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Hatton, Tyrrell",14796,10200,0.2115,T2,3,0,0,0,82.5,20,105.5
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Hadley, Chesson",14967,6700,0.0046,T2,6,0,0,0,76.0,20,102.0
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Redman, Doc",24481,8000,0.1081,T2,0,0,0,0,76.0,20,96.0
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Swafford, Hudson",14706,6500,0.0124,T2,0,0,0,0,75.5,20,95.5
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Lipsky, David",15980,7400,0.0946,T8,6,0,0,0,77.5,9,92.5
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Armour, Ryan",8469,6800,0.0097,T8,3,0,0,0,79.0,9,91.0
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Nienaber, Wilco",25889,7300,0.0097,T14,3,0,0,0,79.0,6,88.0
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Gordon, Will",26660,6700,0.0171,T14,3,3,0,0,75.0,6,87.0
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"English, Harris",14577,9900,0.1036,T14,6,0,0,0,74.5,6,86.5
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Lee, Tain",16598,6200,0.0056,T14,6,0,0,0,74.0,6,86.0
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Piercy, Scott",7899,7200,0.0266,T19,6,0,0,0,75.0,5,86.0
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Johnson, Dustin",12422,11400,0.2166,T10,0,3,0,0,76.0,7,86.0
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Fitzpatrick, Matt",17646,10400,0.1617,T10,0,3,0,0,74.5,7,84.5
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Power, Seamus",10104,7500,0.0928,T19,3,0,0,0,74.0,5,82.0
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Reavie, Chez",7961,6800,0.0295,T14,3,3,0,0,68.5,6,80.5
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Perez, Pat",6762,7700,0.0871,T10,0,0,0,0,72.5,7,79.5
pga,2021,2021,Palmetto Championship at Congaree,538,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Norlander, Henrik",11657,7100,0.0234,T25,0,0,0,0,75.0,4,79.0
