bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+788,2021-06-09 22:47,12422,+736,2021-06-08 07:47,T10,"Johnson, Dustin",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+851,2021-06-09 22:47,16243,+910,2021-06-08 07:47,CUT,"Koepka, Brooks",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+1143,2021-06-09 22:47,17646,+1250,2021-06-08 07:47,T10,"Fitzpatrick, Matthew",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+1203,2021-06-09 22:47,14796,+1105,2021-06-08 07:47,T2,"Hatton, Tyrrell",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+1668,2021-06-09 22:47,17488,+2139,2021-06-08 07:47,T35,"Im, Sungjae",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+2877,2021-06-09 22:47,14577,+2589,2021-06-08 07:47,T14,"English, Harris",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+2899,2021-06-09 22:47,16602,+3702,2021-06-08 07:47,CUT,"Varner III, Harold",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+3060,2021-06-09 22:47,12294,+2754,2021-06-08 07:47,T35,"Fleetwood, Tommy",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+3567,2021-06-09 22:47,10419,+3213,2021-06-08 07:47,CUT,"Noren, Alex",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+3708,2021-06-09 22:47,17365,+4811,2021-06-08 07:47,CUT,"Mitchell, Keith",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+3860,2021-06-09 22:47,1435,+3970,2021-06-08 07:47,T25,"Poulter, Ian",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+4189,2021-06-09 22:47,7399,+3775,2021-06-08 07:47,CUT,"Glover, Lucas",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+4404,2021-06-09 22:47,13470,+3970,2021-06-08 07:47,CUT,"Kizzire, Patton",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+4752,2021-06-09 22:47,7960,+7410,2021-06-08 07:47,CUT,"List, Luke",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+4794,2021-06-09 22:47,11328,+4730,2021-06-08 07:47,CUT,"Kisner, Kevin",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
1,paid in full,+4997,2021-06-09 22:47,24342,+4811,2021-06-08 07:47,1,"Higgo, Garrick",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+5336,2021-06-09 22:47,8820,+4811,2021-06-08 07:47,T60,"Snedeker, Brandt",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+6237,2021-06-09 22:47,25908,+8009,2021-06-08 07:47,CUT,"Whaley, Vincent",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+6247,2021-06-09 22:47,13508,+6113,2021-06-08 07:47,T2,"Vegas, Jhonattan",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+6531,2021-06-09 22:47,17550,+8338,2021-06-08 07:47,T10,"Van Rooyen, Erik",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+6602,2021-06-09 22:47,24481,+7623,2021-06-08 07:47,T2,"Redman, Doc",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+7009,2021-06-09 22:47,19364,+6330,2021-06-08 07:47,CUT,"Werenski, Richy",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+7180,2021-06-09 22:47,9586,+6483,2021-06-08 07:47,CUT,"Laird, Martin",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+7209,2021-06-09 22:47,14081,+9264,2021-06-08 07:47,WD,"Hoag, Bo",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+7400,2021-06-09 22:47,15475,+6685,2021-06-08 07:47,T31,"Pan, C.T.",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+7479,2021-06-09 22:47,12359,+6755,2021-06-08 07:47,CUT,"Stallings, Scott",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+7689,2021-06-09 22:47,21554,+9264,2021-06-08 07:47,CUT,"Poston, J.T.",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+7975,2021-06-09 22:47,13831,+7203,2021-06-08 07:47,T35,"Knox, Russell",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+8205,2021-06-09 22:47,6762,+7410,2021-06-08 07:47,T10,"Perez, Pat",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+8768,2021-06-09 22:47,14007,+7923,2021-06-08 07:47,CUT,"Martin, Ben",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+8768,2021-06-09 22:47,7457,+7923,2021-06-08 07:47,CUT,"Cabrera Bello, Rafa",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+8861,2021-06-09 22:47,11082,+11584,2021-06-08 07:47,CUT,"Burgoon, Bronson",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+8968,2021-06-09 22:47,9171,+11725,2021-06-08 07:47,CUT,"Villegas, Camilo",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+8998,2021-06-09 22:47,14050,+11584,2021-06-08 07:47,T52,"Sloan, Roger",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+9690,2021-06-09 22:47,17511,+8755,2021-06-08 07:47,CUT,"Straka, Sepp",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+10067,2021-06-09 22:47,14606,+12976,2021-06-08 07:47,CUT,"Huh, John",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+10253,2021-06-09 22:47,15164,+9264,2021-06-08 07:47,CUT,"Lewis, Tom",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+10253,2021-06-09 22:47,6283,+9264,2021-06-08 07:47,CUT,"Sabbatini, Rory",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
0,loss,+10269,2021-06-09 22:47,13126,+9280,2021-06-08 07:47,T44,"Taylor, Nick",pinnacle,2021-06-13,Palmetto Championship at Congaree,win,2021,2021,538
