tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,Palmetto Championship at Congaree,538,"Higgo, Garrick",24342,1,1,Congaree Golf Club,902,68,-0.992,-0.054,3.005,1.899,4.851,3.859,323.6,0.714,0.944,0.667,35.423,27.448
pga,2021,2021,Palmetto Championship at Congaree,538,"Higgo, Garrick",24342,1,2,Congaree Golf Club,902,69,0.417,0.379,1.606,1.625,3.61,4.027,320.9,0.714,0.833,0.556,28.933,39.629
pga,2021,2021,Palmetto Championship at Congaree,538,"Higgo, Garrick",24342,1,3,Congaree Golf Club,902,68,1.492,1.091,-0.054,-0.058,0.979,2.471,317.5,0.5,0.667,0.75,54.85,31.916
pga,2021,2021,Palmetto Championship at Congaree,538,"Higgo, Garrick",24342,1,4,Congaree Golf Club,902,68,2.849,-0.823,0.004,-0.074,-0.893,1.956,309.7,0.643,0.667,0.625,28.711,34.377
pga,2021,2021,Palmetto Championship at Congaree,538,"Hadley, Chesson",14967,T2,1,Congaree Golf Club,902,65,1.451,1.978,1.698,1.732,5.408,6.859,306.1,0.929,0.833,1.0,49.353,23.117
pga,2021,2021,Palmetto Championship at Congaree,538,"Hadley, Chesson",14967,T2,2,Congaree Golf Club,902,66,4.436,0.461,1.487,0.643,2.591,7.027,309.5,0.643,0.778,0.625,56.567,29.679
pga,2021,2021,Palmetto Championship at Congaree,538,"Hadley, Chesson",14967,T2,3,Congaree Golf Club,902,68,2.895,-0.455,0.236,-0.205,-0.424,2.471,316.2,0.786,0.778,0.714,75.869,31.078
pga,2021,2021,Palmetto Championship at Congaree,538,"Hadley, Chesson",14967,T2,4,Congaree Golf Club,902,75,0.492,-1.069,-4.631,0.164,-5.536,-5.044,310.3,0.714,0.333,0.625,44.202,47.969
pga,2021,2021,Palmetto Championship at Congaree,538,"Van Pelt, Bo",6457,T2,1,Congaree Golf Club,902,69,1.329,1.854,0.374,-0.698,1.53,2.859,294.4,0.5,0.611,0.75,60.639,28.393
pga,2021,2021,Palmetto Championship at Congaree,538,"Van Pelt, Bo",6457,T2,2,Congaree Golf Club,902,71,1.196,0.186,0.503,0.142,0.831,2.027,299.3,0.643,0.667,0.545,33.377,42.279
pga,2021,2021,Palmetto Championship at Congaree,538,"Van Pelt, Bo",6457,T2,3,Congaree Golf Club,902,66,1.592,2.265,1.185,-0.571,2.879,4.471,308.2,0.5,0.667,0.875,33.931,29.238
pga,2021,2021,Palmetto Championship at Congaree,538,"Van Pelt, Bo",6457,T2,4,Congaree Golf Club,902,68,1.927,-0.314,-0.109,0.452,0.029,1.956,305.1,0.786,0.722,0.5,95.009,38.377
pga,2021,2021,Palmetto Championship at Congaree,538,"Swafford, Hudson",14706,T2,1,Congaree Golf Club,902,68,-0.18,-0.534,3.202,1.37,4.039,3.859,307.9,0.857,0.833,0.667,67.328,26.523
pga,2021,2021,Palmetto Championship at Congaree,538,"Swafford, Hudson",14706,T2,2,Congaree Golf Club,902,70,-1.093,1.809,0.428,1.883,4.12,3.027,303.4,0.857,0.778,0.857,,38.81
pga,2021,2021,Palmetto Championship at Congaree,538,"Swafford, Hudson",14706,T2,3,Congaree Golf Club,902,70,-0.178,-0.264,0.012,0.901,0.649,0.471,309.5,0.857,0.778,0.625,53.669,35.256
pga,2021,2021,Palmetto Championship at Congaree,538,"Swafford, Hudson",14706,T2,4,Congaree Golf Club,902,66,-0.034,2.632,-0.203,1.56,3.99,3.956,308.8,0.857,0.667,0.778,27.461,38.118
pga,2021,2021,Palmetto Championship at Congaree,538,"Vegas, Jhonattan",13508,T2,1,Congaree Golf Club,902,66,1.181,0.145,2.136,2.397,4.678,5.859,326.3,0.643,0.833,0.667,43.594,22.713
pga,2021,2021,Palmetto Championship at Congaree,538,"Vegas, Jhonattan",13508,T2,2,Congaree Golf Club,902,72,-1.879,0.577,1.114,1.215,2.906,1.027,320.4,0.643,0.667,0.667,43.079,42.019
pga,2021,2021,Palmetto Championship at Congaree,538,"Vegas, Jhonattan",13508,T2,3,Congaree Golf Club,902,69,0.137,-0.556,0.155,1.735,1.334,1.471,322.2,0.857,0.556,0.667,82.788,37.674
pga,2021,2021,Palmetto Championship at Congaree,538,"Vegas, Jhonattan",13508,T2,4,Congaree Golf Club,902,67,1.288,-0.788,0.115,2.341,1.668,2.956,325.5,0.714,0.833,0.75,42.178,38.758
