tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,U.S. Open #2,535,"Rahm, Jon",19195,1,1,Torrey Pines (South),744,69,1.51,0.94,0.35,1.92,3.21,4.718,311.5,0.714,0.611,0.778,40.025,34.77
pga,2021,2021,U.S. Open #2,535,"Rahm, Jon",19195,1,2,Torrey Pines (South),744,70,1.33,1.3,1.26,-0.08,2.48,3.787,315.7,0.357,0.667,0.75,34.145,37.182
pga,2021,2021,U.S. Open #2,535,"Rahm, Jon",19195,1,3,Torrey Pines (South),744,72,-1.7,0.3,0.77,1.04,2.11,0.408,316.8,0.429,0.778,0.5,26.096,31.819
pga,2021,2021,U.S. Open #2,535,"Rahm, Jon",19195,1,4,Torrey Pines (South),744,67,2.48,-0.27,2.61,1.35,3.69,6.169,323.1,0.571,0.778,0.8,41.028,22.699
pga,2021,2021,U.S. Open #2,535,"Oosthuizen, Louis",7672,2,1,Torrey Pines (South),744,67,3.16,1.52,1.27,0.77,3.56,6.718,301.6,0.643,0.722,0.833,43.317,34.716
pga,2021,2021,U.S. Open #2,535,"Oosthuizen, Louis",7672,2,2,Torrey Pines (South),744,71,1.33,0.87,0.06,0.55,1.48,2.787,304.8,0.5,0.5,0.818,36.648,38.541
pga,2021,2021,U.S. Open #2,535,"Oosthuizen, Louis",7672,2,3,Torrey Pines (South),744,70,1.95,-0.26,0.21,0.51,0.46,2.408,303.2,0.571,0.556,0.5,36.484,31.327
pga,2021,2021,U.S. Open #2,535,"Oosthuizen, Louis",7672,2,4,Torrey Pines (South),744,71,1.0,0.33,1.35,-0.51,1.17,2.169,304.9,0.571,0.778,0.333,27.671,27.935
pga,2021,2021,U.S. Open #2,535,"English, Harris",14577,3,1,Torrey Pines (South),744,72,-0.69,2.65,0.82,-1.06,2.41,1.718,292.4,0.357,0.556,0.7,55.185,19.237
pga,2021,2021,U.S. Open #2,535,"English, Harris",14577,3,2,Torrey Pines (South),744,70,0.87,0.95,2.08,-0.09,2.94,3.787,299.9,0.357,0.722,0.667,33.736,34.897
pga,2021,2021,U.S. Open #2,535,"English, Harris",14577,3,3,Torrey Pines (South),744,71,0.17,0.17,0.64,0.43,1.24,1.408,295.7,0.643,0.611,0.778,38.119,31.683
pga,2021,2021,U.S. Open #2,535,"English, Harris",14577,3,4,Torrey Pines (South),744,68,3.7,0.06,0.42,0.99,1.47,5.169,303.4,0.643,0.667,0.5,52.004,41.009
pga,2021,2021,U.S. Open #2,535,"Koepka, Brooks",16243,T4,1,Torrey Pines (South),744,69,3.02,-0.59,1.37,0.92,1.7,4.718,312.3,0.571,0.778,0.625,52.886,22.393
pga,2021,2021,U.S. Open #2,535,"Koepka, Brooks",16243,T4,2,Torrey Pines (South),744,73,0.4,-0.52,0.96,-0.03,0.41,0.787,308.0,0.357,0.5,0.5,32.651,27.313
pga,2021,2021,U.S. Open #2,535,"Koepka, Brooks",16243,T4,3,Torrey Pines (South),744,71,-0.6,0.58,0.32,1.1,2.01,1.408,315.3,0.571,0.667,0.667,49.598,31.689
pga,2021,2021,U.S. Open #2,535,"Koepka, Brooks",16243,T4,4,Torrey Pines (South),744,69,0.06,0.67,1.97,1.47,4.11,4.169,313.2,0.571,0.778,0.625,33.786,35.643
pga,2021,2021,U.S. Open #2,535,"Migliozzi, Guido",17357,T4,1,Torrey Pines (South),744,71,-0.58,0.95,2.5,-0.15,3.3,2.718,299.2,0.357,0.722,1.0,27.311,32.973
pga,2021,2021,U.S. Open #2,535,"Migliozzi, Guido",17357,T4,2,Torrey Pines (South),744,70,-1.8,1.92,3.15,0.54,5.61,3.787,304.6,0.357,0.722,0.625,39.699,34.665
pga,2021,2021,U.S. Open #2,535,"Migliozzi, Guido",17357,T4,3,Torrey Pines (South),744,73,-0.01,-0.47,-0.87,0.77,-0.58,-0.592,303.9,0.643,0.611,0.333,28.226,41.942
pga,2021,2021,U.S. Open #2,535,"Migliozzi, Guido",17357,T4,4,Torrey Pines (South),744,68,2.2,2.54,-0.09,0.51,2.97,5.169,301.8,0.5,0.556,0.714,47.874,30.097
pga,2021,2021,U.S. Open #2,535,"Morikawa, Collin",22085,T4,1,Torrey Pines (South),744,75,-2.52,0.27,0.05,0.91,1.24,-1.282,299.2,0.714,0.667,0.333,36.238,33.81
pga,2021,2021,U.S. Open #2,535,"Morikawa, Collin",22085,T4,2,Torrey Pines (South),744,67,2.47,0.74,1.98,1.62,4.34,6.787,300.7,0.786,0.778,0.667,65.143,25.582
pga,2021,2021,U.S. Open #2,535,"Morikawa, Collin",22085,T4,3,Torrey Pines (South),744,70,0.81,-0.25,1.05,0.81,1.6,2.408,305.9,0.571,0.833,0.778,44.986,36.735
