date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Jun 20, 2021","U.S. Open","Rahm, Jon",0.8494,0.034875,0.7016,0.589975,0.409825,0.26705,0.185725,0.082075,1
"Jun 20, 2021","U.S. Open","Schauffele, Xander",0.804975,0.03125,0.622325,0.497225,0.319425,0.1939,0.12985,0.04995,T7
"Jun 20, 2021","U.S. Open","DeChambeau, Bryson",0.788175,0.025475,0.585725,0.4619,0.29205,0.173975,0.115025,0.044625,T26
"Jun 20, 2021","U.S. Open","Johnson, Dustin",0.784275,0.02445,0.58055,0.459725,0.28715,0.17245,0.11485,0.0445,T19
"Jun 20, 2021","U.S. Open","Finau, Tony",0.784875,0.027175,0.579075,0.45425,0.2803,0.161725,0.104675,0.039925,CUT
"Jun 20, 2021","U.S. Open","Cantlay, Patrick",0.77545,0.0225,0.567675,0.446175,0.275625,0.162075,0.104375,0.0391,T15
"Jun 20, 2021","U.S. Open","McIlroy, Rory",0.763975,0.021025,0.541125,0.4189,0.252825,0.14445,0.093325,0.033425,T7
"Jun 20, 2021","U.S. Open","Spieth, Jordan",0.7619,0.019975,0.539625,0.414075,0.24565,0.13725,0.088875,0.032875,T19
"Jun 20, 2021","U.S. Open","Thomas, Justin",0.76615,0.023475,0.5464,0.42145,0.25315,0.1417,0.0899,0.031775,T19
"Jun 20, 2021","U.S. Open","Morikawa, Collin",0.748325,0.0236,0.522925,0.399525,0.233025,0.1318,0.083325,0.030225,T4
"Jun 20, 2021","U.S. Open","Hovland, Viktor",0.749225,0.024275,0.52915,0.401625,0.23675,0.13325,0.08505,0.029625,WD
"Jun 20, 2021","U.S. Open","Reed, Patrick",0.7521,0.0172,0.528225,0.404125,0.23505,0.12865,0.080725,0.02895,T19
"Jun 20, 2021","U.S. Open","Koepka, Brooks",0.7373,0.021375,0.5104,0.38685,0.223575,0.12385,0.07875,0.02875,T4
"Jun 20, 2021","U.S. Open","Scheffler, Scottie",0.746,0.0173,0.5104,0.384275,0.2195,0.11935,0.074175,0.02625,T7
"Jun 20, 2021","U.S. Open","Matsuyama, Hideki",0.71115,0.0155,0.458475,0.33615,0.186275,0.09695,0.05855,0.01985,T26
"Jun 20, 2021","U.S. Open","Simpson, Webb",0.71815,0.016925,0.46775,0.33915,0.185475,0.097525,0.05885,0.0188,CUT
"Jun 20, 2021","U.S. Open","Oosthuizen, Louis",0.70885,0.015375,0.45365,0.327775,0.17965,0.09415,0.056975,0.0184,2
"Jun 20, 2021","U.S. Open","Zalatoris, Will",0.708525,0.013875,0.451625,0.32565,0.1768,0.0905,0.05455,0.018000000000000002,CUT
"Jun 20, 2021","U.S. Open","Smith, Cameron",0.69965,0.012,0.443975,0.321225,0.172775,0.09015,0.053575,0.017,CUT
"Jun 20, 2021","U.S. Open","Hatton, Tyrrell",0.69235,0.01645,0.4344,0.310525,0.1672,0.08455,0.0521,0.0168,CUT
"Jun 20, 2021","U.S. Open","Berger, Daniel",0.7,0.015575,0.442325,0.31845,0.169925,0.08675,0.0517,0.016475,T7
"Jun 20, 2021","U.S. Open","Fitzpatrick, Matthew",0.69385,0.0154,0.433925,0.30905,0.1638,0.08345,0.049025,0.016175,T55
"Jun 20, 2021","U.S. Open","Hoffman, Charley",0.681475,0.013675,0.411925,0.2936,0.152325,0.078775,0.047925,0.0158,T57
"Jun 20, 2021","U.S. Open","Casey, Paul",0.6915,0.011975,0.425225,0.304925,0.161175,0.08015,0.0466,0.01475,T7
"Jun 20, 2021","U.S. Open","Niemann, Joaquin",0.682725,0.01115,0.410825,0.290625,0.149225,0.07400000000000001,0.0447,0.014425,T31
"Jun 20, 2021","U.S. Open","Kokrak, Jason",0.663225,0.0156,0.394275,0.275025,0.14085,0.06995,0.0406,0.01355,CUT
