tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,Travelers Championship,34,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"English, Harris",14577,8200,0.2211,1,3,3,0,5,76.0,30,117.0
pga,2021,2021,Travelers Championship,34,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Ancer, Abraham",18238,9100,0.2502,4,3,0,5,0,81.0,16,105.0
pga,2021,2021,Travelers Championship,34,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Hickok, Kramer",21237,6500,0.0007,2,0,0,0,5,78.0,20,103.0
pga,2021,2021,Travelers Championship,34,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Leishman, Marc",7649,8100,0.0313,3,0,3,0,5,76.5,18,102.5
pga,2021,2021,Travelers Championship,34,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Lebioda, Hank",21943,6700,0.0159,T5,3,0,0,5,78.5,14,100.5
pga,2021,2021,Travelers Championship,34,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Koepka, Brooks",16243,10700,0.0837,T5,0,0,0,5,80.5,14,99.5
pga,2021,2021,Travelers Championship,34,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Garnett, Brice",11451,6400,0.006,T5,6,0,0,5,74.5,14,99.5
pga,2021,2021,Travelers Championship,34,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Kisner, Kevin",11328,7100,0.0131,T5,6,6,0,0,72.5,14,98.5
pga,2021,2021,Travelers Championship,34,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Harman, Brian",8825,8800,0.2066,T5,3,0,0,5,72.0,14,94.0
pga,2021,2021,Travelers Championship,34,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Hossler, Beau",15470,6800,0.0061,T10,3,3,0,0,74.5,7,87.5
pga,2021,2021,Travelers Championship,34,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Migliozzi, Guido",17357,7200,0.1444,T13,6,3,0,0,70.0,6,85.0
pga,2021,2021,Travelers Championship,34,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Hubbard, Mark",16333,6600,0.0022,T13,0,0,0,5,72.5,6,83.5
pga,2021,2021,Travelers Championship,34,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Day, Jason",9771,7500,0.0574,T10,3,3,0,0,69.5,7,82.5
pga,2021,2021,Travelers Championship,34,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Herman, Jim",12846,6100,0.0015,T25,0,0,5,0,72.5,4,81.5
