bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+736,2021-06-30 21:28,19841,+850,2021-06-29 12:41,CUT,"DeChambeau, Bryson",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+1374,2021-06-30 21:28,14838,+1223,2021-06-29 12:41,T32,"Reed, Patrick",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+1822,2021-06-30 21:28,13562,+1629,2021-06-29 12:41,WD,"Matsuyama, Hideki",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+1822,2021-06-30 21:28,11049,+1629,2021-06-29 12:41,CUT,"Simpson, Webb",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+2270,2021-06-30 21:28,18079,+2255,2021-06-29 12:41,T2,"Niemann, Joaquin",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+2451,2021-06-30 21:28,12337,+2242,2021-06-29 12:41,T12,"Kokrak, Jason",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+2655,2021-06-30 21:28,16602,+8146,2021-06-29 12:41,CUT,"Varner III, Harold",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+2805,2021-06-30 21:28,19428,+2653,2021-06-29 12:41,77,"Zalatoris, Will",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+3045,2021-06-30 21:28,14609,+5092,2021-06-29 12:41,T58,"Kim, Si Woo",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+3427,2021-06-30 21:28,11328,+4369,2021-06-29 12:41,T8,"Kisner, Kevin",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+3492,2021-06-30 21:28,9771,+3124,2021-06-29 12:41,T14,"Day, Jason",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+3598,2021-06-30 21:28,24342,+6605,2021-06-29 12:41,T41,"Higgo, Garrick",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+3602,2021-06-30 21:28,17488,+3363,2021-06-29 12:41,T8,"Im, Sungjae",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+4232,2021-06-30 21:28,13872,+4075,2021-06-29 12:41,T14,"Bradley, Keegan",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+4336,2021-06-30 21:28,14013,+3888,2021-06-29 12:41,T14,"Tringale, Cameron",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+4430,2021-06-30 21:28,25919,+3974,2021-06-29 12:41,T58,"Wolff, Matthew",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+4547,2021-06-30 21:28,24550,+8146,2021-06-29 12:41,T32,"Ghim, Doug",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+4713,2021-06-30 21:28,24481,+4472,2021-06-29 12:41,CUT,"Redman, Doc",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+4720,2021-06-30 21:28,12423,+8146,2021-06-29 12:41,T12,"Kirk, Chris",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+4798,2021-06-30 21:28,12577,+4304,2021-06-29 12:41,CUT,"Woodland, Gary",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+4808,2021-06-30 21:28,12808,+4313,2021-06-29 12:41,CUT,"Grillo, Emiliano",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+5210,2021-06-30 21:28,7334,+4893,2021-06-29 12:41,T6,"Watson, Bubba",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+5240,2021-06-30 21:28,12965,+4700,2021-06-29 12:41,T32,"Fowler, Rickie",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+5240,2021-06-30 21:28,17538,+5092,2021-06-29 12:41,T25,"Homa, Max",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+5681,2021-06-30 21:28,6892,+10182,2021-06-29 12:41,CUT,"Howell III, Charles",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+6236,2021-06-30 21:28,12425,+5601,2021-06-29 12:41,CUT,"Todd, Brendon",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+6251,2021-06-30 21:28,18634,+6111,2021-06-29 12:41,T21,"McNealy, Maverick",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+6312,2021-06-30 21:28,20770,+11316,2021-06-29 12:41,T67,"Munoz, Sebastian",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+7087,2021-06-30 21:28,14509,+12728,2021-06-29 12:41,T21,"Dahmen, Joel",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+7476,2021-06-30 21:28,10419,+6721,2021-06-29 12:41,T4,"Noren, Alex",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+7589,2021-06-30 21:28,13367,+6821,2021-06-29 12:41,T2,"Merritt, Troy",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+7700,2021-06-30 21:28,15330,+6920,2021-06-29 12:41,T25,"Griffin, Lanto",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+7935,2021-06-30 21:28,1547,+7129,2021-06-29 12:41,T74,"Mickelson, Phil",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+7959,2021-06-30 21:28,17511,+7151,2021-06-29 12:41,CUT,"Straka, Sepp",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
1,paid in full,+8886,2021-06-30 21:28,17786,+10182,2021-06-29 12:41,1,"Davis, Cameron",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+9058,2021-06-30 21:28,8820,+8146,2021-06-29 12:41,T38,"Snedeker, Brandt",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+9058,2021-06-30 21:28,12069,+8146,2021-06-29 12:41,T41,"Stanley, Kyle",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
0,loss,+9058,2021-06-30 21:28,7399,+8146,2021-06-29 12:41,T41,"Glover, Lucas",pinnacle,2021-07-04,Rocket Mortgage Classic,win,2021,2021,524
