tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,Rocket Mortgage Classic,524,"Davis, Cam",17786,1,1,Detroit Golf Club,876,68,-0.794,1.062,2.1,0.016,3.179,2.385,287.7,0.714,0.889,0.8,50.997,32.308
pga,2021,2021,Rocket Mortgage Classic,524,"Davis, Cam",17786,1,2,Detroit Golf Club,876,68,0.029,0.714,2.309,0.315,3.339,3.368,291.0,0.929,0.833,0.8,,24.719
pga,2021,2021,Rocket Mortgage Classic,524,"Davis, Cam",17786,1,3,Detroit Golf Club,876,67,2.425,-0.414,0.957,0.176,0.718,3.143,291.9,0.714,0.722,0.778,68.648,30.444
pga,2021,2021,Rocket Mortgage Classic,524,"Davis, Cam",17786,1,4,Detroit Golf Club,876,67,1.437,1.852,-0.983,0.342,1.212,2.649,295.3,0.714,0.667,0.857,43.42,31.762
pga,2021,2021,Rocket Mortgage Classic,524,"Niemann, Joaquin",18079,T2,1,Detroit Golf Club,876,65,4.444,-0.877,0.955,0.862,0.941,5.385,294.4,0.714,0.889,0.75,22.787,28.279
pga,2021,2021,Rocket Mortgage Classic,524,"Niemann, Joaquin",18079,T2,2,Detroit Golf Club,876,69,1.294,0.107,0.087,0.879,1.074,2.368,290.7,0.786,0.667,1.0,57.235,30.833
pga,2021,2021,Rocket Mortgage Classic,524,"Niemann, Joaquin",18079,T2,3,Detroit Golf Club,876,68,-0.288,1.329,-0.025,1.128,2.431,2.143,299.7,0.857,0.778,1.0,29.629,25.751
pga,2021,2021,Rocket Mortgage Classic,524,"Niemann, Joaquin",18079,T2,4,Detroit Golf Club,876,68,-0.557,0.438,1.46,0.307,2.206,1.649,306.9,0.571,0.778,0.8,42.576,21.583
pga,2021,2021,Rocket Mortgage Classic,524,"Merritt, Troy",13367,T2,1,Detroit Golf Club,876,67,3.86,-0.708,-0.332,0.564,-0.475,3.385,280.4,0.929,0.833,0.6,26.314,32.846
pga,2021,2021,Rocket Mortgage Classic,524,"Merritt, Troy",13367,T2,2,Detroit Golf Club,876,68,2.3,1.969,-1.507,0.605,1.068,3.368,276.3,1.0,0.722,0.875,,36.169
pga,2021,2021,Rocket Mortgage Classic,524,"Merritt, Troy",13367,T2,3,Detroit Golf Club,876,67,0.5,-0.201,2.569,0.276,2.643,3.143,288.0,0.786,0.833,0.667,51.598,22.523
pga,2021,2021,Rocket Mortgage Classic,524,"Merritt, Troy",13367,T2,4,Detroit Golf Club,876,68,0.583,-0.015,1.067,0.013,1.066,1.649,290.4,0.929,0.944,0.6,,29.542
pga,2021,2021,Rocket Mortgage Classic,524,"Lebioda, Hank",21943,T4,1,Detroit Golf Club,876,67,2.253,-0.125,1.96,-0.704,1.132,3.385,286.6,0.571,0.833,0.667,39.551,22.008
pga,2021,2021,Rocket Mortgage Classic,524,"Lebioda, Hank",21943,T4,2,Detroit Golf Club,876,70,1.043,0.648,-1.095,0.771,0.325,1.368,287.1,0.857,0.722,1.0,43.469,34.244
pga,2021,2021,Rocket Mortgage Classic,524,"Lebioda, Hank",21943,T4,3,Detroit Golf Club,876,66,2.122,0.484,1.502,0.036,2.021,4.143,292.7,0.714,0.722,0.875,50.894,29.234
pga,2021,2021,Rocket Mortgage Classic,524,"Lebioda, Hank",21943,T4,4,Detroit Golf Club,876,68,0.658,0.957,0.364,-0.331,0.991,1.649,295.1,0.5,0.667,1.0,25.339,24.673
pga,2021,2021,Rocket Mortgage Classic,524,"Noren, Alex",10419,T4,1,Detroit Golf Club,876,70,1.015,-0.824,0.059,0.134,-0.63,0.385,288.0,0.643,0.778,0.571,12.947,26.152
pga,2021,2021,Rocket Mortgage Classic,524,"Noren, Alex",10419,T4,2,Detroit Golf Club,876,70,-0.809,2.512,-0.996,0.66,2.177,1.368,292.0,0.786,0.667,0.75,35.512,37.001
pga,2021,2021,Rocket Mortgage Classic,524,"Noren, Alex",10419,T4,3,Detroit Golf Club,876,67,0.508,1.942,0.239,0.455,2.635,3.143,297.2,0.714,0.722,1.0,49.794,28.571
pga,2021,2021,Rocket Mortgage Classic,524,"Noren, Alex",10419,T4,4,Detroit Golf Club,876,64,3.049,-1.059,2.212,1.446,2.6,5.649,304.1,1.0,0.889,0.5,,28.318
pga,2021,2021,Rocket Mortgage Classic,524,"Watson, Bubba",7334,T6,1,Detroit Golf Club,876,68,0.645,-0.749,2.067,0.421,1.74,2.385,300.2,0.571,0.778,0.625,29.022,29.457
pga,2021,2021,Rocket Mortgage Classic,524,"Watson, Bubba",7334,T6,2,Detroit Golf Club,876,73,-2.916,0.313,0.24,0.73,1.284,-1.632,299.9,0.571,0.833,0.5,29.04,27.118
pga,2021,2021,Rocket Mortgage Classic,524,"Watson, Bubba",7334,T6,3,Detroit Golf Club,876,67,-0.192,0.954,1.558,0.824,3.335,3.143,296.5,0.857,0.667,0.9,23.981,23.254
pga,2021,2021,Rocket Mortgage Classic,524,"Watson, Bubba",7334,T6,4,Detroit Golf Club,876,64,2.619,0.139,1.445,1.445,3.03,5.649,297.7,1.0,0.944,0.5,,27.796
pga,2021,2021,Rocket Mortgage Classic,524,"Hagy, Brandon",18695,T6,1,Detroit Golf Club,876,65,2.534,1.357,0.742,0.751,2.851,5.385,306.7,0.571,0.833,1.0,40.717,23.229
pga,2021,2021,Rocket Mortgage Classic,524,"Hagy, Brandon",18695,T6,2,Detroit Golf Club,876,71,1.442,-0.417,-1.483,0.825,-1.074,0.368,307.6,0.571,0.778,0.5,33.646,40.806
pga,2021,2021,Rocket Mortgage Classic,524,"Hagy, Brandon",18695,T6,3,Detroit Golf Club,876,68,-1.43,-0.205,2.975,0.804,3.573,2.143,317.0,0.571,0.889,0.625,20.163,30.296
pga,2021,2021,Rocket Mortgage Classic,524,"Hagy, Brandon",18695,T6,4,Detroit Golf Club,876,68,0.622,1.47,-1.275,0.831,1.027,1.649,323.6,0.571,0.611,0.8,42.677,37.76
pga,2021,2021,Rocket Mortgage Classic,524,"Kisner, Kevin",11328,T8,1,Detroit Golf Club,876,67,0.581,1.082,1.545,0.176,2.804,3.385,277.2,0.786,0.833,1.0,24.495,21.925
pga,2021,2021,Rocket Mortgage Classic,524,"Kisner, Kevin",11328,T8,2,Detroit Golf Club,876,69,-0.678,0.043,3.042,-0.04,3.046,2.368,279.5,0.714,0.833,0.5,30.226,22.257
pga,2021,2021,Rocket Mortgage Classic,524,"Kisner, Kevin",11328,T8,3,Detroit Golf Club,876,69,1.33,-0.595,0.136,0.273,-0.187,1.143,284.5,0.857,0.778,0.667,34.647,27.501
pga,2021,2021,Rocket Mortgage Classic,524,"Kisner, Kevin",11328,T8,4,Detroit Golf Club,876,68,1.626,0.851,-0.596,-0.233,0.023,1.649,292.3,0.857,0.722,0.8,53.351,23.223
pga,2021,2021,Rocket Mortgage Classic,524,"Im, Sungjae",17488,T8,1,Detroit Golf Club,876,69,1.127,0.03,0.218,0.009,0.258,1.385,285.2,0.714,0.889,0.5,26.364,27.563
pga,2021,2021,Rocket Mortgage Classic,524,"Im, Sungjae",17488,T8,2,Detroit Golf Club,876,68,0.249,0.702,1.81,0.606,3.119,3.368,292.1,0.786,0.889,0.6,27.625,30.059
pga,2021,2021,Rocket Mortgage Classic,524,"Im, Sungjae",17488,T8,3,Detroit Golf Club,876,69,-0.132,1.357,-0.825,0.744,1.275,1.143,290.9,0.857,0.722,0.625,85.979,35.194
pga,2021,2021,Rocket Mortgage Classic,524,"Im, Sungjae",17488,T8,4,Detroit Golf Club,876,67,-0.933,1.483,1.221,0.877,3.582,2.649,299.1,0.857,0.833,0.714,42.183,29.989
pga,2021,2021,Rocket Mortgage Classic,524,"Power, Seamus",10104,T8,1,Detroit Golf Club,876,66,1.781,1.032,1.613,-0.042,2.604,4.385,285.5,0.643,0.833,1.0,38.738,27.244
pga,2021,2021,Rocket Mortgage Classic,524,"Power, Seamus",10104,T8,2,Detroit Golf Club,876,71,0.76,-0.778,1.678,-1.293,-0.392,0.368,278.5,0.5,0.778,0.857,38.901,29.725
pga,2021,2021,Rocket Mortgage Classic,524,"Power, Seamus",10104,T8,3,Detroit Golf Club,876,69,0.51,-1.244,1.643,0.235,0.633,1.143,296.1,0.786,0.833,0.714,43.002,26.132
pga,2021,2021,Rocket Mortgage Classic,524,"Power, Seamus",10104,T8,4,Detroit Golf Club,876,67,2.629,1.147,-0.779,-0.349,0.02,2.649,284.5,0.786,0.778,1.0,35.212,32.934
pga,2021,2021,Rocket Mortgage Classic,524,"Anderson, Mark",12131,T8,1,Detroit Golf Club,876,70,1.184,-1.621,1.683,-0.862,-0.799,0.385,283.0,0.643,0.722,0.429,21.087,35.523
pga,2021,2021,Rocket Mortgage Classic,524,"Anderson, Mark",12131,T8,2,Detroit Golf Club,876,70,-1.239,2.884,0.434,-0.712,2.607,1.368,277.1,0.786,0.833,0.5,28.303,23.714
pga,2021,2021,Rocket Mortgage Classic,524,"Anderson, Mark",12131,T8,3,Detroit Golf Club,876,67,2.529,-1.099,1.269,0.445,0.614,3.143,286.5,0.929,0.833,0.571,48.751,23.236
pga,2021,2021,Rocket Mortgage Classic,524,"Anderson, Mark",12131,T8,4,Detroit Golf Club,876,66,1.222,1.934,0.404,0.088,2.427,3.649,286.7,0.786,0.889,1.0,50.003,22.782
pga,2021,2021,Rocket Mortgage Classic,524,"Kokrak, Jason",12337,T12,1,Detroit Golf Club,876,69,-2.29,-0.349,2.175,1.848,3.675,1.385,305.2,0.929,0.778,0.5,29.936,20.86
pga,2021,2021,Rocket Mortgage Classic,524,"Kokrak, Jason",12337,T12,2,Detroit Golf Club,876,69,-1.208,0.594,1.299,1.682,3.576,2.368,305.0,0.857,0.833,0.833,11.221,28.673
pga,2021,2021,Rocket Mortgage Classic,524,"Kokrak, Jason",12337,T12,3,Detroit Golf Club,876,67,0.191,0.935,0.453,1.565,2.952,3.143,313.0,0.786,0.944,0.6,54.379,33.248
pga,2021,2021,Rocket Mortgage Classic,524,"Kokrak, Jason",12337,T12,4,Detroit Golf Club,876,69,1.52,0.934,-0.076,-1.73,-0.871,0.649,317.0,0.429,0.722,0.7,38.62,31.484
pga,2021,2021,Rocket Mortgage Classic,524,"Kirk, Chris",12423,T12,1,Detroit Golf Club,876,67,-0.962,1.486,2.897,-0.037,4.347,3.385,279.5,0.786,0.889,1.0,14.772,20.713
pga,2021,2021,Rocket Mortgage Classic,524,"Kirk, Chris",12423,T12,2,Detroit Golf Club,876,68,2.981,0.22,-0.397,0.563,0.387,3.368,285.9,0.786,0.833,1.0,51.856,28.023
pga,2021,2021,Rocket Mortgage Classic,524,"Kirk, Chris",12423,T12,3,Detroit Golf Club,876,70,-0.969,0.384,0.931,-0.202,1.112,0.143,289.6,0.643,0.722,0.556,39.508,26.802
