date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Jul 4, 2021","Rocket Mortgage Classic","DeChambeau, Bryson",0.8019,0.027075,0.605225,0.50065,0.342025,0.222925,0.1585,0.069975,CUT
"Jul 4, 2021","Rocket Mortgage Classic","Reed, Patrick",0.803225,0.0277,0.604625,0.495425,0.3344,0.212,0.147375,0.062075,T32
"Jul 4, 2021","Rocket Mortgage Classic","Simpson, Webb",0.78215,0.0215,0.56765,0.45605,0.292725,0.17885,0.120975,0.048725,CUT
"Jul 4, 2021","Rocket Mortgage Classic","Matsuyama, Hideki",0.7531,0.027575,0.528675,0.41965,0.268775,0.163425,0.110825,0.045,WD
"Jul 4, 2021","Rocket Mortgage Classic","Niemann, Joaquin",0.73395,0.01825,0.49165,0.378375,0.22755,0.129975,0.084,0.0318,T2
"Jul 4, 2021","Rocket Mortgage Classic","Zalatoris, Will",0.726125,0.017275,0.470775,0.363475,0.2194,0.126175,0.081725,0.030875,77
"Jul 4, 2021","Rocket Mortgage Classic","Kim, Si Woo",0.693475,0.02135,0.43095,0.32715,0.1932,0.110025,0.07015,0.025775,T58
"Jul 4, 2021","Rocket Mortgage Classic","Kokrak, Jason",0.7042,0.01495,0.43525,0.325125,0.1904,0.10925,0.07005,0.024625,T12
"Jul 4, 2021","Rocket Mortgage Classic","Bradley, Keegan",0.71075,0.0159,0.44425,0.33545,0.195725,0.107275,0.0676,0.024375,T14
"Jul 4, 2021","Rocket Mortgage Classic","Day, Jason",0.697625,0.016275,0.42875,0.319575,0.18435,0.102925,0.0646,0.02325,T14
"Jul 4, 2021","Rocket Mortgage Classic","Im, Sungjae",0.6886,0.017525,0.422275,0.314825,0.181275,0.09875,0.06375,0.0225,T8
"Jul 4, 2021","Rocket Mortgage Classic","Tringale, Cameron",0.697425,0.0134,0.42455,0.315725,0.1823,0.100425,0.0637,0.021975,T14
