tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Glover, Lucas",7399,8600,0.0876,1,6,3,0,0,91.0,30,130.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Na, Kevin",7452,9500,0.0498,T2,3,0,0,5,94.5,20,122.5
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Moore, Ryan",7489,8300,0.0452,T2,3,6,0,5,86.0,20,120.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Kizzire, Patton",13470,8900,0.1715,T11,3,3,0,5,92.5,6,109.5
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Brown, Scott",11330,6600,0.0075,T4,3,0,0,5,85.0,16,109.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Munoz, Sebastian",20770,8100,0.0776,T4,3,3,0,0,86.5,16,108.5
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"List, Luke",7960,7300,0.0362,T4,3,3,0,0,85.0,16,107.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Schenk, Adam",19477,6900,0.0424,T4,3,0,0,0,88.0,16,107.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Power, Seamus",10104,9000,0.1744,T8,3,3,0,5,84.0,9,104.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Lebioda, Hank",21943,8400,0.1937,T8,0,0,0,0,94.0,9,103.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Champ, Cameron",23542,6800,0.0128,T11,6,3,0,0,84.5,6,99.5
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Stuard, Brian",13022,7100,0.0107,T8,0,3,0,5,81.0,9,98.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"McNealy, Maverick",18634,8800,0.135,T18,3,6,5,0,79.0,5,98.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"O'Hair, Sean",7626,6600,0.0048,T11,3,0,0,5,83.5,6,97.5
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Rodgers, Patrick",16283,7400,0.0848,T23,3,0,0,0,88.5,4,95.5
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Henley, Russell",14578,9900,0.1957,T11,3,3,0,5,77.0,6,94.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Hagy, Brandon",18695,7200,0.033,T18,3,6,0,0,78.5,5,92.5
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Gordon, Will",26660,6700,0.0065,T28,0,0,0,5,83.5,3,91.5
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Long, Adam",15473,6500,0.0218,T23,9,0,0,0,78.0,4,91.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Reavie, Chez",7961,7500,0.0763,T18,3,6,0,0,76.0,5,90.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Percy, Cameron",5874,6700,0.0079,T11,0,6,0,0,77.0,6,89.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Dufner, Jason",7301,6700,0.0037,T18,3,6,0,0,74.5,5,88.5
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Varner III, Harold",16602,7800,0.0867,T11,0,3,0,0,79.5,6,88.5
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Tway, Kevin",13127,6300,0.0196,T23,3,0,0,0,80.5,4,87.5
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Laird, Martin",9586,7000,0.0229,T28,0,0,0,5,78.0,3,86.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Ghim, Doug",24550,8000,0.1081,T18,0,6,0,0,75.0,5,86.0
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Seiffert, Chase",17509,6300,0.0138,T28,6,0,0,0,76.5,3,85.5
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Vegas, Jhonattan",13508,8000,0.1644,T11,0,0,0,0,78.5,6,84.5
pga,2021,2021,John Deere Classic,30,draftkings,PGA TOUR $700K Flop Shot [$200K to 1st],"Taylor, Vaughn",6930,7000,0.0284,T34,0,3,0,0,78.5,2,83.5
