bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1138,2021-07-08 01:18,17606,+950,2021-07-06 09:42,T34,"Berger, Daniel",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+1337,2021-07-08 01:18,8825,+1454,2021-07-06 09:42,CUT,"Harman, Brian",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+1844,2021-07-08 01:18,14578,+1895,2021-07-06 09:42,T11,"Henley, Russell",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+2086,2021-07-08 01:18,17488,+1899,2021-07-06 09:42,T47,"Im, Sungjae",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+2443,2021-07-08 01:18,4818,+3136,2021-07-06 09:42,T41,"Stricker, Steve",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+2628,2021-07-08 01:18,8480,+2316,2021-07-06 09:42,CUT,"Streelman, Kevin",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+2987,2021-07-08 01:18,18634,+4202,2021-07-06 09:42,T18,"McNealy, Maverick",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+3004,2021-07-08 01:18,22051,+4202,2021-07-06 09:42,T69,"Wise, Aaron",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+3039,2021-07-08 01:18,13508,+4172,2021-07-06 09:42,T11,"Vegas, Jhonattan",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+3079,2021-07-08 01:18,10419,+2946,2021-07-06 09:42,CUT,"Noren, Alex",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+3375,2021-07-08 01:18,10104,+3923,2021-07-06 09:42,T8,"Power, Seamus",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+3443,2021-07-08 01:18,12069,+5254,2021-07-06 09:42,T41,"Stanley, Kyle",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+3545,2021-07-08 01:18,6986,+4977,2021-07-06 09:42,T34,"Johnson, Zach",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+3820,2021-07-08 01:18,24481,+3472,2021-07-06 09:42,CUT,"Redman, Doc",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+3998,2021-07-08 01:18,21943,+5958,2021-07-06 09:42,T8,"Lebioda, Hank",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+4133,2021-07-08 01:18,20770,+6302,2021-07-06 09:42,T4,"Munoz, Sebastian",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+4250,2021-07-08 01:18,16602,+5779,2021-07-06 09:42,T11,"Varner III, Harold",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+4276,2021-07-08 01:18,17786,+3582,2021-07-06 09:42,T55,"Davis, Cameron",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+4386,2021-07-08 01:18,13470,+4779,2021-07-06 09:42,T11,"Kizzire, Patton",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+4821,2021-07-08 01:18,16283,+7352,2021-07-06 09:42,T23,"Rodgers, Patrick",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+5095,2021-07-08 01:18,24550,+5254,2021-07-06 09:42,T18,"Ghim, Doug",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+5450,2021-07-08 01:18,7452,+5044,2021-07-06 09:42,T2,"Na, Kevin",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+5503,2021-07-08 01:18,11955,+8401,2021-07-06 09:42,CUT,"Frittelli, Dylan",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+6211,2021-07-08 01:18,6892,+5216,2021-07-06 09:42,T23,"Howell III, Charles",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+6257,2021-07-08 01:18,7489,+5254,2021-07-06 09:42,T2,"Moore, Ryan",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
1,paid in full,+6257,2021-07-08 01:18,7399,+5254,2021-07-06 09:42,1,"Glover, Lucas",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+6432,2021-07-08 01:18,21237,+6931,2021-07-06 09:42,WD,"Hickok, Kramer",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+6499,2021-07-08 01:18,13367,+5459,2021-07-06 09:42,CUT,"Merritt, Troy",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+6763,2021-07-08 01:18,12359,+6931,2021-07-06 09:42,T55,"Stallings, Scott",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+6836,2021-07-08 01:18,6762,+5744,2021-07-06 09:42,CUT,"Perez, Pat",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+7771,2021-07-08 01:18,15470,+8166,2021-07-06 09:42,CUT,"Hossler, Beau",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+7853,2021-07-08 01:18,17511,+6601,2021-07-06 09:42,CUT,"Straka, Sepp",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+8244,2021-07-08 01:18,7961,+6931,2021-07-06 09:42,T18,"Reavie, Chez",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+8244,2021-07-08 01:18,15164,+6931,2021-07-06 09:42,T55,"Lewis, Tom",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+8244,2021-07-08 01:18,19364,+6931,2021-07-06 09:42,CUT,"Werenski, Richy",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+8474,2021-07-08 01:18,9586,+11586,2021-07-06 09:42,T28,"Laird, Martin",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+8638,2021-07-08 01:18,21554,+7266,2021-07-06 09:42,CUT,"Poston, J.T.",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+9253,2021-07-08 01:18,13126,+11664,2021-07-06 09:42,T28,"Taylor, Nick",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+9290,2021-07-08 01:18,13531,+13119,2021-07-06 09:42,CUT,"Kodaira, Satoshi",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+9461,2021-07-08 01:18,11451,+10228,2021-07-06 09:42,CUT,"Garnett, Brice",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+9899,2021-07-08 01:18,15475,+8330,2021-07-06 09:42,CUT,"Pan, C.T.",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+9982,2021-07-08 01:18,7960,+8401,2021-07-06 09:42,T4,"List, Luke",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+11316,2021-07-08 01:18,17365,+9529,2021-07-06 09:42,CUT,"Mitchell, Keith",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+11930,2021-07-08 01:18,11657,+10049,2021-07-06 09:42,T28,"Norlander, Henrik",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+11963,2021-07-08 01:18,23542,+16962,2021-07-06 09:42,T11,"Champ, Cameron",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+12458,2021-07-08 01:18,18695,+10498,2021-07-06 09:42,T18,"Hagy, Brandon",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+12458,2021-07-08 01:18,7899,+10498,2021-07-06 09:42,T69,"Piercy, Scott",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+12458,2021-07-08 01:18,16333,+10498,2021-07-06 09:42,T41,"Hubbard, Mark",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+12458,2021-07-08 01:18,14081,+10498,2021-07-06 09:42,T47,"Hoag, Bo",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+12458,2021-07-08 01:18,14050,+10498,2021-07-06 09:42,71,"Sloan, Roger",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+12458,2021-07-08 01:18,12946,+10498,2021-07-06 09:42,T41,"Thompson, Michael",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+12904,2021-07-08 01:18,19455,+10874,2021-07-06 09:42,T34,"Pereira, Mito",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+13272,2021-07-08 01:18,9171,+11184,2021-07-06 09:42,T41,"Villegas, Camilo",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+13331,2021-07-08 01:18,7301,+18361,2021-07-06 09:42,T18,"Dufner, Jason",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+13406,2021-07-08 01:18,14698,+15742,2021-07-06 09:42,CUT,"Bramlett, Joseph",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+13581,2021-07-08 01:18,11330,+20981,2021-07-06 09:42,T4,"Brown, Scott",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+14521,2021-07-08 01:18,11082,+12242,2021-07-06 09:42,CUT,"Burgoon, Bronson",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+14732,2021-07-08 01:18,14704,+12417,2021-07-06 09:42,CUT,"Putnam, Andrew",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+15559,2021-07-08 01:18,12846,+13119,2021-07-06 09:42,T28,"Herman, Jim",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+15559,2021-07-08 01:18,7457,+13119,2021-07-06 09:42,T23,"Cabrera Bello, Rafa",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+15559,2021-07-08 01:18,16433,+13119,2021-07-06 09:42,T50,"NeSmith, Matthew",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+15559,2021-07-08 01:18,6930,+13119,2021-07-06 09:42,T34,"Taylor, Vaughn",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+15559,2021-07-08 01:18,19870,+13119,2021-07-06 09:42,CUT,"McCarthy, Denny",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+15559,2021-07-08 01:18,25908,+13119,2021-07-06 09:42,CUT,"Whaley, Vincent",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+15559,2021-07-08 01:18,11826,+13119,2021-07-06 09:42,WD,"Lee, Danny",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+15782,2021-07-08 01:18,8469,+13309,2021-07-06 09:42,CUT,"Armour, Ryan",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+16370,2021-07-08 01:18,13022,+13804,2021-07-06 09:42,T8,"Stuard, Brian",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+16370,2021-07-08 01:18,18187,+13804,2021-07-06 09:42,CUT,"Duncan, Tyler",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+16370,2021-07-08 01:18,14852,+13804,2021-07-06 09:42,CUT,"Streb, Robert",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+16530,2021-07-08 01:18,16715,+16966,2021-07-06 09:42,T58,"Ryder, Sam",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+16967,2021-07-08 01:18,15473,+14313,2021-07-06 09:42,T23,"Long, Adam",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+17003,2021-07-08 01:18,14459,+14341,2021-07-06 09:42,CUT,"An, Byeong Hun",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+17679,2021-07-08 01:18,14706,+14915,2021-07-06 09:42,CUT,"Swafford, Hudson",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+17679,2021-07-08 01:18,14967,+14915,2021-07-06 09:42,T34,"Hadley, Chesson",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+17922,2021-07-08 01:18,8085,+24841,2021-07-06 09:42,CUT,"Teater, Josh",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+18010,2021-07-08 01:18,6283,+15198,2021-07-06 09:42,CUT,"Sabbatini, Rory",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+18656,2021-07-08 01:18,19477,+15742,2021-07-06 09:42,T4,"Schenk, Adam",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
0,loss,+18656,2021-07-08 01:18,14000,+15742,2021-07-06 09:42,T64,"Landry, Andrew",pinnacle,2021-07-11,John Deere Classic,win,2021,2021,30
