tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,John Deere Classic,30,"Glover, Lucas",7399,1,1,TPC Deere Run,669,68,-0.662,1.134,1.341,0.057,2.532,1.877,294.8,0.714,0.833,1.0,,22.737
pga,2021,2021,John Deere Classic,30,"Glover, Lucas",7399,1,2,TPC Deere Run,669,63,1.563,1.033,2.91,0.481,4.424,5.987,295.3,0.714,0.833,1.0,47.378,16.355
pga,2021,2021,John Deere Classic,30,"Glover, Lucas",7399,1,3,TPC Deere Run,669,70,-0.407,-0.289,0.206,-0.037,-0.121,-0.528,285.6,0.643,0.667,0.833,39.716,33.368
pga,2021,2021,John Deere Classic,30,"Glover, Lucas",7399,1,4,TPC Deere Run,669,64,2.51,-0.058,2.638,0.79,3.363,5.875,274.6,0.929,0.778,0.833,,25.014
pga,2021,2021,John Deere Classic,30,"Moore, Ryan",7489,T2,1,TPC Deere Run,669,65,1.622,0.0,2.324,0.738,3.248,4.877,279.8,0.929,1.0,0.0,,25.417
pga,2021,2021,John Deere Classic,30,"Moore, Ryan",7489,T2,2,TPC Deere Run,669,66,1.041,-0.061,1.901,0.106,1.946,2.987,278.8,0.857,0.833,1.0,23.369,23.139
pga,2021,2021,John Deere Classic,30,"Moore, Ryan",7489,T2,3,TPC Deere Run,669,68,0.057,1.06,-0.316,0.672,1.415,1.472,270.3,1.0,0.778,1.0,18.701,29.475
pga,2021,2021,John Deere Classic,30,"Moore, Ryan",7489,T2,4,TPC Deere Run,669,68,1.198,0.252,0.175,0.255,0.675,1.875,268.4,0.929,0.722,0.429,36.278,25.438
pga,2021,2021,John Deere Classic,30,"Na, Kevin",7452,T2,1,TPC Deere Run,669,67,2.078,0.215,-0.811,1.388,0.792,2.877,291.5,1.0,0.556,0.556,11.45,35.854
pga,2021,2021,John Deere Classic,30,"Na, Kevin",7452,T2,2,TPC Deere Run,669,66,1.241,1.63,1.148,-1.032,1.746,2.987,278.6,0.714,0.778,0.857,54.113,24.393
pga,2021,2021,John Deere Classic,30,"Na, Kevin",7452,T2,3,TPC Deere Run,669,66,2.613,1.774,-1.266,0.352,0.859,3.472,278.1,0.857,0.722,1.0,31.895,33.115
pga,2021,2021,John Deere Classic,30,"Na, Kevin",7452,T2,4,TPC Deere Run,669,68,0.642,-0.391,1.09,0.539,1.231,1.875,286.0,0.786,0.778,0.667,27.454,24.946
pga,2021,2021,John Deere Classic,30,"List, Luke",7960,T4,1,TPC Deere Run,669,66,2.365,-0.241,0.929,0.817,1.505,3.877,303.3,0.714,0.833,0.6,42.531,28.604
pga,2021,2021,John Deere Classic,30,"List, Luke",7960,T4,2,TPC Deere Run,669,63,0.028,1.26,3.106,1.593,5.959,5.987,300.6,0.929,0.889,0.8,7.228,22.842
pga,2021,2021,John Deere Classic,30,"List, Luke",7960,T4,3,TPC Deere Run,669,71,-2.45,0.59,0.268,0.065,0.922,-1.528,289.8,0.714,0.778,0.4,22.785,28.296
pga,2021,2021,John Deere Classic,30,"List, Luke",7960,T4,4,TPC Deere Run,669,68,0.184,1.869,-0.928,0.755,1.689,1.875,295.0,0.714,0.667,0.833,43.701,32.051
pga,2021,2021,John Deere Classic,30,"Munoz, Sebastian",20770,T4,1,TPC Deere Run,669,63,2.487,0.265,3.356,0.762,4.383,6.877,299.1,0.786,0.944,1.0,12.893,22.212
pga,2021,2021,John Deere Classic,30,"Munoz, Sebastian",20770,T4,2,TPC Deere Run,669,67,-0.522,-0.847,2.698,0.658,2.509,1.987,290.1,0.786,0.889,0.8,6.079,21.388
pga,2021,2021,John Deere Classic,30,"Munoz, Sebastian",20770,T4,3,TPC Deere Run,669,67,1.205,-0.416,1.779,-0.095,1.267,2.472,286.4,0.714,0.722,0.667,27.142,30.885
pga,2021,2021,John Deere Classic,30,"Munoz, Sebastian",20770,T4,4,TPC Deere Run,669,71,-0.509,-1.433,0.501,0.149,-0.547,-1.125,288.4,0.786,0.667,0.455,95.406,33.608
pga,2021,2021,John Deere Classic,30,"Schenk, Adam",19477,T4,1,TPC Deere Run,669,67,1.551,0.749,-0.723,1.293,1.319,2.877,306.7,0.643,0.722,0.6,39.089,26.928
pga,2021,2021,John Deere Classic,30,"Schenk, Adam",19477,T4,2,TPC Deere Run,669,64,3.816,1.595,-0.932,0.508,1.171,4.987,294.0,0.714,0.667,0.9,46.43,29.651
pga,2021,2021,John Deere Classic,30,"Schenk, Adam",19477,T4,3,TPC Deere Run,669,70,0.926,-0.644,-0.415,-0.394,-1.454,-0.528,280.5,0.714,0.722,0.5,58.286,27.196
pga,2021,2021,John Deere Classic,30,"Schenk, Adam",19477,T4,4,TPC Deere Run,669,67,1.543,0.805,0.309,0.223,1.33,2.875,299.4,0.714,0.833,0.667,35.831,25.522
pga,2021,2021,John Deere Classic,30,"Brown, Scott",11330,T4,1,TPC Deere Run,669,69,2.453,-0.447,1.093,-2.229,-1.583,0.877,280.6,0.714,0.667,0.8,19.302,34.968
pga,2021,2021,John Deere Classic,30,"Brown, Scott",11330,T4,2,TPC Deere Run,669,67,1.546,-0.099,0.208,0.332,0.441,1.987,287.8,0.786,0.833,0.5,53.036,37.008
pga,2021,2021,John Deere Classic,30,"Brown, Scott",11330,T4,3,TPC Deere Run,669,63,4.644,-0.727,2.817,-0.261,1.828,6.472,274.2,0.857,0.722,0.8,20.785,25.056
pga,2021,2021,John Deere Classic,30,"Brown, Scott",11330,T4,4,TPC Deere Run,669,69,-0.589,0.347,0.036,1.086,1.462,0.875,282.1,0.929,0.778,0.6,,31.37
pga,2021,2021,John Deere Classic,30,"Stuard, Brian",13022,T8,1,TPC Deere Run,669,69,0.335,0.586,0.776,-0.827,0.535,0.877,275.6,0.786,0.833,0.333,43.241,23.873
pga,2021,2021,John Deere Classic,30,"Stuard, Brian",13022,T8,2,TPC Deere Run,669,67,1.749,0.187,-0.257,0.308,0.238,1.987,276.1,0.929,0.778,0.6,,29.83
pga,2021,2021,John Deere Classic,30,"Stuard, Brian",13022,T8,3,TPC Deere Run,669,66,1.964,-0.465,2.08,-0.106,1.508,3.472,266.9,0.786,0.889,1.0,46.951,20.904
pga,2021,2021,John Deere Classic,30,"Stuard, Brian",13022,T8,4,TPC Deere Run,669,67,3.119,0.632,0.37,-1.241,-0.246,2.875,257.2,0.857,0.722,1.0,,27.683
pga,2021,2021,John Deere Classic,30,"Power, Seamus",10104,T8,1,TPC Deere Run,669,68,-0.553,1.713,0.009,0.701,2.423,1.877,301.5,0.643,0.778,0.833,34.61,31.109
pga,2021,2021,John Deere Classic,30,"Power, Seamus",10104,T8,2,TPC Deere Run,669,67,-0.596,0.394,1.222,0.967,2.583,1.987,296.3,0.857,0.722,0.5,27.24,24.444
pga,2021,2021,John Deere Classic,30,"Power, Seamus",10104,T8,3,TPC Deere Run,669,68,1.208,0.593,-1.221,0.893,0.264,1.472,287.2,0.786,0.667,0.625,43.819,29.721
pga,2021,2021,John Deere Classic,30,"Power, Seamus",10104,T8,4,TPC Deere Run,669,66,0.577,0.245,2.504,0.554,3.296,3.875,283.1,0.714,0.889,0.667,43.804,28.284
pga,2021,2021,John Deere Classic,30,"Lebioda, Hank",21943,T8,1,TPC Deere Run,669,64,3.81,0.906,1.12,0.034,2.06,5.877,293.4,0.5,0.889,1.0,42.9,23.206
pga,2021,2021,John Deere Classic,30,"Lebioda, Hank",21943,T8,2,TPC Deere Run,669,69,0.347,-0.568,2.014,-1.806,-0.36,-0.013,299.1,0.571,0.722,0.333,49.012,24.789
pga,2021,2021,John Deere Classic,30,"Lebioda, Hank",21943,T8,3,TPC Deere Run,669,71,-0.351,-1.461,-0.472,0.757,-1.177,-1.528,273.5,0.929,0.833,0.25,,28.787
pga,2021,2021,John Deere Classic,30,"Lebioda, Hank",21943,T8,4,TPC Deere Run,669,65,1.337,2.49,0.708,0.345,3.536,4.875,278.0,0.929,0.778,1.0,,33.239
pga,2021,2021,John Deere Classic,30,"Champ, Cameron",23542,T11,1,TPC Deere Run,669,66,2.193,0.319,0.637,0.721,1.677,3.877,309.2,0.571,0.778,0.875,44.376,37.534
pga,2021,2021,John Deere Classic,30,"Champ, Cameron",23542,T11,2,TPC Deere Run,669,68,0.412,-1.146,-1.045,2.766,0.575,0.987,312.2,1.0,0.722,0.7,,29.064
pga,2021,2021,John Deere Classic,30,"Champ, Cameron",23542,T11,3,TPC Deere Run,669,65,2.963,0.668,-0.906,1.748,1.509,4.472,297.1,0.786,0.722,1.0,48.666,30.381
pga,2021,2021,John Deere Classic,30,"Champ, Cameron",23542,T11,4,TPC Deere Run,669,71,-2.847,-0.774,1.545,0.956,1.72,-1.125,300.3,0.643,0.722,0.429,44.258,28.005
pga,2021,2021,John Deere Classic,30,"Henley, Russell",14578,T11,1,TPC Deere Run,669,67,-0.332,1.131,2.678,-0.607,3.202,2.877,292.5,0.714,0.833,0.714,38.631,23.686
pga,2021,2021,John Deere Classic,30,"Henley, Russell",14578,T11,2,TPC Deere Run,669,66,0.585,0.236,1.499,0.667,2.402,2.987,290.3,0.857,0.833,0.714,13.137,27.671
pga,2021,2021,John Deere Classic,30,"Henley, Russell",14578,T11,3,TPC Deere Run,669,69,-0.699,0.041,2.018,-0.887,1.171,0.472,276.1,0.643,0.833,1.0,40.348,18.816
pga,2021,2021,John Deere Classic,30,"Henley, Russell",14578,T11,4,TPC Deere Run,669,68,0.913,0.105,0.114,0.748,0.96,1.875,278.5,0.929,0.889,0.6,76.072,27.839
pga,2021,2021,John Deere Classic,30,"Vegas, Jhonattan",13508,T11,1,TPC Deere Run,669,67,0.268,0.753,1.549,0.3,2.602,2.877,295.9,0.643,0.889,1.0,19.666,32.31
pga,2021,2021,John Deere Classic,30,"Vegas, Jhonattan",13508,T11,2,TPC Deere Run,669,66,3.173,-0.171,1.548,-1.563,-0.186,2.987,302.8,0.429,0.833,0.8,39.692,18.674
pga,2021,2021,John Deere Classic,30,"Vegas, Jhonattan",13508,T11,3,TPC Deere Run,669,67,-0.09,0.424,1.702,0.437,2.562,2.472,291.7,0.714,0.889,1.0,8.23,24.61
pga,2021,2021,John Deere Classic,30,"Vegas, Jhonattan",13508,T11,4,TPC Deere Run,669,70,-0.196,-0.389,0.21,0.255,0.069,-0.125,288.8,0.5,0.778,0.714,39.513,32.902
pga,2021,2021,John Deere Classic,30,"Percy, Cameron",5874,T11,1,TPC Deere Run,669,70,-0.115,-0.63,-0.321,0.936,-0.015,-0.123,300.2,0.786,0.778,0.636,47.435,31.547
pga,2021,2021,John Deere Classic,30,"Percy, Cameron",5874,T11,2,TPC Deere Run,669,68,-1.285,0.504,1.74,0.028,2.272,0.987,298.1,0.714,0.889,0.5,38.715,22.694
pga,2021,2021,John Deere Classic,30,"Percy, Cameron",5874,T11,3,TPC Deere Run,669,67,1.119,0.278,2.187,-1.111,1.353,2.472,282.0,0.786,0.889,1.0,16.267,21.233
pga,2021,2021,John Deere Classic,30,"Percy, Cameron",5874,T11,4,TPC Deere Run,669,65,2.074,0.507,1.098,1.201,2.799,4.875,281.4,0.929,0.944,0.667,15.187,27.768
pga,2021,2021,John Deere Classic,30,"O'Hair, Sean",7626,T11,1,TPC Deere Run,669,69,-0.131,-0.314,1.002,0.313,1.001,0.877,303.9,0.786,0.833,0.5,7.544,27.355
pga,2021,2021,John Deere Classic,30,"O'Hair, Sean",7626,T11,2,TPC Deere Run,669,68,0.942,0.037,-1.535,1.543,0.045,0.987,301.5,0.857,0.778,0.75,35.139,38.134
pga,2021,2021,John Deere Classic,30,"O'Hair, Sean",7626,T11,3,TPC Deere Run,669,65,2.393,0.675,1.554,-0.149,2.079,4.472,272.8,0.571,0.889,1.0,7.515,21.247
pga,2021,2021,John Deere Classic,30,"O'Hair, Sean",7626,T11,4,TPC Deere Run,669,68,2.019,0.17,-0.677,0.368,-0.146,1.875,278.3,0.786,0.667,0.667,119.406,36.494
pga,2021,2021,John Deere Classic,30,"Kizzire, Patton",13470,T11,1,TPC Deere Run,669,69,0.611,0.564,-1.009,0.704,0.259,0.877,301.8,0.714,0.833,1.0,39.206,30.975
pga,2021,2021,John Deere Classic,30,"Kizzire, Patton",13470,T11,2,TPC Deere Run,669,67,-1.64,1.581,0.484,1.562,3.627,1.987,305.6,0.857,0.889,0.75,13.092,32.795
pga,2021,2021,John Deere Classic,30,"Kizzire, Patton",13470,T11,3,TPC Deere Run,669,69,-1.364,1.028,-0.156,0.965,1.836,0.472,289.0,0.786,0.722,0.429,29.245,34.634
pga,2021,2021,John Deere Classic,30,"Kizzire, Patton",13470,T11,4,TPC Deere Run,669,65,3.097,1.016,0.382,0.385,1.776,4.875,283.7,0.714,0.778,0.833,46.353,27.857
pga,2021,2021,John Deere Classic,30,"Varner III, Harold",16602,T11,1,TPC Deere Run,669,67,1.403,1.055,0.184,0.228,1.467,2.877,290.7,0.857,0.778,1.0,48.32,29.15
pga,2021,2021,John Deere Classic,30,"Varner III, Harold",16602,T11,2,TPC Deere Run,669,67,0.678,-0.987,1.465,0.831,1.309,1.987,291.6,0.857,0.833,0.714,28.143,28.361
pga,2021,2021,John Deere Classic,30,"Varner III, Harold",16602,T11,3,TPC Deere Run,669,70,-1.471,1.008,-1.065,1.001,0.943,-0.528,279.6,0.857,0.778,0.8,,29.446
pga,2021,2021,John Deere Classic,30,"Varner III, Harold",16602,T11,4,TPC Deere Run,669,66,0.087,0.608,2.732,0.453,3.786,3.875,278.1,0.786,0.778,0.8,25.584,25.895
pga,2021,2021,John Deere Classic,30,"Ghim, Doug",24550,T18,1,TPC Deere Run,669,66,0.456,1.151,2.232,0.031,3.414,3.877,299.8,0.643,0.833,1.0,41.027,18.806
pga,2021,2021,John Deere Classic,30,"Ghim, Doug",24550,T18,2,TPC Deere Run,669,67,-0.14,-0.083,1.802,0.408,2.127,1.987,293.1,0.714,0.889,0.6,22.719,21.793
pga,2021,2021,John Deere Classic,30,"Ghim, Doug",24550,T18,3,TPC Deere Run,669,70,-1.742,-0.776,0.969,1.022,1.214,-0.528,281.0,0.857,0.778,0.6,38.448,20.911
pga,2021,2021,John Deere Classic,30,"Ghim, Doug",24550,T18,4,TPC Deere Run,669,68,-0.233,-0.447,2.647,-0.087,2.106,1.875,272.3,0.786,0.944,0.667,47.387,21.081
pga,2021,2021,John Deere Classic,30,"Hagy, Brandon",18695,T18,1,TPC Deere Run,669,67,1.925,-0.108,-0.828,1.881,0.945,2.877,317.0,0.714,0.833,0.714,34.625,35.211
pga,2021,2021,John Deere Classic,30,"Hagy, Brandon",18695,T18,2,TPC Deere Run,669,64,4.331,-0.053,-0.24,0.949,0.656,4.987,313.3,0.5,0.667,0.857,36.805,26.233
pga,2021,2021,John Deere Classic,30,"Hagy, Brandon",18695,T18,3,TPC Deere Run,669,67,-1.012,-0.342,2.69,1.137,3.484,2.472,298.7,0.643,0.944,0.667,20.043,23.577
pga,2021,2021,John Deere Classic,30,"Hagy, Brandon",18695,T18,4,TPC Deere Run,669,73,-2.535,-0.979,-1.718,1.94,-0.521,-3.125,305.1,0.857,0.667,0.455,74.357,39.869
pga,2021,2021,John Deere Classic,30,"McNealy, Maverick",18634,T18,1,TPC Deere Run,669,71,0.662,-0.632,0.119,-1.279,-1.792,-1.123,287.1,0.5,0.722,0.625,54.706,30.894
pga,2021,2021,John Deere Classic,30,"McNealy, Maverick",18634,T18,2,TPC Deere Run,669,64,1.927,0.533,2.87,-0.343,3.06,4.987,293.3,0.643,0.944,0.75,50.745,23.619
pga,2021,2021,John Deere Classic,30,"McNealy, Maverick",18634,T18,3,TPC Deere Run,669,65,2.06,0.848,1.186,0.379,2.412,4.472,284.8,0.786,0.722,1.0,69.683,25.26
pga,2021,2021,John Deere Classic,30,"McNealy, Maverick",18634,T18,4,TPC Deere Run,669,71,-1.045,1.639,-2.225,0.511,-0.082,-1.125,286.2,0.857,0.611,0.818,24.347,41.661
pga,2021,2021,John Deere Classic,30,"Reavie, Chez",7961,T18,1,TPC Deere Run,669,64,3.214,-0.129,1.47,1.315,2.656,5.877,291.3,0.929,0.889,0.667,19.51,25.514
pga,2021,2021,John Deere Classic,30,"Reavie, Chez",7961,T18,2,TPC Deere Run,669,67,-0.307,0.282,1.086,0.926,2.294,1.987,291.6,0.857,0.778,0.833,,24.979
pga,2021,2021,John Deere Classic,30,"Reavie, Chez",7961,T18,3,TPC Deere Run,669,69,-0.899,-0.234,1.212,0.394,1.371,0.472,273.9,0.857,0.833,0.5,66.053,25.092
pga,2021,2021,John Deere Classic,30,"Reavie, Chez",7961,T18,4,TPC Deere Run,669,71,0.838,-1.438,-0.352,-0.168,-1.965,-1.125,265.8,0.857,0.667,0.8,29.331,33.504
pga,2021,2021,John Deere Classic,30,"Dufner, Jason",7301,T18,1,TPC Deere Run,669,68,-0.898,0.503,2.613,-0.348,2.768,1.877,294.7,0.786,0.778,1.0,57.165,20.412
pga,2021,2021,John Deere Classic,30,"Dufner, Jason",7301,T18,2,TPC Deere Run,669,65,0.251,0.65,1.788,1.298,3.736,3.987,290.7,0.857,0.889,1.0,36.359,26.308
pga,2021,2021,John Deere Classic,30,"Dufner, Jason",7301,T18,3,TPC Deere Run,669,68,0.273,-0.934,1.36,0.774,1.199,1.472,279.0,0.857,0.889,0.0,,17.637
pga,2021,2021,John Deere Classic,30,"Dufner, Jason",7301,T18,4,TPC Deere Run,669,70,-2.672,0.694,1.156,0.702,2.545,-0.125,283.6,0.786,0.889,1.0,26.48,27.641
pga,2021,2021,John Deere Classic,30,"Long, Adam",15473,T23,1,TPC Deere Run,669,70,-0.097,0.4,-1.246,0.813,-0.033,-0.123,286.5,0.857,0.778,0.75,81.587,44.883
pga,2021,2021,John Deere Classic,30,"Long, Adam",15473,T23,2,TPC Deere Run,669,65,1.814,1.759,-0.492,0.906,2.173,3.987,295.6,0.786,0.667,0.875,48.208,30.368
pga,2021,2021,John Deere Classic,30,"Long, Adam",15473,T23,3,TPC Deere Run,669,64,2.367,-0.085,3.144,0.047,3.105,5.472,280.0,0.857,0.889,0.0,36.776,26.847
pga,2021,2021,John Deere Classic,30,"Long, Adam",15473,T23,4,TPC Deere Run,669,73,-0.696,-0.021,-0.914,-1.489,-2.431,-3.125,279.8,0.429,0.722,0.6,51.857,27.471
pga,2021,2021,John Deere Classic,30,"Howell III, Charles",6892,T23,1,TPC Deere Run,669,71,-1.718,0.368,1.409,-1.189,0.588,-1.123,299.1,0.5,0.722,0.571,44.599,30.209
pga,2021,2021,John Deere Classic,30,"Howell III, Charles",6892,T23,2,TPC Deere Run,669,67,3.426,1.098,-2.821,0.284,-1.439,1.987,293.6,0.571,0.611,1.0,54.854,31.913
pga,2021,2021,John Deere Classic,30,"Howell III, Charles",6892,T23,3,TPC Deere Run,669,67,0.526,0.416,0.172,1.359,1.946,2.472,292.3,0.786,0.833,0.833,18.163,23.524
pga,2021,2021,John Deere Classic,30,"Howell III, Charles",6892,T23,4,TPC Deere Run,669,67,1.347,-0.78,1.413,0.9,1.526,2.875,283.6,0.857,0.889,0.75,39.936,33.553
pga,2021,2021,John Deere Classic,30,"Rodgers, Patrick",16283,T23,1,TPC Deere Run,669,67,1.907,-0.057,-1.18,2.2,0.963,2.877,312.7,0.714,0.722,0.667,47.743,33.529
pga,2021,2021,John Deere Classic,30,"Rodgers, Patrick",16283,T23,2,TPC Deere Run,669,65,1.705,0.046,0.049,2.187,2.282,3.987,314.6,0.857,0.722,0.625,18.212,32.008
pga,2021,2021,John Deere Classic,30,"Rodgers, Patrick",16283,T23,3,TPC Deere Run,669,70,-3.009,1.507,-0.278,1.253,2.481,-0.528,293.0,0.857,0.944,0.667,39.126,25.938
pga,2021,2021,John Deere Classic,30,"Rodgers, Patrick",16283,T23,4,TPC Deere Run,669,70,-0.368,1.255,-0.677,-0.33,0.241,-0.125,292.3,0.429,0.556,0.636,50.251,36.425
pga,2021,2021,John Deere Classic,30,"Cabrera Bello, Rafa",7457,T23,1,TPC Deere Run,669,70,0.426,-0.53,-0.091,0.065,-0.556,-0.123,294.1,0.571,0.722,0.714,13.196,29.559
pga,2021,2021,John Deere Classic,30,"Cabrera Bello, Rafa",7457,T23,2,TPC Deere Run,669,66,-0.022,0.328,1.533,1.148,3.009,2.987,294.9,0.929,0.889,0.4,,24.703
pga,2021,2021,John Deere Classic,30,"Cabrera Bello, Rafa",7457,T23,3,TPC Deere Run,669,66,0.878,0.2,3.169,-0.774,2.594,3.472,274.7,0.714,0.889,1.0,33.883,23.954
pga,2021,2021,John Deere Classic,30,"Cabrera Bello, Rafa",7457,T23,4,TPC Deere Run,669,70,-0.798,-1.181,2.265,-0.406,0.671,-0.125,274.3,0.643,0.778,0.667,19.693,24.614
pga,2021,2021,John Deere Classic,30,"Tway, Kevin",13127,T23,1,TPC Deere Run,669,66,1.488,-0.194,-0.025,2.601,2.382,3.877,307.8,0.857,0.722,0.8,39.24,29.446
pga,2021,2021,John Deere Classic,30,"Tway, Kevin",13127,T23,2,TPC Deere Run,669,69,0.826,-0.62,-0.829,0.61,-0.839,-0.013,310.8,0.643,0.722,0.571,64.915,30.846
pga,2021,2021,John Deere Classic,30,"Tway, Kevin",13127,T23,3,TPC Deere Run,669,73,-2.973,0.043,-2.286,1.689,-0.555,-3.528,298.5,0.786,0.611,0.286,23.186,33.79
pga,2021,2021,John Deere Classic,30,"Tway, Kevin",13127,T23,4,TPC Deere Run,669,64,4.702,0.874,0.79,-0.486,1.171,5.875,292.7,0.571,0.722,0.857,46.226,30.514
pga,2021,2021,John Deere Classic,30,"Norlander, Henrik",11657,T28,1,TPC Deere Run,669,67,2.414,-0.159,0.574,0.041,0.456,2.877,289.9,0.643,0.667,0.778,58.135,33.64
pga,2021,2021,John Deere Classic,30,"Norlander, Henrik",11657,T28,2,TPC Deere Run,669,69,-2.143,2.315,0.556,-0.741,2.13,-0.013,292.5,0.643,0.611,0.8,36.56,32.728
pga,2021,2021,John Deere Classic,30,"Norlander, Henrik",11657,T28,3,TPC Deere Run,669,69,0.511,1.439,-2.1,0.623,-0.039,0.472,280.4,0.714,0.667,0.833,57.007,26.947
pga,2021,2021,John Deere Classic,30,"Norlander, Henrik",11657,T28,4,TPC Deere Run,669,68,1.31,-0.019,0.602,-0.013,0.563,1.875,277.8,0.714,0.889,0.667,27.506,33.721
pga,2021,2021,John Deere Classic,30,"Taylor, Nick",13126,T28,1,TPC Deere Run,669,67,3.948,-0.636,-1.132,0.69,-1.078,2.877,295.1,0.643,0.722,0.857,36.903,28.362
pga,2021,2021,John Deere Classic,30,"Taylor, Nick",13126,T28,2,TPC Deere Run,669,65,2.155,0.36,0.634,0.838,1.832,3.987,291.5,0.857,0.778,0.667,,25.816
pga,2021,2021,John Deere Classic,30,"Taylor, Nick",13126,T28,3,TPC Deere Run,669,71,0.477,0.669,-2.801,0.128,-2.005,-1.528,280.8,0.643,0.5,0.8,27.432,35.823
pga,2021,2021,John Deere Classic,30,"Taylor, Nick",13126,T28,4,TPC Deere Run,669,70,-2.739,3.847,-0.772,-0.456,2.612,-0.125,275.7,0.786,0.722,0.714,29.39,30.912
pga,2021,2021,John Deere Classic,30,"Seiffert, Chase",17509,T28,1,TPC Deere Run,669,68,1.237,-0.207,-0.327,1.167,0.633,1.877,296.8,0.929,0.833,0.6,,36.861
pga,2021,2021,John Deere Classic,30,"Seiffert, Chase",17509,T28,2,TPC Deere Run,669,63,2.543,0.262,1.394,1.788,3.444,5.987,303.8,0.929,0.833,0.667,55.487,29.614
pga,2021,2021,John Deere Classic,30,"Seiffert, Chase",17509,T28,3,TPC Deere Run,669,71,-1.495,-0.568,-0.16,0.696,-0.033,-1.528,278.2,0.857,0.778,0.8,37.139,26.629
pga,2021,2021,John Deere Classic,30,"Seiffert, Chase",17509,T28,4,TPC Deere Run,669,71,-2.971,0.849,1.83,-0.828,1.844,-1.125,280.0,0.643,0.778,1.0,15.158,35.787
pga,2021,2021,John Deere Classic,30,"Gordon, Will",26660,T28,1,TPC Deere Run,669,68,-1.071,0.503,1.041,1.397,2.941,1.877,305.5,0.786,0.833,0.5,41.719,28.326
pga,2021,2021,John Deere Classic,30,"Gordon, Will",26660,T28,2,TPC Deere Run,669,68,-1.553,0.763,0.592,1.185,2.54,0.987,301.4,0.643,0.833,0.25,46.199,19.465
pga,2021,2021,John Deere Classic,30,"Gordon, Will",26660,T28,3,TPC Deere Run,669,68,0.592,-0.255,1.165,-0.029,0.88,1.472,291.6,0.571,0.667,0.571,37.29,28.628
pga,2021,2021,John Deere Classic,30,"Gordon, Will",26660,T28,4,TPC Deere Run,669,69,1.091,0.544,-2.002,1.247,-0.218,0.875,306.2,0.714,0.722,0.571,42.466,36.113
pga,2021,2021,John Deere Classic,30,"Herman, Jim",12846,T28,1,TPC Deere Run,669,68,1.226,0.197,-0.489,0.936,0.644,1.877,296.7,0.857,0.833,0.8,36.274,33.295
pga,2021,2021,John Deere Classic,30,"Herman, Jim",12846,T28,2,TPC Deere Run,669,66,3.252,-2.179,0.431,1.483,-0.265,2.987,298.1,0.857,0.722,0.625,48.269,26.97
pga,2021,2021,John Deere Classic,30,"Herman, Jim",12846,T28,3,TPC Deere Run,669,71,-1.644,-0.816,0.669,0.264,0.116,-1.528,277.3,0.714,0.833,0.4,46.852,28.539
pga,2021,2021,John Deere Classic,30,"Herman, Jim",12846,T28,4,TPC Deere Run,669,68,1.726,-0.822,0.128,0.848,0.147,1.875,278.0,0.929,0.889,0.6,,32.888
pga,2021,2021,John Deere Classic,30,"Laird, Martin",9586,T28,1,TPC Deere Run,669,68,0.8,-0.636,1.199,0.507,1.07,1.877,292.4,0.714,0.833,0.667,46.23,26.837
pga,2021,2021,John Deere Classic,30,"Laird, Martin",9586,T28,2,TPC Deere Run,669,68,0.577,1.511,-1.097,-0.004,0.41,0.987,289.5,0.857,0.778,0.6,,35.316
pga,2021,2021,John Deere Classic,30,"Laird, Martin",9586,T28,3,TPC Deere Run,669,69,1.355,-0.288,0.636,-1.23,-0.883,0.472,281.1,0.786,0.778,0.833,94.32,26.287
pga,2021,2021,John Deere Classic,30,"Laird, Martin",9586,T28,4,TPC Deere Run,669,68,0.102,-1.084,1.818,1.044,1.771,1.875,280.6,0.929,0.833,0.167,17.819,31.173
pga,2021,2021,John Deere Classic,30,"Taylor, Vaughn",6930,T34,1,TPC Deere Run,669,69,-0.385,0.315,0.33,0.61,1.255,0.877,290.5,0.857,0.778,0.625,44.603,34.553
pga,2021,2021,John Deere Classic,30,"Taylor, Vaughn",6930,T34,2,TPC Deere Run,669,66,0.381,1.76,0.732,0.114,2.606,2.987,289.2,0.786,0.889,0.8,32.816,31.764
pga,2021,2021,John Deere Classic,30,"Taylor, Vaughn",6930,T34,3,TPC Deere Run,669,68,1.727,-0.335,-0.437,0.518,-0.255,1.472,274.3,0.929,0.722,0.5,26.358,28.892
