tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Power, Seamus",10104,10900,0.2783,1,3,3,0,5,94.5,30,135.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Hahn, James",11374,7200,0.0476,T5,6,3,0,0,105.5,14,128.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Lahiri, Anirban",12669,6900,0.0408,T3,3,0,0,5,102.0,18,128.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Poston, J.T.",21554,8600,0.1213,2,0,6,0,0,101.5,20,127.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Ryder, Sam",16715,7500,0.0521,T3,6,9,0,5,89.5,18,127.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Rodgers, Patrick",16283,10000,0.1122,T5,3,3,0,5,98.5,14,123.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"List, Luke",7960,10300,0.1879,T5,3,6,0,0,93.5,14,116.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Pereira, Mito",19455,8500,0.2593,T5,9,0,0,0,93.0,14,116.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Norlander, Henrik",11657,8800,0.1635,T5,3,0,0,5,93.5,14,115.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Pendrith, Taylor",17780,9500,0.1363,T11,3,0,0,5,100.5,6,114.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Bramlett, Joseph",14698,7300,0.0612,T11,6,0,0,0,100.5,6,112.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Teater, Josh",8085,6800,0.057,T15,0,3,0,5,98.0,6,112.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Armour, Ryan",8469,7800,0.0672,T5,0,0,0,5,92.0,14,111.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Hoag, Bo",14081,7700,0.0997,T11,3,6,0,5,87.0,6,107.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Nienaber, Wilco",25889,7900,0.087,T31,9,0,0,0,92.5,2,103.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Hossler, Beau",15470,8700,0.104,T15,0,3,0,5,89.0,6,103.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Lingmerth, David",14815,6400,0.0014,T11,3,0,0,0,92.5,6,101.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Schenk, Adam",19477,9400,0.187,T15,0,3,0,5,87.5,6,101.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Herman, Jim",12846,8300,0.119,T20,3,0,0,0,92.0,5,100.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Taylor, Ben",19948,6100,0.0017,T20,0,3,0,5,84.5,5,97.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Stuard, Brian",13022,8400,0.1068,T15,3,0,0,0,87.5,6,96.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Hearn, David",7340,6700,0.0057,T20,6,0,0,0,85.5,5,96.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Garrigus, Robert",6789,6000,0.0037,T31,0,3,0,0,91.0,2,96.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Kodaira, Satoshi",13531,7600,0.0929,T20,3,0,0,5,83.0,5,96.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Gligic, Michael",13404,6600,0.0068,19,0,6,0,0,84.5,5,95.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Whaley, Vincent",25908,7400,0.0765,T26,0,0,0,5,87.5,3,95.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Campos, Rafael",12909,6500,0.0071,T20,3,0,0,0,85.5,5,93.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Chalmers, Greg",5625,6300,0.0023,T31,0,0,0,0,90.5,2,92.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Dufner, Jason",7301,7500,0.1097,T26,6,0,0,0,83.5,3,92.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Theegala, Sahith",23014,8000,0.0615,T37,6,0,0,0,84.5,2,92.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Sloan, Roger",14050,7600,0.0723,T31,3,0,0,0,87.0,2,92.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Hubbard, Mark",16333,8200,0.1108,T20,0,0,0,0,87.0,5,92.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Anderson, Mark",12131,7200,0.0204,T26,0,0,0,5,82.0,3,90.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Ernst, Derek",16711,6200,0.0031,T37,3,0,0,0,84.5,2,89.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Thompson, Davis",27364,7800,0.0785,T31,0,0,0,0,87.5,2,89.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Tway, Kevin",13127,7100,0.1408,T26,0,0,0,0,85.5,3,88.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Harrington, Scott",8479,6700,0.0156,T53,6,0,0,0,82.5,0,88.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Schwartzel, Charl",7398,10600,0.1043,T26,3,0,0,0,81.5,3,87.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Bozzelli, Dominic",17564,6100,0.0017,T40,6,3,0,0,75.5,2,86.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Lewis, Tom",15164,9900,0.0762,T40,0,0,0,0,84.5,2,86.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Grimmer, Will",18630,6000,0.0006,T47,3,3,0,0,79.0,1,86.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Van Pelt, Bo",6457,6700,0.0108,T31,0,3,0,0,80.0,2,85.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Watney, Nick",7955,6600,0.0034,T37,0,0,0,0,82.5,2,84.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Percy, Cameron",5874,7300,0.142,T42,0,3,0,0,79.5,1,83.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Taylor, Vaughn",6930,7600,0.0629,T42,0,0,0,0,82.0,1,83.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Gazzolo, David",23138,0,0.0,T42,3,0,0,0,78.5,1,82.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Potter, Jr., Ted",8769,6500,0.0091,T47,0,0,0,0,80.0,1,81.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Barjon, Paul",16566,6500,0.0266,T42,3,0,0,0,76.5,1,80.5
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Brehm, Ryan",10423,6200,0.0034,T53,0,3,0,0,75.0,0,78.0
pga,2021,2021,Barbasol Championship,518,draftkings,Alternate PGA TOUR $30K Resurgence [$10K to 1st],"Pastore, David",19593,6400,0.0011,T67,0,0,0,0,76.5,0,76.5
