tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,Barbasol Championship,518,"Power, Seamus",10104,1,1,Keene Trace Golf Club,884,65,2.716,1.864,-0.47,0.561,1.956,4.672,293.2,0.571,0.833,0.889,30.895,35.654
pga,2021,2021,Barbasol Championship,518,"Power, Seamus",10104,1,2,Keene Trace Golf Club,884,68,1.329,-0.071,0.392,0.767,1.088,2.417,289.9,0.643,0.778,0.75,50.949,25.587
pga,2021,2021,Barbasol Championship,518,"Power, Seamus",10104,1,3,Keene Trace Golf Club,884,67,-0.46,0.376,1.565,0.834,2.776,2.316,293.4,0.786,0.889,0.4,33.888,25.922
pga,2021,2021,Barbasol Championship,518,"Power, Seamus",10104,1,4,Keene Trace Golf Club,884,67,-0.267,0.381,1.9,0.921,3.201,2.934,286.1,0.786,0.833,1.0,23.773,31.391
pga,2021,2021,Barbasol Championship,518,"Poston, J.T.",21554,2,1,Keene Trace Golf Club,884,65,1.911,0.843,0.749,1.168,2.761,4.672,290.8,0.857,0.778,0.8,37.288,32.273
pga,2021,2021,Barbasol Championship,518,"Poston, J.T.",21554,2,2,Keene Trace Golf Club,884,66,2.513,-0.07,0.34,1.634,1.904,4.417,293.5,0.857,0.889,0.8,38.85,37.384
pga,2021,2021,Barbasol Championship,518,"Poston, J.T.",21554,2,3,Keene Trace Golf Club,884,66,2.468,0.803,0.45,-0.406,0.848,3.316,290.7,0.714,0.833,0.8,50.051,27.882
pga,2021,2021,Barbasol Championship,518,"Poston, J.T.",21554,2,4,Keene Trace Golf Club,884,70,0.088,-0.059,1.472,-1.566,-0.154,-0.066,285.5,0.643,0.833,0.6,32.987,31.665
pga,2021,2021,Barbasol Championship,518,"Ryder, Sam",16715,T3,1,Keene Trace Golf Club,884,66,0.939,0.219,1.613,0.9,2.733,3.672,289.1,0.714,0.778,0.875,28.874,25.021
pga,2021,2021,Barbasol Championship,518,"Ryder, Sam",16715,T3,2,Keene Trace Golf Club,884,69,-1.874,-0.702,3.788,0.205,3.291,1.417,282.9,0.643,0.889,0.4,15.122,29.029
pga,2021,2021,Barbasol Championship,518,"Ryder, Sam",16715,T3,3,Keene Trace Golf Club,884,68,0.674,-0.642,1.947,-0.664,0.642,1.316,285.8,0.714,0.889,0.667,28.405,25.602
pga,2021,2021,Barbasol Championship,518,"Ryder, Sam",16715,T3,4,Keene Trace Golf Club,884,65,-0.967,1.633,3.688,0.581,5.901,4.934,288.4,0.714,0.778,1.0,22.367,23.09
pga,2021,2021,Barbasol Championship,518,"Lahiri, Anirban",12669,T3,1,Keene Trace Golf Club,884,68,2.744,-0.841,-0.439,0.207,-1.072,1.672,293.1,0.5,0.667,0.556,32.457,33.197
pga,2021,2021,Barbasol Championship,518,"Lahiri, Anirban",12669,T3,2,Keene Trace Golf Club,884,67,0.466,-1.149,2.367,1.733,2.951,3.417,287.1,1.0,0.833,0.5,,23.829
pga,2021,2021,Barbasol Championship,518,"Lahiri, Anirban",12669,T3,3,Keene Trace Golf Club,884,68,1.921,-0.879,0.472,-0.199,-0.605,1.316,292.3,0.571,0.833,0.571,34.913,31.565
pga,2021,2021,Barbasol Championship,518,"Lahiri, Anirban",12669,T3,4,Keene Trace Golf Club,884,65,0.815,1.19,1.437,1.493,4.119,4.934,291.6,0.929,0.944,0.667,11.514,22.895
pga,2021,2021,Barbasol Championship,518,"Hahn, James",11374,T5,1,Keene Trace Golf Club,884,69,0.949,0.837,-1.453,0.338,-0.277,0.672,286.0,0.643,0.611,0.5,45.877,33.589
pga,2021,2021,Barbasol Championship,518,"Hahn, James",11374,T5,2,Keene Trace Golf Club,884,70,-0.477,-0.435,0.654,0.675,0.894,0.417,282.9,0.786,0.778,0.667,31.465,36.39
pga,2021,2021,Barbasol Championship,518,"Hahn, James",11374,T5,3,Keene Trace Golf Club,884,60,5.141,1.431,2.214,0.529,4.175,9.316,289.6,0.714,0.833,1.0,41.871,24.447
pga,2021,2021,Barbasol Championship,518,"Hahn, James",11374,T5,4,Keene Trace Golf Club,884,70,-2.088,-0.624,1.43,1.217,2.022,-0.066,286.2,0.929,0.722,0.333,17.311,26.551
pga,2021,2021,Barbasol Championship,518,"Rodgers, Patrick",16283,T5,1,Keene Trace Golf Club,884,68,0.903,-1.125,-0.128,2.021,0.769,1.672,305.2,0.857,0.722,0.429,49.566,30.864
pga,2021,2021,Barbasol Championship,518,"Rodgers, Patrick",16283,T5,2,Keene Trace Golf Club,884,67,0.515,0.385,1.185,1.332,2.902,3.417,297.0,0.714,0.889,0.8,14.903,36.372
pga,2021,2021,Barbasol Championship,518,"Rodgers, Patrick",16283,T5,3,Keene Trace Golf Club,884,67,1.612,-0.303,0.132,0.874,0.704,2.316,295.9,0.714,0.833,0.4,30.953,28.93
pga,2021,2021,Barbasol Championship,518,"Rodgers, Patrick",16283,T5,4,Keene Trace Golf Club,884,67,3.13,-0.088,0.046,-0.153,-0.196,2.934,293.8,0.643,0.722,0.75,30.657,34.604
pga,2021,2021,Barbasol Championship,518,"Pereira, Mito",19455,T5,1,Keene Trace Golf Club,884,67,-2.565,-0.615,4.455,1.396,5.237,2.672,289.5,0.857,1.0,0.667,30.8,18.783
pga,2021,2021,Barbasol Championship,518,"Pereira, Mito",19455,T5,2,Keene Trace Golf Club,884,70,-0.559,1.305,-1.336,1.007,0.976,0.417,289.4,0.714,0.667,0.818,30.098,32.721
pga,2021,2021,Barbasol Championship,518,"Pereira, Mito",19455,T5,3,Keene Trace Golf Club,884,65,1.507,0.29,1.086,1.432,2.809,4.316,294.0,0.857,0.833,0.8,11.765,28.431
pga,2021,2021,Barbasol Championship,518,"Pereira, Mito",19455,T5,4,Keene Trace Golf Club,884,67,1.409,1.239,-1.024,1.311,1.525,2.934,293.9,0.786,0.833,1.0,99.772,24.233
