bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+728,2021-07-14 22:06,19195,+724,2021-07-12 09:27,T3,"Rahm, Jon",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+1504,2021-07-14 22:06,19895,+1911,2021-07-12 09:27,T26,"Schauffele, Xander",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+1555,2021-07-14 22:06,16243,+1422,2021-07-12 09:27,T6,"Koepka, Brooks",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+1607,2021-07-14 22:06,14636,+2092,2021-07-12 09:27,2,"Spieth, Jordan",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+2008,2021-07-14 22:06,14139,+1876,2021-07-12 09:27,T40,"Thomas, Justin",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+2050,2021-07-14 22:06,10091,+1139,2021-07-12 09:27,T46,"McIlroy, Rory",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+2054,2021-07-14 22:06,12422,+1782,2021-07-12 09:27,T8,"Johnson, Dustin",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
1,paid in full,+2480,2021-07-14 22:06,22085,+3217,2021-07-12 09:27,1,"Morikawa, Collin",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+2586,2021-07-14 22:06,7672,+2772,2021-07-12 09:27,T3,"Oosthuizen, Louis",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+2647,2021-07-14 22:06,19841,+2525,2021-07-12 09:27,T33,"DeChambeau, Bryson",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+2814,2021-07-14 22:06,15466,+2982,2021-07-12 09:27,CUT,"Cantlay, Patrick",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+2863,2021-07-14 22:06,14838,+3820,2021-07-12 09:27,CUT,"Reed, Patrick",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+2908,2021-07-14 22:06,18841,+2494,2021-07-12 09:27,T12,"Hovland, Viktor",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+2942,2021-07-14 22:06,14796,+1660,2021-07-12 09:27,CUT,"Hatton, Tyrrell",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+2976,2021-07-14 22:06,7108,+3379,2021-07-12 09:27,T15,"Casey, Paul",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+3479,2021-07-14 22:06,17646,+2666,2021-07-12 09:27,T26,"Fitzpatrick, Matthew",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+4020,2021-07-14 22:06,11676,+4617,2021-07-12 09:27,T15,"Finau, Tony",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+4149,2021-07-14 22:06,18417,+3565,2021-07-12 09:27,T8,"Scheffler, Scottie",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+4522,2021-07-14 22:06,12294,+2655,2021-07-12 09:27,T33,"Fleetwood, Tommy",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+4723,2021-07-14 22:06,13900,+3744,2021-07-12 09:27,T12,"Lowry, Shane",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+5032,2021-07-14 22:06,14577,+4653,2021-07-12 09:27,T46,"English, Harris",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+5187,2021-07-14 22:06,17606,+5412,2021-07-12 09:27,T8,"Berger, Daniel",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+5388,2021-07-14 22:06,4052,+4614,2021-07-12 09:27,T59,"Westwood, Lee",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+5553,2021-07-14 22:06,11952,+4038,2021-07-12 09:27,CUT,"Grace, Branden",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+5706,2021-07-14 22:06,11049,+10885,2021-07-12 09:27,T19,"Simpson, Webb",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+5817,2021-07-14 22:06,23323,+4041,2021-07-12 09:27,T8,"Macintyre, Robert",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
0,loss,+5876,2021-07-14 22:06,15856,+3584,2021-07-12 09:27,T33,"Smith, Cameron",pinnacle,2021-07-18,The Open Championship,win,2021,2021,100
