bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+788,2021-07-21 23:31,12422,+897,2021-07-20 10:44,CUT,"Johnson, Dustin",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+1169,2021-07-21 23:31,7672,+1217,2021-07-20 10:44,T2,"Oosthuizen, Louis",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+1636,2021-07-21 23:31,14838,+1623,2021-07-20 10:44,T34,"Reed, Patrick",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+1773,2021-07-21 23:31,11676,+1771,2021-07-20 10:44,T28,"Finau, Tony",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+2694,2021-07-21 23:31,14013,+2636,2021-07-20 10:44,T16,"Tringale, Cameron",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+2756,2021-07-21 23:31,25919,+3958,2021-07-20 10:44,T39,"Wolff, Matthew",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+2901,2021-07-21 23:31,5689,+2839,2021-07-20 10:44,T25,"Garcia, Sergio",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+3192,2021-07-21 23:31,23323,+3125,2021-07-20 10:44,CUT,"Macintyre, Robert",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+3200,2021-07-21 23:31,7334,+3346,2021-07-20 10:44,T51,"Watson, Bubba",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+3313,2021-07-21 23:31,13872,+3346,2021-07-20 10:44,T39,"Bradley, Keegan",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+3418,2021-07-21 23:31,12808,+3346,2021-07-20 10:44,CUT,"Grillo, Emiliano",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+3856,2021-07-21 23:31,12425,+5070,2021-07-20 10:44,CUT,"Todd, Brendon",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+4033,2021-07-21 23:31,21943,+4563,2021-07-20 10:44,WD,"Lebioda, Hank",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+4142,2021-07-21 23:31,18634,+4056,2021-07-20 10:44,T16,"McNealy, Maverick",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+4254,2021-07-21 23:31,7960,+5070,2021-07-20 10:44,T58,"List, Luke",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+4431,2021-07-21 23:31,24550,+4563,2021-07-20 10:44,CUT,"Ghim, Doug",pinnacle,2021-07-25,3M Open,win,2021,2021,525
0,loss,+4524,2021-07-21 23:31,4818,+8111,2021-07-20 10:44,CUT,"Stricker, Steve",pinnacle,2021-07-25,3M Open,win,2021,2021,525
