tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Schauffele, Xander",19895,10700,0.1748,1,3,0,0,5,96.5,30,134.5
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Sabbatini, Rory",6283,6800,0.0394,2,6,0,0,0,94.5,20,120.5
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Pereira, Mito",19455,7200,0.3583,T4,3,0,0,5,90.5,16,114.5
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"McIlroy, Rory",10091,10300,0.1123,T4,3,0,0,5,88.0,16,112.0
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Munoz, Sebastian",20770,7700,0.1233,T4,3,0,0,5,85.5,16,109.5
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Pan, C.T.",15475,7100,0.0576,3,0,3,0,0,88.0,18,109.0
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Matsuyama, Hideki",13562,10500,0.1447,T4,0,3,0,5,82.5,16,106.5
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Casey, Paul",7108,9500,0.195,T4,0,3,0,5,82.5,16,106.5
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Morikawa, Collin",22085,11200,0.2155,T4,0,3,0,0,85.0,16,104.0
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Smith, Cameron",15856,8900,0.1749,T10,3,3,0,0,85.0,7,98.0
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Pieters, Thomas",13944,8100,0.1796,T16,3,3,0,0,86.0,5,97.0
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Straka, Sepp",17511,6400,0.1411,T10,3,3,0,0,83.5,7,96.5
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Fleetwood, Tommy",12294,8600,0.124,T16,3,0,0,0,87.5,5,95.5
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Hovland, Viktor",18841,9900,0.2661,T14,3,3,0,0,80.5,6,92.5
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Conners, Corey",17576,8800,0.2294,13,3,3,0,0,78.0,6,90.0
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Niemann, Joaquin",18079,9200,0.1757,T10,0,0,0,0,81.5,7,88.5
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Im, Sungjae",17488,9000,0.1633,T22,3,3,0,0,75.0,4,85.0
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Ancer, Abraham",18238,9300,0.1238,T14,0,0,0,5,73.5,6,84.5
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Hansen, Joachim B",14284,6300,0.0149,T27,0,0,0,0,81.0,3,84.0
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Noren, Alex",10419,8200,0.0546,T16,3,3,0,0,72.5,5,83.5
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Vincent, Scott",14559,6400,0.0381,T16,0,3,0,0,74.0,5,82.0
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Paratore, Renato",16549,6900,0.0079,T27,3,0,0,0,76.0,3,82.0
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Thomas, Justin",14139,10900,0.1588,T22,0,3,0,0,74.5,4,81.5
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Vegas, Jhonattan",13508,7400,0.3406,T16,3,0,0,0,73.0,5,81.0
pga,2021,2021,Olympic Men's Golf Competition,519,draftkings,INTL GOLF $700K Gold Golfer [$200K to 1st],"Kieffer, Maximilian",12317,6200,0.0247,T45,9,0,0,0,71.0,1,81.0
