tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,Olympic Men's Golf Competition,519,"Schauffele, Xander",19895,1,1,Kasumigaseki Country Club,887,68,-0.323,0.745,-0.181,1.321,1.885,1.583,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Schauffele, Xander",19895,1,2,Kasumigaseki Country Club,887,63,1.749,-0.22,4.088,0.956,4.824,6.567,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Schauffele, Xander",19895,1,3,Kasumigaseki Country Club,887,68,2.024,-1.19,0.557,-0.627,-1.26,0.767,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Schauffele, Xander",19895,1,4,Kasumigaseki Country Club,887,67,0.782,2.019,-0.146,-1.288,0.585,1.35,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Sabbatini, Rory",6283,2,1,Kasumigaseki Country Club,887,69,-2.034,1.652,0.791,0.155,2.598,0.583,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Sabbatini, Rory",6283,2,2,Kasumigaseki Country Club,887,67,2.422,0.825,-1.365,0.682,0.142,2.567,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Sabbatini, Rory",6283,2,3,Kasumigaseki Country Club,887,70,-1.89,-0.074,0.399,0.317,0.642,-1.233,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Sabbatini, Rory",6283,2,4,Kasumigaseki Country Club,887,61,1.809,1.616,3.8,0.12,5.536,7.35,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Pan, C.T.",15475,3,1,Kasumigaseki Country Club,887,74,-4.082,-0.284,-0.428,0.37,-0.342,-4.417,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Pan, C.T.",15475,3,2,Kasumigaseki Country Club,887,66,2.779,-0.642,1.275,0.151,0.784,3.567,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Pan, C.T.",15475,3,3,Kasumigaseki Country Club,887,66,1.425,0.389,0.548,0.413,1.35,2.767,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Pan, C.T.",15475,3,4,Kasumigaseki Country Club,887,63,3.536,1.204,-0.642,1.249,1.811,5.35,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Matsuyama, Hideki",13562,T4,1,Kasumigaseki Country Club,887,69,1.195,1.161,-0.168,-1.613,-0.62,0.583,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Matsuyama, Hideki",13562,T4,2,Kasumigaseki Country Club,887,64,1.07,2.158,1.933,0.404,4.495,5.567,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Matsuyama, Hideki",13562,T4,3,Kasumigaseki Country Club,887,67,0.838,1.694,-0.57,-0.181,0.943,1.767,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Matsuyama, Hideki",13562,T4,4,Kasumigaseki Country Club,887,69,-3.551,0.102,1.511,1.269,2.882,-0.65,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"McIlroy, Rory",10091,T4,1,Kasumigaseki Country Club,887,69,-0.532,-0.295,1.013,0.374,1.092,0.583,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"McIlroy, Rory",10091,T4,2,Kasumigaseki Country Club,887,66,1.081,0.137,1.321,1.036,2.494,3.567,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"McIlroy, Rory",10091,T4,3,Kasumigaseki Country Club,887,67,1.168,-0.631,0.632,0.576,0.577,1.767,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"McIlroy, Rory",10091,T4,4,Kasumigaseki Country Club,887,67,1.905,-0.385,-0.202,0.028,-0.559,1.35,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Munoz, Sebastian",20770,T4,1,Kasumigaseki Country Club,887,67,1.045,0.62,1.204,-0.287,1.537,2.583,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Munoz, Sebastian",20770,T4,2,Kasumigaseki Country Club,887,69,-2.504,0.557,2.038,0.482,3.077,0.567,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Munoz, Sebastian",20770,T4,3,Kasumigaseki Country Club,887,66,0.795,-0.213,0.495,1.691,1.973,2.767,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Munoz, Sebastian",20770,T4,4,Kasumigaseki Country Club,887,67,2.556,0.393,-0.821,-0.784,-1.212,1.35,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Morikawa, Collin",22085,T4,1,Kasumigaseki Country Club,887,69,-0.846,0.594,0.663,0.157,1.414,0.583,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Morikawa, Collin",22085,T4,2,Kasumigaseki Country Club,887,70,0.267,0.289,-1.98,0.988,-0.703,-0.433,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Morikawa, Collin",22085,T4,3,Kasumigaseki Country Club,887,67,1.785,0.823,-2.394,1.557,-0.014,1.767,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Morikawa, Collin",22085,T4,4,Kasumigaseki Country Club,887,63,2.679,-0.329,2.182,0.826,2.679,5.35,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Casey, Paul",7108,T4,1,Kasumigaseki Country Club,887,67,0.043,0.747,1.67,0.097,2.514,2.583,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Casey, Paul",7108,T4,2,Kasumigaseki Country Club,887,68,0.088,-0.879,1.108,1.247,1.476,1.567,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Casey, Paul",7108,T4,3,Kasumigaseki Country Club,887,66,3.062,-0.183,0.245,-0.351,-0.289,2.767,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Casey, Paul",7108,T4,4,Kasumigaseki Country Club,887,68,-1.758,1.243,0.617,0.244,2.104,0.35,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Pereira, Mito",19455,T4,1,Kasumigaseki Country Club,887,69,1.03,0.284,-0.253,-0.499,-0.468,0.583,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Pereira, Mito",19455,T4,2,Kasumigaseki Country Club,887,65,0.343,1.248,1.955,1.013,4.216,4.567,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Pereira, Mito",19455,T4,3,Kasumigaseki Country Club,887,68,-1.115,1.394,-0.023,0.523,1.894,0.767,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Pereira, Mito",19455,T4,4,Kasumigaseki Country Club,887,67,-1.193,1.375,0.034,1.127,2.536,1.35,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Niemann, Joaquin",18079,T10,1,Kasumigaseki Country Club,887,70,0.071,0.77,-0.232,-1.046,-0.508,-0.417,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Niemann, Joaquin",18079,T10,2,Kasumigaseki Country Club,887,69,-0.436,-0.449,0.534,0.926,1.011,0.567,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Niemann, Joaquin",18079,T10,3,Kasumigaseki Country Club,887,66,1.306,-0.744,0.848,1.363,1.467,2.767,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Niemann, Joaquin",18079,T10,4,Kasumigaseki Country Club,887,65,-0.7,0.421,1.775,1.835,4.031,3.35,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Smith, Cameron",15856,T10,1,Kasumigaseki Country Club,887,71,-0.843,-0.589,0.669,-0.667,-0.587,-1.417,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Smith, Cameron",15856,T10,2,Kasumigaseki Country Club,887,67,0.136,-0.819,2.715,0.532,2.428,2.567,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Smith, Cameron",15856,T10,3,Kasumigaseki Country Club,887,66,0.34,1.923,0.279,0.21,2.412,2.767,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Smith, Cameron",15856,T10,4,Kasumigaseki Country Club,887,66,0.221,0.974,1.062,0.099,2.135,2.35,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Straka, Sepp",17511,T10,1,Kasumigaseki Country Club,887,63,2.092,0.685,3.271,0.508,4.464,6.583,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Straka, Sepp",17511,T10,2,Kasumigaseki Country Club,887,71,-2.323,-0.653,0.48,1.067,0.894,-1.433,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Straka, Sepp",17511,T10,3,Kasumigaseki Country Club,887,68,0.808,-0.82,1.185,-0.412,-0.047,0.767,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Straka, Sepp",17511,T10,4,Kasumigaseki Country Club,887,68,0.336,-1.005,0.292,0.712,-0.001,0.35,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Conners, Corey",17576,13,1,Kasumigaseki Country Club,887,69,-1.646,0.973,0.351,0.886,2.21,0.583,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Conners, Corey",17576,13,2,Kasumigaseki Country Club,887,71,-1.191,-0.438,0.029,0.158,-0.251,-1.433,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Conners, Corey",17576,13,3,Kasumigaseki Country Club,887,66,-0.589,0.986,1.839,0.526,3.351,2.767,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Conners, Corey",17576,13,4,Kasumigaseki Country Club,887,65,3.03,-0.364,0.087,0.589,0.312,3.35,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Ancer, Abraham",18238,T14,1,Kasumigaseki Country Club,887,69,-0.717,1.03,0.11,0.131,1.271,0.583,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Ancer, Abraham",18238,T14,2,Kasumigaseki Country Club,887,69,-0.552,0.034,1.216,-0.134,1.116,0.567,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Ancer, Abraham",18238,T14,3,Kasumigaseki Country Club,887,66,2.535,0.334,-0.019,-0.095,0.22,2.767,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Ancer, Abraham",18238,T14,4,Kasumigaseki Country Club,887,68,0.14,-0.483,-0.262,0.929,0.184,0.35,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Hovland, Viktor",18841,T14,1,Kasumigaseki Country Club,887,68,-0.063,0.394,1.186,0.045,1.625,1.583,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Hovland, Viktor",18841,T14,2,Kasumigaseki Country Club,887,69,0.354,-1.047,-0.571,1.82,0.202,0.567,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Hovland, Viktor",18841,T14,3,Kasumigaseki Country Club,887,71,-0.95,-1.659,-0.258,0.609,-1.308,-2.233,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Hovland, Viktor",18841,T14,4,Kasumigaseki Country Club,887,64,1.855,-0.421,2.045,0.85,2.474,4.35,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Fleetwood, Tommy",12294,T16,1,Kasumigaseki Country Club,887,70,1.127,0.031,-1.738,0.148,-1.559,-0.417,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Fleetwood, Tommy",12294,T16,2,Kasumigaseki Country Club,887,69,-0.545,1.064,-0.491,0.536,1.109,0.567,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Fleetwood, Tommy",12294,T16,3,Kasumigaseki Country Club,887,64,2.543,-0.446,2.595,0.069,2.218,4.767,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Fleetwood, Tommy",12294,T16,4,Kasumigaseki Country Club,887,70,-1.199,0.301,-0.617,-0.152,-0.468,-1.65,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Vegas, Jhonattan",13508,T16,1,Kasumigaseki Country Club,887,66,-0.577,0.936,2.691,0.515,4.142,3.583,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Vegas, Jhonattan",13508,T16,2,Kasumigaseki Country Club,887,70,-0.356,1.538,-2.761,1.137,-0.086,-0.433,,,,,,
pga,2021,2021,Olympic Men's Golf Competition,519,"Vegas, Jhonattan",13508,T16,3,Kasumigaseki Country Club,887,70,-0.617,-1.057,-0.929,1.377,-0.609,-1.233,,,,,,
