tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Ancer, Abraham",18238,8300,0.1294,1,3,3,0,5,82.0,30,123.0
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Matsuyama, Hideki",13562,9400,0.044,T2,3,3,0,5,91.5,20,122.5
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Burns, Sam",19483,6900,0.1221,T2,0,3,0,0,91.0,20,114.0
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"English, Harris",14577,7600,0.2446,4,3,3,0,0,90.5,16,112.5
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Casey, Paul",7108,9000,0.1103,T5,6,3,0,5,80.5,14,108.5
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Smith, Cameron",15856,8200,0.0975,T5,0,3,0,0,89.0,14,106.0
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Berger, Daniel",17606,9200,0.2774,T5,0,3,0,5,80.0,14,102.0
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"DeChambeau, Bryson",19841,9500,0.071,T8,6,0,0,0,85.5,9,100.5
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Zalatoris, Will",19428,7900,0.1282,T8,3,0,0,5,78.5,9,95.5
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Johnson, Dustin",12422,10200,0.1588,T10,3,0,0,0,85.0,7,95.0
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Spieth, Jordan",14636,10400,0.202,T12,3,0,0,0,84.0,6,93.0
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Scheffler, Scottie",18417,9100,0.1894,14,6,0,0,0,74.0,6,86.0
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Poulter, Ian",1435,7000,0.075,T10,0,3,0,0,75.0,7,85.0
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Simpson, Webb",11049,8500,0.1826,T15,6,0,0,0,71.0,6,83.0
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Mickelson, Phil",1547,6600,0.0587,T17,6,0,0,0,71.5,5,82.5
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"McIlroy, Rory",10091,10000,0.0808,T12,3,0,0,0,72.0,6,81.0
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Hatton, Tyrrell",14796,7400,0.1726,T17,3,0,0,0,72.0,5,80.0
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"MacIntyre, Robert",23323,6600,0.0893,T15,3,0,0,5,65.0,6,79.0
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Oosthuizen, Louis",7672,9600,0.2207,T17,3,3,0,0,67.0,5,78.0
