tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,"Ancer, Abraham",18238,1,1,TPC Southwind,513,67,-1.517,1.496,1.562,-0.147,2.911,1.394,281.8,0.786,0.833,0.833,40.008,32.67
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,"Ancer, Abraham",18238,1,2,TPC Southwind,513,62,3.544,0.277,1.806,0.57,2.653,6.197,289.1,0.857,0.944,1.0,16.134,21.707
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,"Ancer, Abraham",18238,1,3,TPC Southwind,513,67,0.344,0.533,0.747,0.073,1.353,1.697,289.4,0.643,0.667,0.75,68.581,24.052
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,"Ancer, Abraham",18238,1,4,TPC Southwind,513,68,1.205,0.551,0.288,0.88,1.718,2.923,292.4,0.857,0.667,0.778,48.971,32.671
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,"Burns, Sam",19483,T2,1,TPC Southwind,513,66,0.436,1.516,1.015,-0.573,1.958,2.394,296.3,0.571,0.778,0.8,44.974,21.29
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,"Burns, Sam",19483,T2,2,TPC Southwind,513,64,1.78,2.362,-0.328,0.383,2.417,4.197,298.2,0.571,0.611,1.0,40.953,19.958
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,"Burns, Sam",19483,T2,3,TPC Southwind,513,70,-1.225,-0.331,0.268,-0.015,-0.078,-1.303,290.3,0.643,0.667,0.625,53.279,22.819
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,"Burns, Sam",19483,T2,4,TPC Southwind,513,64,5.311,0.768,3.409,-2.564,1.612,6.923,299.8,0.571,0.722,1.0,24.679,24.363
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,"Matsuyama, Hideki",13562,T2,1,TPC Southwind,513,68,-1.058,0.355,1.199,-0.102,1.452,0.394,293.7,0.714,0.833,0.6,25.378,23.458
pga,2021,2021,World Golf Championships-FedEx St. Jude Invitational,476,"Matsuyama, Hideki",13562,T2,2,TPC Southwind,513,69,-1.612,2.166,-1.966,0.609,0.809,-0.803,294.4,0.714,0.611,0.714,28.678,22.456
