date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Morikawa, Collin",1,0.04225,0.769775,0.61985,0.404025,0.2479,0.170325,0.0683,T26
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Schauffele, Xander",1,0.03295,0.752025,0.59095,0.366525,0.214175,0.1402,0.053425,T46
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Spieth, Jordan",1,0.03385,0.71835,0.557125,0.339375,0.19775,0.13115,0.05025,T12
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Koepka, Brooks",1,0.031825,0.7052,0.547125,0.3285,0.187825,0.1219,0.04705,T54
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Hovland, Viktor",1,0.0295,0.690775,0.521325,0.307525,0.173425,0.1102,0.03995,T36
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Oosthuizen, Louis",1,0.0287,0.687525,0.518025,0.303,0.167925,0.107325,0.039675,T17
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Cantlay, Patrick",1,0.028575,0.66635,0.4994,0.286025,0.157725,0.0999,0.036425,T23
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Berger, Daniel",1,0.026775,0.6917,0.518775,0.296775,0.163075,0.10300000000000001,0.036225,T5
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Johnson, Dustin",1,0.027575,0.6525,0.4829,0.275875,0.149425,0.094825,0.03335,T10
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Thomas, Justin",1,0.0259,0.66085,0.4871,0.27555,0.1481,0.091575,0.031325,T26
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Scheffler, Scottie",1,0.0259,0.65595,0.483075,0.268125,0.14605,0.09035,0.031125,14
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Casey, Paul",1,0.02555,0.647125,0.47525,0.265175,0.14225,0.087925,0.030425,T5
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Fitzpatrick, Matthew",1,0.023475,0.6331,0.45445,0.24775,0.12925,0.077575,0.026375,T57
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Matsuyama, Hideki",1,0.023775,0.61495,0.437675,0.235925,0.1241,0.07705,0.0262,T2
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","DeChambeau, Bryson",1,0.023125,0.61545,0.4442,0.240925,0.124975,0.07755,0.026175,T8
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Simpson, Webb",1,0.02115,0.631075,0.451175,0.246525,0.12715,0.077675,0.026025,T15
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Conners, Corey",1,0.02245,0.622825,0.4422,0.2367,0.119925,0.072125,0.023275,T36
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Ancer, Abraham",1,0.020775,0.60835,0.427175,0.222575,0.113,0.06865,0.02285,1
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","English, Harris",1,0.019625,0.583225,0.41135,0.2132,0.108125,0.0649,0.0215,4
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Reed, Patrick",1,0.0232,0.5953,0.4228,0.2189,0.11025,0.065475,0.02085,T31
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Smith, Cameron",1,0.018825,0.57155,0.39615,0.20085,0.09985,0.059000000000000004,0.020075,T5
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Hatton, Tyrrell",1,0.01865,0.564875,0.38815,0.19955,0.100375,0.058875,0.01965,T17
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","McIlroy, Rory",1,0.017825,0.55695,0.38125,0.19205,0.09205,0.053675,0.017375,T12
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Harman, Brian",1,0.017975,0.57575,0.393675,0.195975,0.09300000000000001,0.054000000000000006,0.017125,T36
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Finau, Tony",1,0.017275,0.549725,0.37145,0.1838,0.08735,0.051125,0.016425,T34
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Niemann, Joaquin",1,0.016725,0.554925,0.375125,0.18100000000000002,0.0869,0.0512,0.015775,T17
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Kokrak, Jason",1,0.015275,0.504925,0.332625,0.155575,0.075275,0.042575,0.012875,T34
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Lowry, Shane",1,0.0147,0.518625,0.33915,0.16015,0.074575,0.041775,0.012775,T23
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Kim, Si Woo",1,0.0144,0.464375,0.296825,0.13675,0.061325,0.03495,0.0106,65
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Zalatoris, Will",1,0.013475,0.47415,0.301725,0.136625,0.06235,0.035725,0.009825,T8
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Garcia, Sergio",1,0.01355,0.49025,0.3184,0.14415,0.06455,0.035125,0.009725,T26
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Horschel, Billy",1,0.014225,0.4694,0.30145,0.136675,0.063475,0.0358,0.009575,T17
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Im, Sungjae",1,0.012425,0.4745,0.30105,0.1383,0.062125,0.03355,0.0091,T46
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Macintyre, Robert",1,0.012825,0.44955,0.282,0.124775,0.05465,0.029225,0.00835,T15
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Poulter, Ian",1,0.011975,0.460575,0.288175,0.12615,0.054925,0.03025,0.0081,T10
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Palmer, Ryan",1,0.01225,0.431675,0.266525,0.1168,0.0508,0.027425,0.007925,T26
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Homa, Max",1,0.01245,0.432125,0.268075,0.11785,0.0517,0.027975,0.00785,T51
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Fleetwood, Tommy",1,0.0121,0.4344,0.267625,0.1147,0.049475,0.0275,0.0075,T46
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Scott, Adam",1,0.0113,0.4199,0.255925,0.110725,0.0473,0.025375,0.007375,T36
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Rose, Justin",1,0.010925,0.388525,0.23505,0.099125,0.0438,0.024225,0.006825,T54
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Cink, Stewart",1,0.011625,0.3989,0.241575,0.1045,0.044675,0.024275,0.00665,T43
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Burns, Sam",1,0.012475,0.397875,0.240675,0.102025,0.04335,0.02365,0.006375,T2
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Na, Kevin",1,0.010475,0.3733,0.221375,0.091475,0.0401,0.0222,0.005875,T23
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Kisner, Kevin",1,0.00955,0.383925,0.22975,0.093625,0.039,0.01985,0.0055,63
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Jones, Matt",1,0.0116,0.37755,0.221925,0.089825,0.038025,0.0195,0.005275,T51
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Glover, Lucas",1,0.009575,0.351425,0.20095,0.0788,0.0324,0.017175,0.00475,T57
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Ortiz, Carlos",1,0.009925,0.3647,0.2121,0.084775,0.035425,0.017325,0.00425,T36
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Leishman, Marc",1,0.009025,0.343225,0.1949,0.076625,0.030825,0.0159,0.004125,T36
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Davis, Cameron",1,0.00855,0.335525,0.19205,0.0754,0.030925,0.015475,0.0037,60
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Herbert, Lucas",1,0.00735,0.326375,0.184175,0.070925,0.028225,0.01495,0.00365,T36
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Lee, Kyounghoon",1,0.0065,0.288725,0.1541,0.056425,0.02175,0.010775,0.0027,T54
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Westwood, Lee",1,0.0075,0.29015,0.15745,0.058375,0.022075,0.01155,0.0027,T31
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Wolff, Matthew",1,0.005525,0.248225,0.12885,0.0434,0.0154,0.0075,0.002175,T17
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Laird, Martin",1,0.005875,0.267525,0.141425,0.050325,0.01815,0.008475,0.00215,T57
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Streb, Robert",1,0.005125,0.25185,0.130675,0.0467,0.01765,0.0084,0.002125,T46
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Champ, Cameron",1,0.00575,0.225525,0.115725,0.040125,0.014975,0.007075,0.002025,T31
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Mickelson, Phil",1,0.00515,0.229475,0.118325,0.04005,0.014275,0.00705,0.001925,T17
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Perez, Victor",1,0.004875,0.2477,0.128025,0.044025,0.015875,0.007775,0.0019,61
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Rai, Aaron",1,0.00505,0.266025,0.138225,0.046875,0.016625,0.007925,0.00175,T26
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Herman, Jim",1,0.0047,0.2077,0.1031,0.033,0.011825,0.005725,0.00135,T46
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Lee, Min Woo",1,0.005025,0.2156,0.107075,0.0358,0.012025,0.0061,0.001175,62
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Ormsby, Wade",1,0.00455,0.218275,0.1089,0.036175,0.01325,0.0059,0.0011,T51
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Higgo, Garrick",1,0.004675,0.2059,0.10115,0.03255,0.0103,0.0044,0.000825,WD
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Kinoshita, Ryosuke",1,0.001625,0.09195,0.037325,0.009475,0.002575,0.001125,0.000225,T43
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Nienaber, Wilco",1,0.0013,0.07275,0.02825,0.006475,0.00165,0.000825,0.0001,64
"Aug 8, 2021","World Golf Championships-FedEx St Jude Invitational","Kennedy, Brad",1,0.00055,0.030675,0.0096,0.0017,0.0004,0.000075,0.000025,T43
