tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Kisner, Kevin",11328,8400,0.1056,1,9,0,0,5,85.5,30,129.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Kim, Si Woo",14609,9100,0.0709,T2,0,3,0,5,92.0,20,120.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Na, Kevin",7452,8800,0.0834,T2,3,0,0,5,88.0,20,116.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Grace, Branden",11952,7400,0.0516,T2,3,0,0,5,87.0,20,115.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Hadley, Chesson",14967,6600,0.0048,T15,9,0,5,5,88.0,6,113.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Sloan, Roger",14050,6700,0.0548,T2,6,3,0,0,84.0,20,113.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Scott, Adam",6430,9200,0.0643,T2,0,0,0,0,90.0,20,110.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Henley, Russell",14578,9400,0.1951,T7,6,3,0,0,88.0,10,107.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Simpson, Webb",11049,10600,0.3586,T7,0,0,0,0,96.0,10,106.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Ryder, Sam",16715,6700,0.0129,T35,9,0,0,0,92.5,2,103.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Higgs, Harry",14140,6300,0.0049,T15,6,0,0,0,91.5,6,103.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Taylor, Nick",13126,6700,0.0041,T10,0,0,0,0,95.0,7,102.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Rose, Justin",6093,8000,0.0992,T10,0,0,0,5,89.5,7,101.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"McCarthy, Denny",19870,6400,0.0195,T15,6,0,0,5,84.5,6,101.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Streelman, Kevin",8480,8300,0.1219,T7,3,0,0,5,83.5,10,101.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Taylor, Ben",19948,6100,0.0003,T24,3,0,0,5,87.5,4,99.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Piercy, Scott",7899,7000,0.0125,T15,0,3,0,5,83.0,6,97.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Stuard, Brian",13022,6900,0.0485,T15,3,3,0,0,84.0,6,96.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Wise, Aaron",22051,7000,0.0287,T46,3,0,0,0,91.0,1,95.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Sabbatini, Rory",6283,7300,0.0488,T10,0,3,0,5,79.0,7,94.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Knox, Russell",13831,6700,0.0094,T24,0,0,0,0,89.5,4,93.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Kang, Sung",7881,6200,0.001,T15,0,0,0,5,82.0,6,93.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Straka, Sepp",17511,7100,0.0298,T15,3,0,0,0,84.0,6,93.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Vegas, Jhonattan",13508,7800,0.1651,T15,0,0,0,0,86.0,6,92.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Todd, Brendon",12425,7100,0.0759,T10,3,3,0,5,73.0,7,91.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"An, Byeong Hun",14459,6800,0.0049,T35,3,0,0,5,80.5,2,90.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Smalley, Alex",18474,6500,0.0089,T29,6,3,0,0,78.5,3,90.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Dufner, Jason",7301,6700,0.021,T24,0,0,0,0,85.5,4,89.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Lee, K.H.",13497,6900,0.0103,T24,0,0,0,5,79.5,4,88.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"McCumber, Tyler",17584,6000,0.0011,T15,0,6,0,0,75.0,6,87.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Kirk, Chris",12423,7200,0.092,T29,0,0,0,5,78.0,3,86.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Zalatoris, Will",19428,10300,0.2094,T29,0,3,0,5,74.5,3,85.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Hadwin, Adam",13965,6900,0.0216,T10,0,0,0,0,77.5,7,84.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"van Rooyen, Erik",17550,8000,0.0227,T37,3,3,0,0,76.5,2,84.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Im, Sungjae",17488,9600,0.1587,T24,0,6,0,5,69.5,4,84.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Munoz, Sebastian",20770,8200,0.0896,T29,0,0,0,5,75.5,3,83.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Pan, C.T.",15475,7400,0.0329,T29,0,3,0,5,71.0,3,82.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Swafford, Hudson",14706,6200,0.0024,T37,3,0,0,0,77.0,2,82.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Garnett, Brice",11451,6800,0.0363,T51,0,0,0,5,77.0,0,82.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Lingmerth, David",14815,6100,0.0006,T37,0,0,0,0,79.5,2,81.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Werenski, Richy",19364,6700,0.0039,T37,3,0,0,0,75.5,2,80.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Villegas, Camilo",9171,6600,0.0184,T46,3,0,0,0,75.5,1,79.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Landry, Andrew",14000,6200,0.0042,T51,6,0,0,0,73.5,0,79.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Hughes, Mackenzie",15556,7600,0.0674,T37,0,3,0,0,74.0,2,79.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Duncan, Tyler",18187,6200,0.003,T57,6,3,0,0,69.0,0,78.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Kuchar, Matt",6169,6800,0.0167,T29,0,0,0,0,75.0,3,78.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Watson, Bubba",7334,9000,0.0601,T46,0,0,0,0,75.5,1,76.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Lahiri, Anirban",12669,6400,0.0086,T46,0,3,0,0,71.5,1,75.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Hubbard, Mark",16333,7000,0.0279,T51,6,0,0,0,68.5,0,74.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Eckroat, Austin",26653,6400,0.0108,T37,3,0,0,0,69.5,2,74.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Wagner, Johnson",7927,0,0.0,T55,6,0,0,0,67.0,0,73.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Augenstein, John",26211,6300,0.0002,T37,0,0,0,0,70.5,2,72.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Aphibarnrat, Kiradech",12321,6400,0.0006,T37,0,0,0,0,70.0,2,72.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Anderson, Mark",12131,6300,0.0006,T57,6,0,0,0,66.0,0,72.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Percy, Cameron",5874,6300,0.0134,T37,0,0,0,0,69.5,2,71.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Tway, Kevin",13127,6500,0.005,T46,0,3,0,0,67.5,1,71.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Gay, Brian",5951,6100,0.0007,T51,0,0,0,0,70.0,0,70.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Varner III, Harold",16602,7500,0.0898,T57,0,0,0,0,70.0,0,70.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Fleetwood, Tommy",12294,9700,0.0533,T65,3,0,0,0,66.0,0,69.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Burgoon, Bronson",11082,6000,0.0023,T60,3,0,0,0,66.0,0,69.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Gligic, Michael",13404,6300,0.0009,T65,3,3,0,0,62.0,0,68.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Mitchell, Keith",17365,7100,0.0136,T55,0,0,0,0,67.5,0,67.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Ledesma, Nelson",15239,6100,0.0002,T62,3,0,0,0,64.5,0,67.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Hahn, James",11374,6700,0.0087,T62,0,0,0,0,64.5,0,64.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Kim, Michael",17543,6000,0.0006,T65,3,0,0,0,61.0,0,64.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Hossler, Beau",15470,6600,0.0069,T65,0,0,0,0,64.0,0,64.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Power, Seamus",10104,8500,0.1639,T60,0,3,0,0,61.0,0,64.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Oppenheim, Rob",8002,6200,0.0009,T62,0,0,0,0,63.0,0,63.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Baker, Chris",13971,6200,0.0026,T70,3,0,0,0,59.0,0,62.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Jones, Matt",8605,7200,0.0302,T70,3,0,0,0,56.0,0,59.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Martin, Ben",14007,6300,0.0021,T70,3,3,0,0,53.0,0,59.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Lashley, Nate",10943,6400,0.0026,73,0,0,0,0,57.0,0,57.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Campos, Rafael",12909,6000,0.0016,74,0,0,0,0,56.0,0,56.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"MacIntyre, Robert",23323,8900,0.0869,T65,0,0,0,0,54.0,0,54.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Griffin, Lanto",15330,7400,0.0317,CUT,3,0,0,0,40.5,0,43.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Gibson, Rhein",13342,6100,0.0002,CUT,3,0,0,0,36.5,0,39.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Hoag, Bo",14081,7100,0.0227,CUT,0,0,0,0,39.5,0,39.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Zhang, Xinjun",13026,6100,0.0006,CUT,0,0,5,0,34.5,0,39.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Thompson, Michael",12946,6900,0.015,CUT,0,0,0,0,39.5,0,39.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Gooch, Talor",18580,7700,0.1267,CUT,3,0,0,0,35.0,0,38.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Woodland, Gary",12577,8700,0.0865,CUT,3,0,0,0,34.5,0,37.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Dahmen, Joel",14509,7200,0.0789,CUT,3,0,0,0,34.0,0,37.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Kizzire, Patton",13470,7600,0.1673,CUT,0,0,0,0,36.5,0,36.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"NeSmith, Matthew",16433,6600,0.0093,CUT,0,0,0,0,36.0,0,36.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Stallings, Scott",12359,6900,0.0171,CUT,0,0,0,0,36.0,0,36.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Senden, John",5207,6000,0.0001,CUT,0,0,0,0,35.5,0,35.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Potter, Jr., Ted",8769,6100,0.0006,CUT,0,3,0,0,32.5,0,35.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Rodgers, Patrick",16283,7300,0.0302,CUT,3,0,0,0,32.0,0,35.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Long, Adam",15473,6800,0.0056,CUT,0,0,0,0,34.5,0,34.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Lebioda, Hank",21943,7600,0.1625,CUT,0,0,0,0,34.5,0,34.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Ventura, Kris",15651,6000,0.0053,CUT,0,0,0,0,33.5,0,33.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Harrington, Padraig",5716,6100,0.0038,CUT,0,0,0,0,33.5,0,33.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Bramlett, Joseph",14698,6500,0.0125,CUT,0,0,0,0,33.5,0,33.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Ghim, Doug",24550,7300,0.0723,CUT,0,0,0,0,33.5,0,33.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Gordon, Will",26660,6300,0.0019,CUT,0,0,0,0,33.5,0,33.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Poston, J.T.",21554,7800,0.0508,CUT,3,0,0,0,30.0,0,33.0
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Matsuyama, Hideki",13562,11000,0.1632,CUT,0,0,0,0,32.5,0,32.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Brown, Scott",11330,6200,0.0027,CUT,0,0,0,0,32.5,0,32.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Spaun, J.J.",17536,6100,0.0016,CUT,3,0,0,0,28.5,0,31.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Huh, John",14606,0,0.0,CUT,0,0,0,0,31.5,0,31.5
pga,2021,2021,Wyndham Championship,13,draftkings,PGA TOUR $750K Flop Shot [$200K to 1st],"Thompson, Davis",27364,6500,0.0058,CUT,0,0,0,0,31.0,0,31.0
